품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","알루미늄 [LME] 3개월(o)USD/ton","알루미늄 [LME] 3개월(u)USD/ton","니켈 [LME] 현물USD/ton","니켈 [LME] Dec1(2019.12)USD/ton","니켈 [LME] Dec2(2020.12)USD/ton","니켈 [LME] Dec3(2021.12)USD/ton","니켈 [LME] 3개월(o)USD/ton","니켈 [LME] 3개월(u)USD/ton","아연 [LME] 현물USD/ton","아연 [LME] Dec1(2019.12)USD/ton","아연 [LME] Dec2(2020.12)USD/ton","아연 [LME] Dec3(2021.12)USD/ton","아연 [LME] 3개월(o)USD/ton","아연 [LME] 3개월(u)USD/ton","납 [LME] 현물USD/ton","납 [LME] Dec1(2019.12)USD/ton","납 [LME] Dec2(2020.12)USD/ton","납 [LME] Dec3(2021.12)USD/ton"
20090824,85.64,1901.7,1892.2,19556,#N/A,#N/A,#N/A,19501,19250,1821.7,#N/A,#N/A,#N/A,1855.6,1843.6,2033.4,#N/A,#N/A,#N/A
20090817,94.75,1958.1,1945.8,19346,#N/A,#N/A,#N/A,19343,18955,1781.5,#N/A,#N/A,#N/A,1811.7,1808,1813.3,#N/A,#N/A,#N/A
20090810,102.2,2011.9,1996.8,20349,#N/A,#N/A,#N/A,20421,19990,1853.2,#N/A,#N/A,#N/A,1881.2,1870.8,1856.5,#N/A,#N/A,#N/A
20090803,99,1990.2,2003.4,19316,#N/A,#N/A,#N/A,19381,19555,1830.3,#N/A,#N/A,#N/A,1854.5,1873.2,1897.2,#N/A,#N/A,#N/A
20090727,91.61,1843.9,1855.4,16948,#N/A,#N/A,#N/A,17022,16987,1690.1,#N/A,#N/A,#N/A,1710,1706.4,1782.5,#N/A,#N/A,#N/A
20090720,87.05,1747.2,1748.6,16187,#N/A,#N/A,#N/A,16261,16270,1641.6,#N/A,#N/A,#N/A,1668,1669.2,1693.9,#N/A,#N/A,#N/A
20090713,81.83,1633.3,1642,15485,#N/A,#N/A,#N/A,15536,15615,1494.6,#N/A,#N/A,#N/A,1521,1537.2,1590.3,#N/A,#N/A,#N/A
20090706,79.85,1590.7,1592,15266,#N/A,#N/A,#N/A,15347,15221,1508.4,#N/A,#N/A,#N/A,1532.6,1537.2,1636.2,#N/A,#N/A,#N/A
20090629,76.9,1641.8,1635.2,16001,#N/A,#N/A,#N/A,16078,16030,1547.1,#N/A,#N/A,#N/A,1572.9,1564.8,1706.5,#N/A,#N/A,#N/A
20090622,76.05,1633.6,1640,15175,#N/A,#N/A,#N/A,15228,15245,1541.3,#N/A,#N/A,#N/A,1570.2,1570.6,1661.2,#N/A,#N/A,#N/A
20090615,74.94,1626.2,1626.4,14922,#N/A,#N/A,#N/A,15001,14940,1551.9,#N/A,#N/A,#N/A,1594.5,1565.4,1671.8,#N/A,#N/A,#N/A
20090608,72.24,1650.1,1658.2,15081,#N/A,#N/A,#N/A,15171,15171,1599.9,#N/A,#N/A,#N/A,1625.8,1637,1726.8,#N/A,#N/A,#N/A
20090601,68.31,1493.5,1504,14290,#N/A,#N/A,#N/A,14392,14486,1538.7,#N/A,#N/A,#N/A,1563.1,1568,1620,#N/A,#N/A,#N/A
20090525,64.45,1422,1427.5,13305,#N/A,#N/A,#N/A,13368.75,13506.25,1462.75,#N/A,#N/A,#N/A,1482.38,1493.5,1450.88,#N/A,#N/A,#N/A
20090518,64.15,1486.3,1483.6,12404,#N/A,#N/A,#N/A,12480,12440,1471.6,#N/A,#N/A,#N/A,1500.1,1503,1453.2,#N/A,#N/A,#N/A
20090511,63.67,1523.9,1533.7,12604,#N/A,#N/A,#N/A,12699,12750,1476.3,#N/A,#N/A,#N/A,1505.6,1514.8,1434,#N/A,#N/A,#N/A
20090504,61.38,1548.25,1552.5,12548.75,#N/A,#N/A,#N/A,12646.25,12625,1538.25,#N/A,#N/A,#N/A,1560.63,1558.75,1447.25,#N/A,#N/A,#N/A
20090427,60.31,1461,1472.4,11209,#N/A,#N/A,#N/A,11261,11425,1375.5,#N/A,#N/A,#N/A,1401.8,1418.6,1338.3,#N/A,#N/A,#N/A
20090420,58.73,1451.7,1454.9,11509,#N/A,#N/A,#N/A,11619,11625,1419,#N/A,#N/A,#N/A,1443.5,1452,1452.4,#N/A,#N/A,#N/A
20090413,59.23,1496.63,1500.5,12126.25,#N/A,#N/A,#N/A,12188.75,12200,1463.25,#N/A,#N/A,#N/A,1497.25,1477,1494.25,#N/A,#N/A,#N/A
20090406,59.96,1474.13,1492.5,10688.75,#N/A,#N/A,#N/A,10830,10918.75,1330.75,#N/A,#N/A,#N/A,1360.75,1368.75,1320.5,#N/A,#N/A,#N/A
20090330,60.48,1408.2,1414.8,9787,#N/A,#N/A,#N/A,9891,10050,1291.6,#N/A,#N/A,#N/A,1322.1,1326.4,1258.2,#N/A,#N/A,#N/A
20090323,59.7,1424.3,1422.4,9641,#N/A,#N/A,#N/A,9765,9743,1261.1,#N/A,#N/A,#N/A,1290.1,1300.8,1281.9,#N/A,#N/A,#N/A
20090316,62.47,1399.5,1399.2,9893,#N/A,#N/A,#N/A,9986,9990,1220.1,#N/A,#N/A,#N/A,1246.9,1238.6,1315.2,#N/A,#N/A,#N/A
20090309,62.37,1331.5,1335.4,9637,#N/A,#N/A,#N/A,9730,9755,1208.1,#N/A,#N/A,#N/A,1235.2,1240.6,1248.6,#N/A,#N/A,#N/A
20090302,64.81,1326.8,1329.8,9721,#N/A,#N/A,#N/A,9800,9850,1148.2,#N/A,#N/A,#N/A,1173.7,1188.4,1104.1,#N/A,#N/A,#N/A
20090223,69.04,1320.4,1333.8,9699,#N/A,#N/A,#N/A,9794,9880,1090.4,#N/A,#N/A,#N/A,1116.4,1124,1020.1,#N/A,#N/A,#N/A
20090216,74.98,1333.2,1336.8,9812,#N/A,#N/A,#N/A,9909,9910,1084.8,#N/A,#N/A,#N/A,1113.2,1118.6,1079.7,#N/A,#N/A,#N/A
20090209,81.86,1408.9,1409.2,10703,#N/A,#N/A,#N/A,10739,10820,1140.5,#N/A,#N/A,#N/A,1163.6,1167.4,1151.4,#N/A,#N/A,#N/A
20090202,78.83,1409.2,1424.3,11421,#N/A,#N/A,#N/A,11483,11610,1132.6,#N/A,#N/A,#N/A,1151.5,1159.4,1150.9,#N/A,#N/A,#N/A
20090126,74.25,1347.4,1364.8,11265,#N/A,#N/A,#N/A,11363,11555,1109.5,#N/A,#N/A,#N/A,1131.4,1148.6,1152,#N/A,#N/A,#N/A
20090119,73.34,1369.9,1366,10975,#N/A,#N/A,#N/A,11053,11280,1159.3,#N/A,#N/A,#N/A,1179.4,1176.6,1115.4,#N/A,#N/A,#N/A
20090112,74.09,1486.9,1490.8,10469,#N/A,#N/A,#N/A,10582,10716,1223.2,#N/A,#N/A,#N/A,1251.1,1255,1131.6,#N/A,#N/A,#N/A
20090105,73.64,1573.4,1573,12238,#N/A,#N/A,#N/A,12344,12381,1251,#N/A,#N/A,#N/A,1277.2,1283.2,1150.4,#N/A,#N/A,#N/A
20081229,72.54,1505.75,1522.5,10783.75,#N/A,#N/A,#N/A,10912.5,11175,1134.25,#N/A,#N/A,#N/A,1168.75,1186.5,958.75,#N/A,#N/A,#N/A
20081222,76.43,1536.17,1557.67,9723.33,#N/A,#N/A,#N/A,9888.33,10066.67,1121.17,#N/A,#N/A,#N/A,1158.33,1170.33,895.67,#N/A,#N/A,#N/A
20081215,74.15,1476.2,1495.8,9717,#N/A,#N/A,#N/A,9904,10005,1062.5,#N/A,#N/A,#N/A,1084.1,1101,958.1,#N/A,#N/A,#N/A
20081208,69.38,1524.5,1528,9700,#N/A,#N/A,#N/A,9850,10086,1078.6,#N/A,#N/A,#N/A,1095,1103,977.5,#N/A,#N/A,#N/A
20081201,65.82,1631.6,1635.2,9347,#N/A,#N/A,#N/A,9493,9494,1145.3,#N/A,#N/A,#N/A,1142.4,1149.6,1012.2,#N/A,#N/A,#N/A
20081124,#N/A,1784.3,1791.2,10057,#N/A,#N/A,#N/A,10259,10365,1218.3,#N/A,#N/A,#N/A,1219,1226.6,1143.4,#N/A,#N/A,#N/A
20081117,#N/A,1849.3,1849.6,10153,#N/A,#N/A,#N/A,10298,10405,1153.6,#N/A,#N/A,#N/A,1164.2,1188,1226.2,#N/A,#N/A,#N/A
20081110,#N/A,1951.6,1945,10984,#N/A,#N/A,#N/A,11219,11160,1125.7,#N/A,#N/A,#N/A,1145.3,1149,1320.8,#N/A,#N/A,#N/A
20081103,#N/A,2036.9,2053.2,11612,#N/A,#N/A,#N/A,11862,11990,1112.8,#N/A,#N/A,#N/A,1139.8,1164.4,1474,#N/A,#N/A,#N/A
20081027,#N/A,2057.4,2069.2,11575,#N/A,#N/A,#N/A,11734,11950,1133.3,#N/A,#N/A,#N/A,1171.6,1170.4,1434.3,#N/A,#N/A,#N/A
20081020,#N/A,2040.2,2048.6,9786,#N/A,#N/A,#N/A,10001,10186,1113.2,#N/A,#N/A,#N/A,1151.6,1184,1254.7,#N/A,#N/A,#N/A
20081013,#N/A,2225.6,2227.4,11812,#N/A,#N/A,#N/A,12083,12140,1304,#N/A,#N/A,#N/A,1345.4,1333.4,1482.2,#N/A,#N/A,#N/A
20081006,#N/A,2272.8,2266.4,13324,#N/A,#N/A,#N/A,13524,13385,1468.2,#N/A,#N/A,#N/A,1494.3,1482,1591.9,#N/A,#N/A,#N/A
20080929,#N/A,2406.1,2396.2,15768,#N/A,#N/A,#N/A,16070,15910,1637.5,#N/A,#N/A,#N/A,1658.7,1657.8,1772.7,#N/A,#N/A,#N/A
20080922,#N/A,2518.3,2515.4,16818,#N/A,#N/A,#N/A,17139,17130,1771.3,#N/A,#N/A,#N/A,1800.4,1805,1953.7,#N/A,#N/A,#N/A
20080915,#N/A,2537.3,2535,17202,#N/A,#N/A,#N/A,17451,17485,1710.9,#N/A,#N/A,#N/A,1733.8,1737.8,1807.6,#N/A,#N/A,#N/A
20080908,#N/A,2622.6,2626.1,18608,#N/A,#N/A,#N/A,18671,18750,1730.2,#N/A,#N/A,#N/A,1754.8,1768.2,1826.8,#N/A,#N/A,#N/A
20080901,#N/A,2679.3,2681.2,19246,#N/A,#N/A,#N/A,19298,19360,1757.2,#N/A,#N/A,#N/A,1777,1780.8,1905.4,#N/A,#N/A,#N/A
20080825,#N/A,2754,2759.5,20313.75,#N/A,#N/A,#N/A,20347.5,20393.75,1757.88,#N/A,#N/A,#N/A,1784.63,1808.25,1960.25,#N/A,#N/A,#N/A
20080818,#N/A,2781.4,2782.4,19712,#N/A,#N/A,#N/A,19759,19800,1725.9,#N/A,#N/A,#N/A,1741.1,1752.2,1819.6,#N/A,#N/A,#N/A
20080811,#N/A,2804.5,2809,18248,#N/A,#N/A,#N/A,18280,18445,1646.9,#N/A,#N/A,#N/A,1654.7,1656,1806.3,#N/A,#N/A,#N/A
20080804,#N/A,2896.1,2898.8,17869,#N/A,#N/A,#N/A,18012,18042,1743.8,#N/A,#N/A,#N/A,1757.6,1753.3,2068.2,#N/A,#N/A,#N/A
20080728,#N/A,2964.7,2967.2,18284,#N/A,#N/A,#N/A,18458,18525,1860.2,#N/A,#N/A,#N/A,1870,1889.6,2211.4,#N/A,#N/A,#N/A
20080721,#N/A,3014.5,2999.6,19650,#N/A,#N/A,#N/A,19844,19745,1861.9,#N/A,#N/A,#N/A,1877,1862,2131.8,#N/A,#N/A,#N/A
