품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","중국 철근 유통재고량10000 tons","중국 선재 유통재고량10000 tons","중국 중후판 유통재고량10000 tons","중국 냉연코일 유통재고량10000 tons","중국 열연코일 유통재고량10000 tons","주요 중국 철광석 항구재고량mmt"
20091207,99.32,420.22,111.95,124.62,125.82,429.11,65.92
20091130,98.58,412.93,114.11,126.59,125.79,424.79,65.61
20091123,102.33,401.8,112.18,130.24,122.86,429.71,65.64
20091116,101.29,389.6,111.58,132.93,120.72,430.32,65.87
20091109,97.36,387.72,111.55,132.68,123.27,436.67,65.74
20091102,92.38,391.95,117.69,132.17,125.84,428.13,66.52
20091026,88.77,395.89,120.75,132.95,128.31,424.57,68.15
20091019,86.79,400.28,129.75,134.83,131.66,432.13,68.7
20091012,85.19,418.27,138.79,138.47,134.41,429.97,69.64
20091005,85.24,414.43,133.04,138.84,130.75,425.25,70.09
20090928,85.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20090921,83.4,387.08,121.4,132.51,122.59,359.58,72.47
20090914,79.58,392.12,125.08,133.1,120.68,341.77,73.32
20090907,76.15,412.29,131.92,133.23,119.38,334.18,73.17
20090831,77,419.73,132.4,132.16,118.44,326.87,73.04
20090824,85.64,400.52,127.37,129.93,117.82,318.23,72.15
20090817,94.75,392.17,122.29,127.33,115.59,308.27,71.72
20090810,102.2,372.23,108.28,125.53,110.28,292.34,71.48
20090803,99,349.55,98.67,121.74,110.45,284.26,71.24
20090727,91.61,330.09,95.64,124.74,108.98,284.66,70.93
20090720,87.05,324.84,93.15,123.73,109.79,284.9,69.56
20090713,81.83,325.25,91.74,122.88,109.48,279.15,68.85
20090706,79.85,320.47,87.92,122.36,107.73,273.84,69.32
20090629,76.9,327.09,88.98,122.27,106.23,269.49,69.35
20090622,76.05,319.02,83.29,121.12,106.67,266.44,69.43
20090615,74.94,323.95,87.54,119.81,106.33,268.94,70.31
20090608,72.24,325,92.77,122.02,106.99,275.8,70.82
20090601,68.31,320.04,90.75,122.43,106.88,269.65,70.77
20090525,64.45,#N/A,#N/A,#N/A,#N/A,#N/A,70.99
20090518,64.15,311.01,90.4,120.86,102.22,266.22,70.61
20090511,63.67,324.99,98.11,120.06,106.47,270.49,70.44
20090504,61.38,339.61,106.41,121.58,108.55,266.56,69.9
20090427,60.31,339.83,107.74,123.64,111.32,264.93,68.83
20090420,58.73,355.47,112.13,124.9,114.49,265.26,69.14
20090413,59.23,359.41,124.63,126.38,117.83,267.52,68.51
20090406,59.96,374.44,138.59,127.21,117.52,264.58,68.57
20090330,60.48,387.16,145.62,128.11,116.69,260.64,68.09
20090323,59.7,407.11,157.82,127.8,119.32,271.35,67.44
20090316,62.47,418.79,163.73,131.91,122.9,274.35,65.03
20090309,62.37,429.61,167.31,135.23,121.47,273.28,62.91
20090302,64.81,429.77,172.49,140.71,124.12,285.89,60.6
20090223,69.04,423.39,163.7,138.16,124.23,283.14,59.31
20090216,74.98,411.05,156.17,135.31,126.6,272.66,59.41
20090209,81.86,388.13,146.42,135.8,122.56,244.81,58.07
20090202,78.83,343.02,129.33,129.74,118.45,221.2,59.1
20090126,74.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20090119,73.34,237.15,86.12,110.87,101.1,168.66,58.34
20090112,74.09,207.95,75.85,105.71,97.09,164.39,58.67
20090105,73.64,194.79,72.14,105.65,95.46,158.85,58.57
20081229,72.54,182.84,67.49,105.52,94.93,150.32,60.15
20081222,76.43,170.48,64.59,106.22,93.98,147.29,60.94
20081215,74.15,161.31,66.06,107.01,97.24,151.53,59.99
20081208,69.38,155.68,61.03,104.28,99.16,153.51,62.55
20081201,65.82,153.97,59.7,105.38,98.01,150.72,65.98
20081124,#N/A,156.04,59.79,104.55,98.8,155.95,67.83
20081117,#N/A,163.81,65.55,109.24,101.62,165.2,68.82
20081110,#N/A,176.72,69.33,112.67,102.82,170.44,70.12
20081103,#N/A,185.44,72.94,113.1,106.48,180.23,70.87
20081027,#N/A,193.59,78.15,116.81,111.01,185.78,71.92
20081020,#N/A,213.22,91.22,121.07,115.29,193.79,71.56
20081013,#N/A,234.92,104.87,120.81,116.47,195.6,70.98
20081006,#N/A,248.88,114.31,121.94,119.67,203.28,72.11
20080922,#N/A,246.09,100.26,115.22,106.76,189.33,73.85
20080915,#N/A,246.62,97.07,114.99,102.61,187.38,75.98
20080908,#N/A,244.62,97.51,111.92,103.06,185.76,74.92
20080901,#N/A,249.34,90,111.25,103.57,185.14,75.46
20080825,#N/A,256.33,93.73,112.18,103.37,181.85,74.46
20080818,#N/A,266.73,94.74,111.22,101.49,178.84,71.99
20080811,#N/A,266.35,95.05,108.58,99.9,174.39,73.42
20080804,#N/A,268.18,87.46,101.25,94.84,173.17,73.04
20080728,#N/A,267.51,84.94,100.79,97.39,175.24,73.5
20080721,#N/A,270.1,81.89,98.46,96.5,175.99,73.91
