품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","납 [LME] 3개월(u)USD/ton","주석 [LME] 현물USD/ton","주석 [LME] 15개월(o)USD/ton","주석 [LME] 3개월(o)USD/ton","주석 [LME] 3개월(u)USD/ton","NASAAC [LME] 현물USD/ton","NASAAC [LME] Dec1(2019.12)USD/ton","NASAAC [LME] 3개월(o)USD/ton","NASAAC [LME] 3개월(u)USD/ton","고철 HMS No.1 [미 동부 Composite가격] 현물USD/lt(long ton)","철근 [SHFE] 2018.10RMB/ton","철근 고장력 HD10mm [국내(1차 유통가)] 현물KRW/ton","냉연코일 1.0x4x8mm [국내(1차 유통가)] 현물KRW/ton","열연코일 4.5x4x8 ~ 5.9x4x8mm [국내(1차 유통가)] 현물KRW/ton","선재 [SHFE] 2018.10RMB/ton","중후판 12(mm)x8(ft)x20(ft) [국내(1차 유통가)] 현물KRW/ton","H형강 소형 [국내(1차 유통가)] 현물KRW/ton","GI SPGC(1종) 1.2mm [국내(1차 유통가)] 현물KRW/ton"
20100118,124.93,2366.4,17829,17934,17870,17865,2056.4,#N/A,2090.2,2107,304.83,4353.6,680000,850000,740000,4162.6,890000,830000,935000
20100111,126.5,2481,17916,18233,17973,18105,2101.2,#N/A,2139,2132,304.83,4453.6,680000,850000,740000,4249,890000,810000,935000
20100104,122.02,2557,17490,17623,17578,17621,2096,#N/A,2131,2146,262.5,4556.2,680000,850000,730000,4328.6,890000,810000,935000
20091228,109.74,2426.67,16681.67,16830,16783.33,16733.33,2060,#N/A,2117.67,2130,255.83,4505.5,680000,850000,730000,4307,890000,810000,935000
20091221,106.78,2337.5,15900,16041.25,15957.5,15893.75,2100,#N/A,2133.75,2122.5,255.83,4424.8,680000,850000,730000,4257.2,890000,810000,935000
20091214,103.99,2356,15433,15576,15502,15515,2094.2,#N/A,2126,2124,254.17,4393,680000,850000,730000,4216,890000,810000,935000
20091207,99.32,2305.4,15097,15276,15161,15220,1964,#N/A,1996,2012,253.5,4327.6,680000,850000,740000,4004,890000,810000,935000
20091130,98.58,2402,14998,15099,15037,15214,1929,#N/A,1958,1952,217.5,4371.2,680000,850000,740000,3819.8,890000,810000,935000
20091123,102.33,2365.6,14977,14980,14980,14997,1883,#N/A,1911.2,1904,217.5,4181,680000,850000,740000,3928.8,890000,810000,935000
20091116,101.29,2361.8,15007,14807,14947,15010,1849.3,#N/A,1877.2,1883,210.83,4077.4,700000,850000,750000,3909.6,890000,820000,935000
20091109,97.36,2288,14897,14567,14792,14820,1781,#N/A,1807,1808,210.83,4073.4,720000,850000,750000,3867,890000,830000,935000
20091102,92.38,2318.4,14917,14575,14830,14880,1744.4,#N/A,1774,1779,228.5,3945.2,740000,850000,760000,3726.2,890000,840000,935000
20091026,88.77,2313,15252,14693,15031,14970,1767,#N/A,1798,1789,235.83,3907.4,740000,850000,760000,3742.6,890000,840000,950000
20091019,86.79,2356.2,14946,14197,14562,14695,1738,#N/A,1769,1776,239.17,3873.6,740000,870000,770000,3734.8,900000,890000,970000
20091012,85.19,2233,14881,14026,14457,14457,1726,#N/A,1754,1748,240.17,3706.4,740000,870000,770000,3563,910000,890000,970000
20091005,85.24,2194.8,14971,14045,14519,14630,1689,#N/A,1719,1720,248.5,3710,760000,860000,770000,3565,910000,900000,970000
20090928,85.3,2228,15015,13860,14465,14495,1693,#N/A,1725,1730,255.17,3721,760000,850000,780000,3559.67,910000,900000,950000
20090921,83.4,2200.2,15104,13973,14496,14470,1716,#N/A,1743,1729,255.17,3907.8,760000,850000,780000,3777,910000,900000,950000
20090914,79.58,2198.4,14852,13993,14446,14535,1708,#N/A,1738,1739,255.2,3983.4,760000,850000,780000,3834.6,910000,900000,950000
20090907,76.15,2322.4,14959,13863,14476,14580,1703,#N/A,1733,1722,260.17,3986.2,760000,850000,780000,3795.4,910000,920000,950000
20090831,77,2195,14353.75,13555,14082.5,14087.5,1690,#N/A,1718.75,1722.5,250.17,4078.6,760000,830000,770000,3932.2,910000,900000,930000
20090824,85.64,2047.4,14460,13623,14111,14010,1718,#N/A,1749,1748,242.83,4279.8,710000,830000,770000,4149,910000,840000,900000
20090817,94.75,1825.4,14530,13212,13985,13930,1747.2,#N/A,1779,1778,242.83,4347.4,710000,830000,760000,4154.2,900000,840000,900000
20090810,102.2,1867.4,15265,14261,14934,14905,1773.6,#N/A,1813,1804,242.83,4606,710000,830000,760000,4476.8,900000,840000,900000
20090803,99,1922,15224,13940,14896,14985,1767.2,#N/A,1801,1813,233.5,4833,690000,830000,760000,4709.8,900000,820000,900000
20090727,91.61,1801.4,14743,13760,14487,14435,1640.6,#N/A,1674,1677,228.5,4360.6,690000,830000,760000,4238.8,900000,790000,900000
20090720,87.05,1712.6,14317,13358,14070,14105,1530.2,#N/A,1567,1581,228.5,4074.8,690000,830000,760000,3947.8,900000,790000,900000
20090713,81.83,1629.6,13098,12306,12955,13000,1425.4,#N/A,1466,1473,228.5,3972.6,690000,830000,750000,3852.4,920000,790000,900000
20090706,79.85,1649.6,13731,12737,13614,13360,1390,#N/A,1423,1409,195.17,3863.2,700000,830000,750000,3786.4,920000,810000,900000
20090629,76.9,1714,14638,13483,14534,14515,1405,#N/A,1432,1422,186.83,3846.8,700000,830000,750000,3765,920000,810000,900000
20090622,76.05,1673,14742,13489,14696,14650,1360,#N/A,1390,1388,186.83,3878,720000,830000,750000,3792.8,920000,810000,900000
20090615,74.94,1664,15054,13670,15022,15040,1336,#N/A,1370,1371,184.5,3861.4,720000,850000,750000,3768.8,920000,810000,930000
20090608,72.24,1750,15440,13857,15325,15510,1332,#N/A,1364,1363,184.5,3822.2,750000,850000,750000,3725,920000,850000,930000
20090601,68.31,1636.4,14753,13296,14550,14590,1183,#N/A,1211,1215,186.17,3683.6,750000,870000,750000,3594.4,920000,850000,950000
20090525,64.45,1471.5,13965,12650,13737.5,13843.75,1132.5,#N/A,1170,1170,188.5,3607.67,760000,870000,720000,3510.33,1020000,860000,950000
20090518,64.15,1459.8,13875,12672,13663,13625,1178.6,#N/A,1218,1224,188.5,3616.6,760000,870000,720000,3517.8,1020000,860000,950000
20090511,63.67,1444.8,13904,12953,13698,13790,1238.6,#N/A,1284.4,1292,146.5,3629.2,760000,900000,720000,3530.4,1020000,860000,950000
20090504,61.38,1447.5,13628.75,12780,13390,13425,1292,#N/A,1339.75,1346.25,146.5,3602.6,760000,900000,720000,3508.4,1020000,860000,950000
20090427,60.31,1347.8,12434,11766,12210,12315,1271.4,#N/A,1314,1322,146.5,3516.5,760000,900000,760000,3416.5,1020000,880000,950000
20090420,58.73,1456.6,12458,11878,12243,12280,1262.2,#N/A,1300,1306,143.17,3544,760000,900000,760000,3437.8,1020000,880000,950000
20090413,59.23,1482.5,11625,11252.5,11500,11487.5,1298.75,#N/A,1337.5,1345,143.17,3564.8,760000,920000,760000,3433,1020000,880000,950000
20090406,59.96,1338.25,10997.5,10475,10748.75,10881.25,1257.75,#N/A,1296.25,1310,141.5,3477,760000,920000,780000,3344.25,1020000,880000,950000
20090330,60.48,1275,10696,10234,10485,10562,1153,#N/A,1186,1189,154.17,3516.6,760000,920000,780000,3387.4,1020000,880000,1000000
20090323,59.7,1301.2,10339,9985,10193,10158,1110.2,#N/A,1142,1143,188.5,3577,760000,920000,790000,3409,1020000,880000,1000000
20090316,62.47,1320.4,10436,10020,10292,10270,1059,#N/A,1097,1098,157.5,#N/A,800000,920000,790000,#N/A,1020000,890000,1000000
20090309,62.37,1266,11056,10470,10762,10800,990.6,#N/A,1030,1039,181.5,#N/A,800000,920000,790000,#N/A,1020000,890000,1000000
20090302,64.81,1120.4,10992,10488,10824,10868,998.1,#N/A,1029.8,1029,181.5,#N/A,800000,920000,790000,#N/A,1020000,890000,1000000
20090223,69.04,1035,10850,10330,10663,10720,972.1,#N/A,995.4,1011,184.17,#N/A,800000,940000,830000,#N/A,1020000,890000,1020000
20090216,74.98,1096,10994,10390,10744,10865,964.6,#N/A,993.8,1007,184.17,#N/A,800000,940000,870000,#N/A,1020000,890000,1020000
20090209,81.86,1164,11241,10650,11027,11170,988.2,#N/A,1020.2,1027,184.17,#N/A,780000,940000,870000,#N/A,1020000,870000,1020000
20090202,78.83,1159,11072,10637,11020,11100,962.6,#N/A,1003,1014,193.5,#N/A,780000,940000,870000,#N/A,1020000,870000,1020000
20090126,74.25,1161.2,11406,10978,11360,11460,937.7,#N/A,982,990,202.83,#N/A,780000,940000,870000,#N/A,1020000,850000,1020000
20090119,73.34,1110,11090,10699,11086,11300,942,#N/A,979.2,986,202.83,#N/A,780000,940000,870000,#N/A,1020000,850000,1020000
20090112,74.09,1137,11335,10880,11264,11265,1026.5,#N/A,1069,1079,202.83,#N/A,780000,940000,870000,#N/A,1020000,850000,1020000
20090105,73.64,1144,11625,11081,11438,11620,1049.8,#N/A,1084,1101,198.5,#N/A,780000,940000,900000,#N/A,1020000,850000,1020000
20081229,72.54,962,10493.75,9958.75,10255,10415,1036.88,#N/A,1076.25,1085,185.2,#N/A,780000,940000,900000,#N/A,1020000,900000,1020000
20081222,76.43,906.67,10170,9718.33,10021.67,10066.67,1010.33,#N/A,1070,1096.67,#N/A,#N/A,800000,940000,900000,#N/A,1020000,950000,1020000
20081215,74.15,979.6,11180,10623,10965,11095,1003,#N/A,1053.2,1066,185.17,#N/A,800000,980000,900000,#N/A,1020000,950000,1080000
20081208,69.38,1017,11812,11377,11663,11860,1049.2,#N/A,1096,1101,119.17,#N/A,850000,1100000,900000,#N/A,1020000,950000,1180000
20081201,65.82,1025,12029,11645,11881,11850,1132,#N/A,1173,1174,119.17,#N/A,850000,1100000,900000,#N/A,1020000,1000000,1180000
20081124,#N/A,1167.8,12614,12321,12482,12535,1238,#N/A,1310,1290,107.5,#N/A,921000,1100000,950000,#N/A,1100000,1000000,1180000
20081117,#N/A,1249,12491,12208,12361,12380,1309.9,#N/A,1348,1350,100.5,#N/A,921000,1100000,950000,#N/A,1100000,1090000,1180000
20081110,#N/A,1337,14559,14037,14240,14110,1360.4,#N/A,1404,1405,97.5,#N/A,921000,1100000,950000,#N/A,1100000,1090000,1180000
20081103,#N/A,1491.6,14910,14327,14516,14680,1462,#N/A,1513,1519,97.5,#N/A,940000,1100000,980000,#N/A,1100000,1090000,1200000
20081027,#N/A,1440,14245,13774,13958,14290,1496,#N/A,1550,1548,160.83,#N/A,1040000,1100000,980000,#N/A,1100000,1190000,1200000
20081020,#N/A,1307.2,12030,11931,11918,11990,1556,#N/A,1620,1619,182.5,#N/A,1040000,1180000,1000000,#N/A,1100000,1190000,1200000
20081013,#N/A,1492,14065,14105,14060,14020,1790.1,#N/A,1841,1831,189.17,#N/A,1040000,1180000,1000000,#N/A,1100000,1190000,1200000
20081006,#N/A,1592.2,15457,15347,15368,15290,1882.4,#N/A,1939.4,1931,250.83,#N/A,1040000,1180000,1000000,#N/A,1100000,1190000,1200000
20080929,#N/A,1773,17449,17260,17399,17304,2059.1,#N/A,2113.4,2112,290.83,#N/A,1040000,1180000,1000000,#N/A,1100000,1210000,1200000
20080922,#N/A,1987.6,17647,17396,17557,17675,2191.3,#N/A,2227.4,2238,297.5,#N/A,1040000,1180000,1000000,#N/A,1100000,1210000,1200000
20080915,#N/A,1829.2,17954,17605,17835,17930,2208,#N/A,2247.6,2263,297.5,#N/A,1040000,1180000,1000000,#N/A,1100000,1210000,1200000
20080908,#N/A,1831,18903,18631,18869,18815,2307.2,#N/A,2352.2,2350,297.5,#N/A,1040000,1180000,1000000,#N/A,1100000,1210000,1200000
20080901,#N/A,1917.4,19321,19086,19297,19185,2385,#N/A,2430,2431,375.83,#N/A,1070000,1180000,1000000,#N/A,1100000,1210000,1200000
20080825,#N/A,1992.75,20301.25,20103.75,20282.5,20412.5,2438.75,#N/A,2483.75,2488.75,432.5,#N/A,1050000,1180000,1000000,#N/A,1050000,1240000,1200000
20080818,#N/A,1806,20510,20171,20379,20535,2472.4,#N/A,2523.2,2520,449.17,#N/A,1050000,1180000,1000000,#N/A,1050000,1240000,1200000
20080811,#N/A,1781,18495,18327,18400,18395,2484.2,#N/A,2525,2520,449.17,#N/A,1050000,1180000,1000000,#N/A,1050000,1240000,1200000
20080804,#N/A,2065.7,20519,20368,20487,20275,2526,#N/A,2571,2562,497.5,#N/A,1060000,1180000,1000000,#N/A,1050000,1240000,1200000
20080728,#N/A,2213.8,22329,22182,22340,22320,2574,#N/A,2615,2609,505.83,#N/A,1060000,1180000,1000000,#N/A,1050000,1240000,1200000
20080721,#N/A,2121,23100,22920,23120,23015,2600,#N/A,2645,2626,505.83,#N/A,1070000,1180000,1000000,#N/A,1050000,1250000,1200000
