Ç°¸ñºñ±³ Historical Data
Á¶È¸±â°£ :,2008-07-20 ~ 2018-07-18
Ç¥½Ã±âÁØ :,Value(Price)·Î Ç¥½Ã
¼ø¼­ :,ÃÖ±ÙºÎÅÍ(DESC)
º´ÇÕ±âÁØ :,Union
[ÁÖ°£Æò±Õ ±âÁØ]
,"Ã¶±¤¼® 62% [DCE] 2018.09RMB/ton","Ã¶±¤¼® 62% FE [ºÏÁß±¹ ¼öÀÔ°¡(CFR)] Çö¹°USD/dt","Ã¶±¤¼® TSI CFR China (62% Fe Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® Platts CFR China (Lump Premium) Index [SGX] 2018.08USD/100dmtu","Ã¶±¤¼® MB CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® TSI CFR China (58% FE Fines) Index [SGX] 2018.08USD/ton","Ã¶±¤¼® 65% Pellet [Áß±¹(¼öÀÔ°¡)] Çö¹°USD/ton","Ã¶±¤¼® Fine 62% [Áß±¹(CFR)] Çö¹°USD/dmt","Ã¶±¤¼® Fines (Daily) [Áß±¹(¼öÀÔ°¡ CFR)] Çö¹°USD/ton","Àü±âµ¿ [LME] Dec1(2019.12)USD/ton","Àü±âµ¿ [LME] Çö¹°USD/ton","Àü±âµ¿ [LME] Dec2(2020.12)USD/ton","Àü±âµ¿ [LME] Dec3(2021.12)USD/ton","Àü±âµ¿ [LME] 3°³¿ù(o)USD/ton","Àü±âµ¿ [LME] 3°³¿ù(u)USD/ton","¾Ë·ç¹Ì´½ [LME] Çö¹°USD/ton","¾Ë·ç¹Ì´½ [LME] Dec1(2019.12)USD/ton","¾Ë·ç¹Ì´½ [LME] Dec2(2020.12)USD/ton","¾Ë·ç¹Ì´½ [LME] Dec3(2021.12)USD/ton"
20110530,#N/A,171.45,#N/A,#N/A,#N/A,#N/A,199.3,170.9,170.58,#N/A,9112.25,#N/A,#N/A,9125.88,9112.5,2635.88,#N/A,#N/A,#N/A
20110523,#N/A,174,#N/A,#N/A,#N/A,#N/A,199,#N/A,172.77,#N/A,8974.6,#N/A,#N/A,8987.5,8997,2529.3,#N/A,#N/A,#N/A
20110516,#N/A,179.2,#N/A,#N/A,#N/A,#N/A,201.2,#N/A,176.86,#N/A,8891.7,#N/A,#N/A,8919.2,8944,2525.2,#N/A,#N/A,#N/A
20110509,#N/A,182.1,#N/A,#N/A,#N/A,#N/A,204.1,#N/A,179.56,#N/A,8797.5,#N/A,#N/A,8819.7,8782,2627.5,#N/A,#N/A,#N/A
20110502,#N/A,183.19,#N/A,#N/A,#N/A,#N/A,205.5,#N/A,182.16,#N/A,8999.38,#N/A,#N/A,9012.75,9035.5,2696.13,#N/A,#N/A,#N/A
20110425,#N/A,181.4,#N/A,#N/A,#N/A,#N/A,205.6,177.1,179.74,#N/A,9391.5,#N/A,#N/A,9421.17,9456.67,2744.33,#N/A,#N/A,#N/A
20110418,#N/A,180.75,#N/A,#N/A,#N/A,#N/A,202.2,#N/A,179.14,#N/A,9424.25,#N/A,#N/A,9451.5,9465,2691.25,#N/A,#N/A,#N/A
20110411,#N/A,183.55,#N/A,#N/A,#N/A,#N/A,204.2,#N/A,181.38,#N/A,9564.8,#N/A,#N/A,9587.1,9587,2635.8,#N/A,#N/A,#N/A
20110404,#N/A,182,#N/A,#N/A,#N/A,#N/A,201.4,#N/A,175.8,#N/A,9533.4,#N/A,#N/A,9557.1,9576,2632.3,#N/A,#N/A,#N/A
20110328,#N/A,172.17,#N/A,#N/A,#N/A,#N/A,198.3,179.3,169.97,#N/A,9450,#N/A,#N/A,9465.2,9435,2592.4,#N/A,#N/A,#N/A
20110321,#N/A,168.55,#N/A,#N/A,#N/A,#N/A,191.7,#N/A,165.28,#N/A,9616.7,#N/A,#N/A,9626.2,9615,2578,#N/A,#N/A,#N/A
20110314,#N/A,166.4,#N/A,#N/A,#N/A,#N/A,195.6,#N/A,164.06,#N/A,9301,#N/A,#N/A,9312.2,9309,2485.1,#N/A,#N/A,#N/A
20110307,#N/A,173.5,#N/A,#N/A,#N/A,#N/A,203.3,#N/A,171.73,#N/A,9422.8,#N/A,#N/A,9439.4,9383,2543.6,#N/A,#N/A,#N/A
20110228,#N/A,180.8,#N/A,#N/A,#N/A,#N/A,207.92,169.4,178.9,#N/A,9889.2,#N/A,#N/A,9897,9891.8,2567.1,#N/A,#N/A,#N/A
20110221,#N/A,186.4,#N/A,#N/A,#N/A,#N/A,210.94,#N/A,185.89,#N/A,9623.1,#N/A,#N/A,9618.5,9619,2504.1,#N/A,#N/A,#N/A
20110214,#N/A,192.5,#N/A,#N/A,#N/A,#N/A,208.62,#N/A,190.54,#N/A,9957.1,#N/A,#N/A,9945.8,9949,2485.4,#N/A,#N/A,#N/A
20110207,#N/A,189.5,#N/A,#N/A,#N/A,#N/A,206.83,#N/A,184.97,#N/A,9974.3,#N/A,#N/A,9957.7,9996,2518.3,#N/A,#N/A,#N/A
20110131,#N/A,187.42,#N/A,#N/A,#N/A,#N/A,206.3,187.2,183.41,#N/A,9888.4,#N/A,#N/A,9865.8,9913,2515.1,#N/A,#N/A,#N/A
20110124,#N/A,186.42,#N/A,#N/A,#N/A,#N/A,206.3,#N/A,183.75,#N/A,9459,#N/A,#N/A,9444.5,9478,2392.8,#N/A,#N/A,#N/A
20110117,#N/A,185.3,#N/A,#N/A,#N/A,#N/A,199.34,#N/A,180.38,#N/A,9637.6,#N/A,#N/A,9608.5,9547.2,2418.4,#N/A,#N/A,#N/A
20110110,#N/A,177.5,#N/A,#N/A,#N/A,#N/A,197.38,#N/A,173.24,#N/A,9541.2,#N/A,#N/A,9528.5,9542,2474.4,#N/A,#N/A,#N/A
20110103,#N/A,174.38,#N/A,#N/A,#N/A,#N/A,196.5,#N/A,168.91,#N/A,9551.25,#N/A,#N/A,9528,9502.5,2470,#N/A,#N/A,#N/A
20101227,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167.46,#N/A,9594.83,#N/A,#N/A,9536.5,9493.33,2449.17,#N/A,#N/A,#N/A
20101220,#N/A,171.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167.73,#N/A,9347.1,#N/A,#N/A,9298.3,9282.6,2394.5,#N/A,#N/A,#N/A
20101213,#N/A,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167.37,#N/A,9144.7,#N/A,#N/A,9100.4,9126,2307.6,#N/A,#N/A,#N/A
20101206,#N/A,167.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,163.85,#N/A,8968.7,#N/A,#N/A,8928.9,8908,2313.2,#N/A,#N/A,#N/A
20101129,#N/A,166.5,#N/A,#N/A,#N/A,#N/A,#N/A,179.2,162.15,#N/A,8540,#N/A,#N/A,8484.5,8516,2288.6,#N/A,#N/A,#N/A
20101122,#N/A,164.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,160.36,#N/A,8277.4,#N/A,#N/A,8245.4,8238,2242,#N/A,#N/A,#N/A
20101115,#N/A,162.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,157.09,#N/A,8402.7,#N/A,#N/A,8379.3,8409,2285.5,#N/A,#N/A,#N/A
20101108,#N/A,159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154.95,#N/A,8777.1,#N/A,#N/A,8768.3,8756,2430.3,#N/A,#N/A,#N/A
20101101,#N/A,150.88,#N/A,#N/A,#N/A,#N/A,#N/A,187.2,149.15,#N/A,8471.4,#N/A,#N/A,8481.7,8472,2407.1,#N/A,#N/A,#N/A
20101025,#N/A,148.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,146.67,#N/A,8371.2,#N/A,#N/A,8376.3,8370.7,2325.2,#N/A,#N/A,#N/A
20101018,#N/A,150.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148.55,#N/A,8320.2,#N/A,#N/A,8336.1,8367,2340.9,#N/A,#N/A,#N/A
20101011,#N/A,150.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,147.96,#N/A,8355.2,#N/A,#N/A,8358.8,8380,2387.3,#N/A,#N/A,#N/A
20101004,#N/A,147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,140.81,#N/A,8158.5,#N/A,#N/A,8180,8186,2333.2,#N/A,#N/A,#N/A
20100927,#N/A,140.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,138.96,#N/A,7994.6,#N/A,#N/A,8003.6,8015,2291.8,#N/A,#N/A,#N/A
20100920,#N/A,137.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136.12,#N/A,7784.7,#N/A,#N/A,7789.7,7822,2201,#N/A,#N/A,#N/A
20100913,#N/A,137.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.22,#N/A,7633.6,#N/A,#N/A,7647.5,7668.6,2123,#N/A,#N/A,#N/A
20100906,#N/A,141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,139.46,#N/A,7571.5,#N/A,#N/A,7588,7631,2109,#N/A,#N/A,#N/A
20100830,#N/A,141.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141.18,#N/A,7538.25,#N/A,#N/A,7548,7608.25,2084.38,#N/A,#N/A,#N/A
20100823,#N/A,144.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,144.48,#N/A,7194.1,#N/A,#N/A,7213.6,7222,2021.7,#N/A,#N/A,#N/A
20100816,#N/A,146.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,146.52,#N/A,7304.3,#N/A,#N/A,7325.2,7314.2,2108.2,#N/A,#N/A,#N/A
20100809,#N/A,145.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,143.39,#N/A,7246.8,#N/A,#N/A,7271.6,7277,2154.3,#N/A,#N/A,#N/A
20100802,#N/A,140.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,138.99,#N/A,7376.3,#N/A,#N/A,7402,7412,2203,#N/A,#N/A,#N/A
20100726,#N/A,133.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,132.91,#N/A,7121.6,#N/A,#N/A,7149,7182,2067,#N/A,#N/A,#N/A
20100719,#N/A,122.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,120.81,#N/A,6745.3,#N/A,#N/A,6762.8,6809.6,1973.6,#N/A,#N/A,#N/A
20100712,#N/A,116.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,116.97,#N/A,6645.4,#N/A,#N/A,6665.3,6629,1983.6,#N/A,#N/A,#N/A
20100705,#N/A,124.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.17,#N/A,6565.9,#N/A,#N/A,6595.6,6634,1952,#N/A,#N/A,#N/A
20100628,#N/A,133.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,135.54,#N/A,6536.9,#N/A,#N/A,6570,6522,1948.7,#N/A,#N/A,#N/A
20100621,#N/A,141.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141.48,#N/A,6554.6,#N/A,#N/A,6590.2,6608,1929.2,#N/A,#N/A,#N/A
20100614,#N/A,145.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,143.01,#N/A,6524.7,#N/A,#N/A,6552.4,6558,1951.9,#N/A,#N/A,#N/A
20100607,#N/A,144.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,144.56,#N/A,6259.5,#N/A,#N/A,6288.2,6279,1885.8,#N/A,#N/A,#N/A
20100531,#N/A,145.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,140.74,#N/A,6597.63,#N/A,#N/A,6631.25,6581.25,1943.38,#N/A,#N/A,#N/A
20100524,#N/A,145.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,139.4,#N/A,6818.6,#N/A,#N/A,6854.4,6877.8,2008.1,#N/A,#N/A,#N/A
20100517,#N/A,155.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,155.23,#N/A,6586.2,#N/A,#N/A,6617.1,6648,1984.7,#N/A,#N/A,#N/A
20100510,#N/A,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169.42,#N/A,7019.7,#N/A,#N/A,7056.6,7067,2086.1,#N/A,#N/A,#N/A
20100503,#N/A,177.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173.81,#N/A,6948.38,#N/A,#N/A,6991.75,6921.25,2093.88,#N/A,#N/A,#N/A
20100426,#N/A,179.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175.19,#N/A,7515.1,#N/A,#N/A,7552.1,7551.4,2210.1,#N/A,#N/A,#N/A
20100419,#N/A,184.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178.58,#N/A,7686,#N/A,#N/A,7724,7753,2321.7,#N/A,#N/A,#N/A
20100412,#N/A,176.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170.06,#N/A,7893,#N/A,#N/A,7926.4,7906,2408.2,#N/A,#N/A,#N/A
20100405,#N/A,163.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,159.23,#N/A,7887.5,#N/A,#N/A,7920.25,7935.75,2326.13,#N/A,#N/A,#N/A
20100329,#N/A,156.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,152.48,#N/A,7783,#N/A,#N/A,7811.63,7825,2277.63,#N/A,#N/A,#N/A
20100322,#N/A,148.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145.54,#N/A,7370.6,#N/A,#N/A,7406.5,7441,2198.8,#N/A,#N/A,#N/A
20100315,#N/A,141.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.48,#N/A,7419.3,#N/A,#N/A,7446.5,7433.2,2228.2,#N/A,#N/A,#N/A
20100308,#N/A,133.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,130.29,#N/A,7463,#N/A,#N/A,7499,7505,2213.7,#N/A,#N/A,#N/A
20100301,#N/A,133.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,131.18,#N/A,7425.9,#N/A,#N/A,7459,7481,2149.1,#N/A,#N/A,#N/A
20100222,#N/A,131.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,129.95,#N/A,7143,#N/A,#N/A,7172.6,7174.8,2085.1,#N/A,#N/A,#N/A
20100215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,125.49,#N/A,7035.9,#N/A,#N/A,7060.7,7140,2065.6,#N/A,#N/A,#N/A
20100208,#N/A,126.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.12,#N/A,6572.6,#N/A,#N/A,6598.3,6594.2,2003.2,#N/A,#N/A,#N/A
20100201,#N/A,121.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,121.98,#N/A,6641.2,#N/A,#N/A,6658.2,6614,2041.8,#N/A,#N/A,#N/A
20100125,#N/A,121.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,120,#N/A,7171,#N/A,#N/A,7191.6,7165,2148.7,#N/A,#N/A,#N/A
20100118,#N/A,124.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.93,#N/A,7396.4,#N/A,#N/A,7419.8,7417,2241.8,#N/A,#N/A,#N/A
20100111,#N/A,128.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,126.5,#N/A,7472.1,#N/A,#N/A,7499.8,7488,2281.3,#N/A,#N/A,#N/A
20100104,#N/A,125.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122.02,#N/A,7505.5,#N/A,#N/A,7536.9,7560,2268.8,#N/A,#N/A,#N/A
20091228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109.74,#N/A,7287.33,#N/A,#N/A,7319.83,7300,2230.67,#N/A,#N/A,#N/A
20091221,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,106.78,#N/A,6926.75,#N/A,#N/A,6962.63,6945,2211.25,#N/A,#N/A,#N/A
20091214,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,103.99,#N/A,6881.6,#N/A,#N/A,6922.3,6926.6,2228,#N/A,#N/A,#N/A
20091207,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99.32,#N/A,6899.4,#N/A,#N/A,6937.6,6929,2147.6,#N/A,#N/A,#N/A
20091130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98.58,#N/A,6991.3,#N/A,#N/A,7019.7,7068.4,2074.8,#N/A,#N/A,#N/A
20091123,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102.33,#N/A,6876.8,#N/A,#N/A,6902.6,6900,1998.1,#N/A,#N/A,#N/A
20091116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101.29,#N/A,6775.9,#N/A,#N/A,6799.4,6824.8,1991.8,#N/A,#N/A,#N/A
20091109,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97.36,#N/A,6522.1,#N/A,#N/A,6539.3,6549.2,1914.8,#N/A,#N/A,#N/A
20091102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92.38,#N/A,6499.8,#N/A,#N/A,6528.2,6546,1880.9,#N/A,#N/A,#N/A
20091026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88.77,#N/A,6542.6,#N/A,#N/A,6566.3,6564,1937.3,#N/A,#N/A,#N/A
20091019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.79,#N/A,6451.1,#N/A,#N/A,6471.4,6538,1909.9,#N/A,#N/A,#N/A
20091012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.19,#N/A,6189.5,#N/A,#N/A,6213.6,6203,1875.3,#N/A,#N/A,#N/A
20091005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.24,#N/A,6093.1,#N/A,#N/A,6116,6140.6,1814.4,#N/A,#N/A,#N/A
20090928,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.3,#N/A,5984.1,#N/A,#N/A,5999.7,6010,1807.3,#N/A,#N/A,#N/A
20090921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.4,#N/A,6110.2,#N/A,#N/A,6123.8,6094,1834.9,#N/A,#N/A,#N/A
20090914,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.58,#N/A,6230,#N/A,#N/A,6255.6,6289.2,1858.5,#N/A,#N/A,#N/A
20090907,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.15,#N/A,6354.7,#N/A,#N/A,6361.6,6370.8,1845.2,#N/A,#N/A,#N/A
20090831,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77,#N/A,6220.13,#N/A,#N/A,6231.88,6233.75,1816.25,#N/A,#N/A,#N/A
20090824,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.64,#N/A,6340.6,#N/A,#N/A,6354.4,6338,1867.2,#N/A,#N/A,#N/A
20090817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94.75,#N/A,6083.2,#N/A,#N/A,6084.9,6064,1923.9,#N/A,#N/A,#N/A
20090810,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102.2,#N/A,6233.4,#N/A,#N/A,6236,6210,1979.1,#N/A,#N/A,#N/A
20090803,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99,#N/A,6004,#N/A,#N/A,6011.2,6065,1964.8,#N/A,#N/A,#N/A
20090727,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91.61,#N/A,5577.5,#N/A,#N/A,5575.6,5584,1820,#N/A,#N/A,#N/A
20090720,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.05,#N/A,5422.4,#N/A,#N/A,5434.6,5452,1722.8,#N/A,#N/A,#N/A
20090713,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81.83,#N/A,5107.4,#N/A,#N/A,5101.5,5134,1605.5,#N/A,#N/A,#N/A
20090706,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.85,#N/A,4876.4,#N/A,#N/A,4882.3,4886,1560.9,#N/A,#N/A,#N/A
20090629,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.9,#N/A,5046.5,#N/A,#N/A,5055,5049,1609.8,#N/A,#N/A,#N/A
20090622,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.05,#N/A,4929.3,#N/A,#N/A,4949.1,4970,1602.1,#N/A,#N/A,#N/A
20090615,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.94,#N/A,4989.6,#N/A,#N/A,5008.4,4993,1596.2,#N/A,#N/A,#N/A
20090608,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.24,#N/A,5133.9,#N/A,#N/A,5152.4,5185.2,1618.2,#N/A,#N/A,#N/A
20090601,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.31,#N/A,4969.9,#N/A,#N/A,4983.1,4995.2,1461.5,#N/A,#N/A,#N/A
20090525,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.45,#N/A,4653,#N/A,#N/A,4665.63,4692.25,1386.63,#N/A,#N/A,#N/A
20090518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.15,#N/A,4526,#N/A,#N/A,4542.6,4562,1450.1,#N/A,#N/A,#N/A
20090511,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.67,#N/A,4463.6,#N/A,#N/A,4480.6,4519,1486.9,#N/A,#N/A,#N/A
20090504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.38,#N/A,4685.75,#N/A,#N/A,4694.25,4662.5,1508.88,#N/A,#N/A,#N/A
20090427,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.31,#N/A,4361.4,#N/A,#N/A,4358.2,4403.8,1423.8,#N/A,#N/A,#N/A
20090420,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.73,#N/A,4477.7,#N/A,#N/A,4479.1,4496,1414.1,#N/A,#N/A,#N/A
20090413,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.23,#N/A,4705.75,#N/A,#N/A,4720,4718.75,1459.63,#N/A,#N/A,#N/A
20090406,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.96,#N/A,4352.38,#N/A,#N/A,4381.75,4408.25,1435.5,#N/A,#N/A,#N/A
20090330,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.48,#N/A,4022.2,#N/A,#N/A,4056.6,4069.2,1371.3,#N/A,#N/A,#N/A
20090323,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.7,#N/A,3966.3,#N/A,#N/A,4007,4022,1384.8,#N/A,#N/A,#N/A
20090316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.47,#N/A,3806.4,#N/A,#N/A,3851.8,3862.8,1360.3,#N/A,#N/A,#N/A
20090309,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.37,#N/A,3607.1,#N/A,#N/A,3638.3,3652.4,1296.5,#N/A,#N/A,#N/A
20090302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.81,#N/A,3537.7,#N/A,#N/A,3563.1,3617,1290.5,#N/A,#N/A,#N/A
20090223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.04,#N/A,3315.9,#N/A,#N/A,3345.8,3363.6,1282,#N/A,#N/A,#N/A
20090216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.98,#N/A,3227,#N/A,#N/A,3264,3257,1293.4,#N/A,#N/A,#N/A
20090209,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81.86,#N/A,3424.5,#N/A,#N/A,3464.5,3475,1372.1,#N/A,#N/A,#N/A
20090202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.83,#N/A,3291.5,#N/A,#N/A,3335.6,3369.8,1373.3,#N/A,#N/A,#N/A
20090126,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.25,#N/A,3227.6,#N/A,#N/A,3270.9,3301,1312.4,#N/A,#N/A,#N/A
20090119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.34,#N/A,3202.6,#N/A,#N/A,3232.5,3249,1335.7,#N/A,#N/A,#N/A
20090112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.09,#N/A,3227.6,#N/A,#N/A,3265.5,3266,1449.3,#N/A,#N/A,#N/A
20090105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.64,#N/A,3254.9,#N/A,#N/A,3300.8,3302.4,1539.3,#N/A,#N/A,#N/A
20081229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.54,#N/A,2907,#N/A,#N/A,2949.5,2997.5,1463.13,#N/A,#N/A,#N/A
20081222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.43,#N/A,2843.67,#N/A,#N/A,2885,2911.67,1493.33,#N/A,#N/A,#N/A
20081215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.15,#N/A,2961.5,#N/A,#N/A,3005.5,3032,1433.1,#N/A,#N/A,#N/A
20081208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.38,#N/A,3131.2,#N/A,#N/A,3165.4,3254,1476.6,#N/A,#N/A,#N/A
20081201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.82,#N/A,3392,#N/A,#N/A,3422.4,3407,1582,#N/A,#N/A,#N/A
20081124,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3653.8,#N/A,#N/A,3693.4,3704,1733.7,#N/A,#N/A,#N/A
20081117,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3511.5,#N/A,#N/A,3573.3,3621,1796.6,#N/A,#N/A,#N/A
20081110,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3720.1,#N/A,#N/A,3764.2,3739,1899.4,#N/A,#N/A,#N/A
20081103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3982.6,#N/A,#N/A,4006.4,4077,1980,#N/A,#N/A,#N/A
20081027,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4145.5,#N/A,#N/A,4142.8,4167,2002.5,#N/A,#N/A,#N/A
20081020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4271.7,#N/A,#N/A,4262.2,4271.2,1982.7,#N/A,#N/A,#N/A
