품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","Baltic Dry Index (BDI)1985.01.04","Baltic Capesize Index (BCI)1999.03.01","Baltic Panamax Index (BPI)1998.05.06","Baltic Clean Tanker Index (BCTI)1998.08.03","Baltic Dirty Tanker Index (BDTI)1998.08.03","Baltic Supramax index (BSI)2005.01.01","Baltic Handysize Index (BHSI)2006.05.23","SSY/Pacific Capesize Index1997.1.6=4114","SSY/Atlantic Capesize Index1997.1.6=5000","Howe Robinson Container Index1997.1.15=1000","China Containerized Freight Index (CCFI)1998.1.1=1000","Shanghai Containerized Freight Index (SCFI)2009.10.16=1000","China Coastal Bulk Freight Index (CBFI)2000.1.1=1000","China Newbuilding Price Index (CNPI)2011.07.01=1000","China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000","China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000","China Container Newbuilding Price Index (CNCPI)2011.07.01=1000"
20180718,65.24,1688,3230,1529,494,714,1008,561,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180717,64.07,1721,3335,1530,494,723,1003,561,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180716,64.56,1695,3238,1529,499,738,998,559,6136,9936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180713,64.04,1666,3156,1527,499,744,995,559,#N/A,#N/A,#N/A,822.94,825.57,1130.14,#N/A,#N/A,#N/A,#N/A
20180712,64.06,1632,3041,1517,500,738,994,558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180711,63.34,1586,2793,1498,499,741,992,558,#N/A,#N/A,825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180710,63.9,1555,2792,1431,499,732,994,560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180709,63.92,1609,3016,1367,501,729,997,562,6034,9953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180706,63.84,1622,3086,1347,502,721,999,563,#N/A,#N/A,#N/A,808.55,817.4,1088.39,#N/A,#N/A,#N/A,#N/A
20180705,63.14,1612,3013,1339,502,710,1005,565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180704,64.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,832,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180703,64.55,1476,2478,1336,501,702,1025,571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180702,64.54,1422,2304,1338,500,705,1034,575,4997,8625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,801,828,855,821
20180629,65.02,1385,2170,1336,496,712,1042,581,#N/A,#N/A,#N/A,815.89,821.18,1105.5,#N/A,#N/A,#N/A,#N/A
20180628,64.44,1329,2025,1331,493,724,1055,583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180627,64.6,1309,1942,1324,496,727,1067,585,#N/A,#N/A,842,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180626,66.62,1323,1986,1321,500,735,1078,589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180625,65.49,1333,2001,1339,503,745,1085,592,4977,8038,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180622,65.34,1341,2011,1355,506,745,1092,593,#N/A,#N/A,#N/A,812.18,751.13,1133.57,#N/A,#N/A,#N/A,#N/A
20180621,64.88,1347,2038,1382,507,742,1094,592,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180620,65.49,1373,2090,1419,506,743,1094,593,#N/A,#N/A,843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180619,66.45,1419,2187,1458,507,743,1093,594,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180618,68.49,1442,2228,1482,511,736,1092,595,5455,8331,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180615,#N/A,1445,2223,1495,515,746,1091,593,#N/A,#N/A,#N/A,814.83,777.7,1150.02,#N/A,#N/A,#N/A,#N/A
20180614,68.49,1433,2184,1498,518,760,1089,592,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180613,67.02,1404,2091,1488,518,768,1088,591,#N/A,#N/A,846,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180612,67.23,1390,2068,1474,522,751,1084,588,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180611,66.75,1387,2091,1451,525,746,1078,586,5372,7908,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180608,#N/A,1391,2151,1418,531,734,1075,584,#N/A,#N/A,#N/A,796.65,806.04,1207.08,#N/A,#N/A,#N/A,#N/A
20180607,66.84,1395,2220,1344,535,731,1072,583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180606,66.56,1340,2088,1290,538,735,1065,583,#N/A,#N/A,843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180605,66.34,1249,1835,1250,541,745,1065,584,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180604,65.47,1193,1712,1217,546,749,1061,583,4631,6911,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180601,66.16,1156,1602,1192,549,754,1061,583,#N/A,#N/A,#N/A,788.78,829.09,1217.83,#N/A,#N/A,#N/A,#N/A
20180531,65.32,1090,1401,1160,555,754,1063,583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180530,65.78,1042,1276,1149,569,779,1064,584,#N/A,#N/A,832,#N/A,#N/A,#N/A,794,824,849,810
20180529,#N/A,1057,1324,1163,563,781,1068,586,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180528,63.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180525,63.94,1077,1395,1187,558,776,1071,587,#N/A,#N/A,#N/A,789.76,764.34,1240.74,#N/A,#N/A,#N/A,#N/A
20180524,65.54,1109,1551,1202,558,776,1074,590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180523,64.11,1162,1759,1222,535,748,1074,591,#N/A,#N/A,826,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180522,64.41,1199,1854,1239,535,748,1074,590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180521,65.3,1239,1957,1243,526,729,1071,591,5019,7280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180518,#N/A,1273,2053,1241,525,714,1069,590,#N/A,#N/A,#N/A,785.63,753.83,1222.31,#N/A,#N/A,#N/A,#N/A
20180517,67.49,1305,2106,1239,524,692,1064,589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180516,68.03,1403,2407,1237,529,681,1056,587,#N/A,#N/A,822,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180515,67.28,1468,2602,1237,532,667,1053,586,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180514,68.93,1476,2635,1240,540,656,1055,585,5553,8522,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180511,67.42,1472,2630,1245,542,657,1053,584,#N/A,#N/A,#N/A,763.12,778.83,1163.88,#N/A,#N/A,#N/A,#N/A
20180510,66.83,1453,2565,1246,540,656,1052,584,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180509,66.46,1465,2616,1253,541,656,1048,585,#N/A,#N/A,812,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180508,66.8,1432,2482,1257,545,650,1051,585,5136,8079,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180507,67.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180504,#N/A,1384,2337,1265,545,650,1050,589,#N/A,#N/A,#N/A,743.71,776.88,1132.6,#N/A,#N/A,#N/A,#N/A
20180503,66.87,1376,2308,1266,546,648,1047,591,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180502,66.98,1346,2197,1271,545,647,1043,597,#N/A,#N/A,793,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180501,#N/A,1327,2136,1271,560,655,1043,601,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180430,65.43,1341,2173,1276,567,656,1045,603,4915,8004,#N/A,#N/A,#N/A,#N/A,790,819,844,806
20180427,65.68,1361,2251,1275,571,655,1042,605,#N/A,#N/A,#N/A,744.06,760.67,1136.88,#N/A,#N/A,#N/A,#N/A
20180426,66.258,1375,2306,1272,571,648,1040,610,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180425,66.38,1376,2314,1264,563,639,1037,614,#N/A,#N/A,785,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180424,#N/A,1330,2130,1269,557,637,1030,617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180423,67.67,1306,2009,1281,555,639,1027,621,4674,7323,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180420,67.06,1281,1915,1289,558,637,1025,621,#N/A,#N/A,#N/A,750.37,674.58,1058.65,#N/A,#N/A,#N/A,#N/A
20180419,68.45,1201,1668,1306,557,637,1022,623,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180418,65.88,1124,1402,1329,554,635,1022,626,#N/A,#N/A,773,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180417,64.51,1052,1152,1353,538,636,1018,626,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180416,63.93,1025,1061,1359,535,638,1016,626,3814,5282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180413,64.96,1014,1038,1351,529,640,1013,628,#N/A,#N/A,#N/A,748.16,659.74,989.45,#N/A,#N/A,#N/A,#N/A
20180412,64.47,993,982,1335,525,639,1014,630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180411,64.79,979,940,1325,523,628,1014,634,#N/A,#N/A,761,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180410,65.3,974,930,1319,510,631,1016,636,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180409,63.95,952,854,1315,498,637,1024,638,3502,4995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180406,63.57,948,824,1317,501,643,1032,643,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180405,63.57,953,809,1343,510,646,1042,644,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180404,63.57,977,841,1397,520,648,1056,648,#N/A,#N/A,755,757.66,654.17,998.58,#N/A,#N/A,#N/A,#N/A
20180403,63.76,1016,924,1455,543,651,1067,650,3730,5312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180402,65.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180330,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,769.67,658.68,1030.68,784,811,839,799
20180329,#N/A,1055,1010,1495,560,661,1080,652,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180328,63.12,1080,1065,1520,563,662,1093,650,#N/A,#N/A,746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180327,65.17,1117,1191,1552,563,662,1106,648,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180326,64.33,1126,1197,1575,563,658,1116,645,3953,5514,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180323,64.58,1122,1157,1587,554,652,1121,641,#N/A,#N/A,#N/A,788.74,646.59,1064.33,#N/A,#N/A,#N/A,#N/A
20180322,67.18,1117,1129,1593,560,649,1122,639,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180321,67.25,1117,1109,1606,561,645,1117,634,#N/A,#N/A,734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180320,66.94,1122,1112,1615,559,636,1109,630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180319,67.45,1136,1171,1621,564,635,1099,629,4019,5692,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180316,69.84,1143,1203,1618,564,639,1091,627,#N/A,#N/A,#N/A,809.75,675.46,1027.97,#N/A,#N/A,#N/A,#N/A
20180315,72.11,1150,1238,1619,563,641,1077,626,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180314,71.64,1169,1312,1623,567,642,1061,622,#N/A,#N/A,703,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180313,69.78,1179,1362,1623,577,648,1049,617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180312,69.93,1192,1425,1624,580,653,1040,615,4267,6063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180309,70.09,1201,1479,1615,580,653,1032,611,#N/A,#N/A,#N/A,830.88,729.49,1022.71,#N/A,#N/A,#N/A,#N/A
20180308,73.23,1197,1489,1590,585,651,1026,607,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180307,75.84,1191,1495,1553,590,648,1020,599,#N/A,#N/A,677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180306,76.07,1212,1587,1528,596,654,1013,595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180305,77.03,1210,1597,1502,598,664,1006,590,4432,6511,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180302,78.43,1207,1592,1500,600,669,1004,586,#N/A,#N/A,#N/A,845.48,772.45,1079.79,#N/A,#N/A,#N/A,#N/A
20180301,79.39,1196,1568,1505,604,662,992,579,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180228,78.61,1192,1560,1513,622,658,973,557,#N/A,#N/A,661,#N/A,#N/A,#N/A,778,799,833,797
20180227,79.15,1188,1595,1513,621,658,948,545,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180226,79.36,1191,1680,1504,618,652,919,538,4652,6818,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180223,78.82,1185,1722,1481,622,646,892,534,#N/A,#N/A,#N/A,848.32,854.19,1063.33,#N/A,#N/A,#N/A,#N/A
20180222,78.2,1167,1725,1438,618,645,871,529,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180221,#N/A,1146,1717,1388,617,640,856,522,#N/A,#N/A,651,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180220,#N/A,1117,1678,1333,613,641,847,519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4374,6681,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180216,#N/A,1084,1608,1273,628,649,837,515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180215,78.43,1089,1663,1251,630,649,832,515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180214,78.41,1095,1721,1231,638,642,823,516,#N/A,#N/A,649,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180213,77.36,1114,1793,1228,642,637,817,518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180212,76.24,1123,1824,1237,634,640,819,520,4674,7164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180209,76.46,1125,1790,1250,632,642,825,526,#N/A,#N/A,#N/A,836.6,871.76,1063.38,#N/A,#N/A,#N/A,#N/A
20180208,77.32,1106,1662,1263,619,643,833,529,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180207,77.2,1097,1578,1293,614,648,844,532,#N/A,#N/A,645,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180206,75.92,1095,1519,1316,615,648,857,538,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180205,75.7,1082,1433,1339,606,654,865,543,4072,6338,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180202,74.39,1095,1470,1359,606,658,872,547,#N/A,#N/A,#N/A,829,883.59,1221.69,#N/A,#N/A,#N/A,#N/A
20180201,72.88,1114,1528,1378,598,661,877,552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180131,72.92,1152,1613,1411,602,664,884,558,#N/A,#N/A,640,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180130,72.97,1191,1748,1450,628,670,889,566,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,771,791,827,790
20180129,74.33,1214,1784,1485,637,679,895,573,4387,6825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180126,74.4,1219,1772,1492,623,682,900,577,#N/A,#N/A,#N/A,819.59,858.6,1386.07,#N/A,#N/A,#N/A,#N/A
20180125,75.04,1217,1752,1481,589,683,904,581,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180124,74.53,1200,1676,1456,571,691,908,584,#N/A,#N/A,637,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180123,76.75,1157,1525,1404,569,694,911,586,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180122,76.61,1129,1445,1362,564,702,913,585,3955,6697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180119,76.75,1125,1493,1333,567,705,911,584,#N/A,#N/A,#N/A,813,840.36,1416.08,#N/A,#N/A,#N/A,#N/A
20180118,74.87,1139,1611,1311,570,707,910,580,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180117,74.51,1164,1743,1317,566,715,910,581,#N/A,#N/A,631,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180116,75.71,1221,2010,1329,569,717,910,583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180115,76.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4783,7973,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180112,78.05,1279,2296,1348,602,684,907,587,#N/A,#N/A,#N/A,791.38,839.72,1477.53,#N/A,#N/A,#N/A,#N/A
20180111,79.08,1303,2384,1371,609,681,902,587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180110,78.31,1366,2677,1404,616,685,898,589,#N/A,#N/A,624,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180109,78.47,1395,2820,1428,628,691,889,592,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180108,77.74,1385,2826,1424,646,682,886,594,5379,8574,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180105,76.8,1371,2791,1400,656,680,884,600,#N/A,#N/A,#N/A,773.28,816.58,1387.18,#N/A,#N/A,#N/A,#N/A
20180104,76.54,1341,2715,1365,653,676,884,604,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180103,74.97,1262,2426,1332,653,683,894,607,#N/A,#N/A,610,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20180102,74.71,1230,2281,1340,655,700,901,612,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,768,787,823,789
20171229,72.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,770.64,824.18,1470.86,#N/A,#N/A,#N/A,#N/A
20171228,72.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171227,72.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171226,76.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171222,76.36,1366,2830,1395,720,827,914,625,5938,8236,#N/A,763.75,723.2,1597.83,#N/A,#N/A,#N/A,#N/A
20171221,72.82,1430,3115,1445,719,831,925,627,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171220,72.84,1476,3216,1546,722,825,933,632,#N/A,#N/A,600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171219,73.93,1547,3510,1593,723,824,938,636,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171218,74.15,1588,3656,1643,722,820,943,637,6687,9373,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171215,71.5,1619,3777,1677,707,815,942,636,#N/A,#N/A,#N/A,764.43,727.14,1577.71,#N/A,#N/A,#N/A,#N/A
20171214,69.94,1668,3936,1714,702,814,944,635,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171213,70.85,1730,4211,1718,694,812,943,633,#N/A,#N/A,599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171212,71.25,1743,4293,1672,686,812,942,633,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171211,68.82,1727,4272,1624,684,814,939,632,6986,10579,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171208,69.35,1702,4193,1588,686,814,943,631,#N/A,#N/A,#N/A,763.14,703.67,1462.26,#N/A,#N/A,#N/A,#N/A
20171207,65.7,1679,4147,1564,679,823,944,630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171206,69.36,1670,4126,1563,685,824,945,629,#N/A,#N/A,593,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171205,71.77,1666,4115,1571,688,822,944,628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171204,72.68,1662,4129,1559,677,821,944,626,6907,10020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171201,70.11,1626,4025,1494,649,820,944,626,#N/A,#N/A,#N/A,772.77,732.04,1395.47,#N/A,#N/A,#N/A,#N/A
20171130,68.13,1578,3848,1433,634,806,941,623,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,766,783,822,786
20171129,67.92,1536,3740,1368,615,794,936,622,#N/A,#N/A,592,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171128,67.76,1506,3659,1320,611,799,929,620,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171127,67.27,1477,3540,1299,603,798,923,619,6209,8967,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171124,67.94,1458,3453,1295,602,812,914,620,#N/A,#N/A,#N/A,785.2,705.19,1379.5,#N/A,#N/A,#N/A,#N/A
20171123,67.69,1445,3420,1284,600,820,899,622,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171122,65.17,1413,3298,1281,599,826,875,624,#N/A,#N/A,590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171121,62.5,1396,3255,1275,595,827,856,625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171120,63.47,1385,3214,1280,594,827,850,628,5830,8596,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171117,62.61,1371,3153,1285,590,809,845,630,#N/A,#N/A,#N/A,794.47,734.15,1320.85,#N/A,#N/A,#N/A,#N/A
20171116,61.57,1361,3084,1298,594,790,849,634,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171115,61.84,1374,3108,1320,582,787,858,637,#N/A,#N/A,587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171114,63.17,1405,3209,1346,570,790,872,640,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171113,62.19,1445,3351,1387,556,796,888,642,6066,8894,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171110,62.6,1464,3360,1418,550,803,912,644,#N/A,#N/A,#N/A,784.29,782.25,1246.06,#N/A,#N/A,#N/A,#N/A
20171109,62.32,1481,3349,1468,546,802,936,648,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
