품목비교 Historical Data
조회기간 :,2008-07-12 ~ 2018-07-10
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 원자재 지수2015.01.02=100","PDS 귀금속 하위지수2015.01.02=100","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000","CNY/KRW (중국 인민폐 / 한국 원)","USD/RMB (미국 달러 / 중국 인민폐)"
20140317,109.88,,,,,,,,2944.24,76.62,6083.86,356.78,3682.95,856.72,2143.17,1153.41,173.396,6.139
20140310,107.83,,,,,,,,2949.28,76.48,6072.87,359.44,3696.55,863.23,2160.6,1149.46,173.766,6.133
20140303,115.7,,,,,,,,3081.82,76.66,6140.25,358.91,3726.03,880.7,2196.89,1136.66,174.612,6.1227
20140224,118.11,,,,,,,,3086.92,76.85,6226.09,357.85,3675.91,880.67,2191.12,1096.52,175.27,6.1201
20140217,123.49,,,,,,,,3115.94,76.82,6345.83,357.9,3678.24,889.05,2197.72,1084.25,175.42,6.111
20140210,121.56,,,,,,,,3074.28,76.93,6394.95,352.26,3585.86,865.14,2146.92,1057.89,176.434,6.108
20140203,122.45,,,,,,,,3043.36,77.33,6395.32,343.35,3521.46,846.65,2105,1044.23,178.036,6.1089
20140127,123.6,,,,,,,,3068.6,77.4,6393.28,349.3,3494.73,843.9,2117.58,1022.42,178.5633,6.105
20140120,124.85,,,,,,,,3143.52,77.36,6387.3,354.21,3500.96,836.18,2164.63,1025.77,176.138,6.1076
20140113,130.32,,,,,,,,3159.7,77.15,6407.06,352.44,3467.84,814.34,2174.29,1028.54,175.42,6.0998
20140106,132.58,,,,,,,,3119.66,76.92,6386.96,354.8,3448.18,812.02,2142.03,1024.98,175.634,6.1059
20131230,134.55,,,,,,,,3159.43,76.33,6282.22,363.26,3511.78,839.14,2158.61,1031.99,173.9875,6.1006
20131223,132.69,,,,,,,,3152.8,76.37,6197.31,358.99,3562.61,861.51,2150.24,1042.73,174.685,6.1134
20131216,133.3,,,,,,,,3131.06,76.22,6146.33,352.46,3535.31,847.51,2138.9,1045.09,173.518,6.1143
20131209,138.65,,,,,,,,3106.5,76.02,6114.02,354.81,3533.58,840.8,2139.78,1054.13,173.514,6.1121
20131202,138.33,,,,,,,,3034.84,76.37,5783.31,352.94,3513.05,840,2098.02,1050.29,173.982,6.1303
20131125,136.73,,,,,,,,3036.36,76.31,5658.97,348.9,3477.44,821.15,2109.06,1046.97,174.156,6.1339
20131118,136.72,,,,,,,,3040.1,76.05,5688.86,341.72,3464.18,816.97,2125.27,1037.75,174.026,6.134
20131111,136.72,,,,,,,,3053.66,76.12,5783.25,338.69,3463.37,810.04,2150.6,1040.95,175.418,6.1352
20131104,136.41,,,,,,,,3094.72,75.86,5934.93,336.48,3457.2,801.94,2189.97,1037.46,174.2,6.1442
20131028,132.52,,,,,,,,3155,75.24,5895.57,341.26,3532.02,825.41,2238.26,1044.56,174.262,6.14
20131021,133.42,,,,,,,,3145.36,74.72,5999.95,340.2,3570.71,830.64,2234.27,1076.04,174.03,6.1349
20131014,134.43,,,,,,,,3136.84,75.2,6114.34,340.51,3601.88,854.48,2197.77,1075.55,174.986,6.1406
20131007,132.35,,,,,,,,3113.28,75.31,6124.35,337.58,3599.84,855.83,2191,1073.66,175.305,6.1439
20130930,131.41,,,,,,,,3111.6,75.09,6013.9,334.58,3581.07,848.59,2184.51,1071.03,175.6175,6.148
20130923,133.88,,,,,,,,3105.22,75.39,5966.33,340.7,3588.5,848.77,2191.91,1074.96,176.028,6.1486
20130916,132.23,,,,,,,,3090.7,75.7,6003.62,342.2,3613.59,866.42,2188.86,1069.96,177.095,6.1561
20130909,136.37,,,,,,,,3070.3,76.34,5618.74,350.87,3649.06,877.97,2202.57,1078.08,177.748,6.1602
20130902,138.38,,,,,,,,3081.4,77.01,4900.46,354.86,3676.72,889.58,2230.71,1075.47,179.844,6.1715
20130826,140.89,,,,,,,,3117.85,76.63,4737.96,353.07,3698.59,885.78,2276.31,1086.46,182.16,6.1687
20130819,139.22,,,,,,,,3175.92,76.18,4762.46,344.36,3640.81,860.51,2283.52,1074.8,182.736,6.1694
20130812,141.96,,,,,,,,3174,76.18,4721.99,339.09,3631.19,859.16,2263.73,1074.61,182.2325,6.169
20130805,133.65,,,,,,,,3063.74,76.13,4764.36,331.89,3543.04,841.91,2169.37,1054.65,182.478,6.1723
20130729,130.81,,,,,,,,2993.34,76.45,4927.32,336.66,3550.47,848.48,2138.98,1060.07,181.886,6.1772
20130722,132.83,,,,,,,,3030.66,76.52,5049.87,341.9,3588.18,853.33,2159.97,1078.52,182.16,6.1719
20130715,130.53,,,,,,,,3001.38,77.21,5159.12,339.25,3601.47,859.59,2129.85,1089.41,182.632,6.1696
20130708,124.51,,,,,,,,2986.28,77.99,5185.07,335.94,3566.17,844.09,2116.06,1088.81,185.926,6.1684
20130701,121.46,,,,,,,,3002.34,77.87,5281.19,329.41,3496.11,816.63,2110.69,1080.55,185.774,6.1785
20130624,115.71,,,,,,,,2936.26,77.28,5262.31,318.71,3445.32,787.8,2079.63,1088.9,187.988,6.1787
20130617,119.04,,,,,,,,3008.56,75.78,5251.33,327.86,3529.61,803.07,2161.17,1113.56,184.85,6.1678
20130610,112.53,,,,,,,,3078.98,75.45,5039.04,330.24,3548.95,800.85,2225.9,1115.65,183.73,6.161
20130603,115.18,,,,,,,,3200.56,76.47,4780.73,338.34,3562.27,790.31,2302,1123.74,183.2625,6.1731
20130527,115.75,,,,,,,,3152.9,77.53,4596.56,344.73,3535.89,786.23,2263.34,1118.71,184.054,6.182
20130520,124.21,,,,,,,,3153.34,77.7,4520.94,347.77,3560.43,798.56,2247.74,1123.56,181.918,6.1925
20130513,127.15,,,,,,,,3127.36,77.33,4461.19,350.01,3562.24,796.91,2243.27,1129.46,180.665,6.2054
20130506,131.63,,,,,,,,3160.43,76.11,4456.73,346.62,3588.91,803.41,2284.54,1129.67,177.654,6.2024
20130429,131.83,,,,,,,,3056.96,75.77,4443.18,334.83,3560.61,789.33,2254.11,1138.27,179.27,6.2117
20130422,136.22,,,,,,,,3086.96,76.59,4474.22,337.21,3514.94,777.31,2261.78,1116.3,181.082,6.2333
20130415,139.6,,,,,,,,3116.22,76.31,4579.93,329.78,3489.19,758.64,2253.56,1128.95,181.55,6.2403
20130408,141,,,,,,,,3238.86,76.18,4610.9,358.38,3610.75,796.76,2383.69,1132.31,182.968,6.2584
20130401,136.93,,,,,,,,3204.03,76.15,4620.19,347.51,3633.47,811.46,2383.05,1126.63,180.05,6.2623
20130325,137.14,,,,,,,,3281.55,76.3,4570.13,351.67,3718.56,822.35,2439.06,1167.53,178.96,6.2713
20130318,134.31,,,,,,,,3287.56,76.29,4617.77,352.28,3694.55,806.03,2453.26,1171.46,179.222,6.2731
20130311,139.86,,,,,,,,3364.02,76.38,4668.8,357.09,3707.96,806.66,2488.05,1172.71,176.524,6.2743
20130304,147.91,,,,,,,,3343.66,76.22,4207.94,348.87,3673.49,798.95,2475.28,1159.35,174.568,6.2774
20130225,151.81,,,,,,,,3391.84,75.74,3750.14,349.94,3693.6,806.19,2513.63,1153.71,174.405,6.2833
20130218,158.21,,,,,,,,3475.58,75.08,3659.1,362.91,3757.08,824.66,2558.68,1164.74,173.246,6.2832
20130211,155.89,,,,,,,,3591.68,74.39,3610.98,369.59,3829.69,843.24,2659.54,1168.43,174.8525,6.2856
20130204,155.43,,,,,,,,3593.98,74.01,3591.79,367.78,3845.47,835.96,2676.11,1191.1,174.836,6.2856
20130128,151.15,,,,,,,,3553.52,73.65,3469.81,354.85,3835.93,833.17,2648.31,1195.23,174.042,6.2818
20130121,148.21,,,,,,,,3503.64,73.83,3438.05,345.78,3792.96,821.63,2630.26,1182.76,170.918,6.2787
20130114,147.21,,,,,,,,3474.9,73.46,3426.84,341.92,3756.52,809.12,2602.75,1180.61,170.04,6.273
20130107,156.52,,,,,,,,3498.22,73.62,3366.02,335.98,3707.42,801.03,2590.96,1154.44,170.676,6.2799
20121231,148.67,,,,,,,,3516.18,73.59,3349.76,333.52,3709.89,798.2,2606.19,1157.82,171.36,6.2876
20121224,139.22,,,,,,,,3441.33,73.35,3250.17,325.95,3692.24,786.9,2564.76,1174.93,172.3175,6.2925
20121217,135.32,,,,,,,,3466.28,72.93,3197.93,319.27,3690.5,777.48,2590,1184.66,172.1025,6.2879
20121210,126.48,,,,,,,,3522.66,73.18,3114.69,313.96,3677.32,760.3,2640.08,1191.86,172.726,6.2904
20121203,119.57,,,,,,,,3471.74,73.22,3114.15,314.11,3705.34,772.25,2602.69,1205.2,173.948,6.2901
20121126,118.12,,,,,,,,3395,73.43,3114.15,316.74,3716.14,780.58,2579,1205.99,174.27,6.2888
20121119,120.63,,,,,,,,3324.16,73.75,3114.15,313.86,3694.44,786,2530.91,1190.79,174.138,6.2931
20121112,122.9,,,,,,,,3287.26,73.97,3114.15,303.74,3637.94,768.45,2506.57,1177.54,174.664,6.2908
20121105,121.97,,,,,,,,3261.5,73.65,3114.15,300.34,3646.36,765.49,2477.42,1200.12,174.562,6.306
20121029,121.01,,,,,,,,3274,73.28,3221.64,301.68,3653.67,766.17,2463.46,1209.74,175.192,6.3017
20121022,119.91,,,,,,,,3312.32,73.09,3221.64,303.18,3689.1,771.84,2478.63,1227.36,176.594,6.3057
20121015,116.14,,,,,,,,3432.14,72.51,3221.64,310.17,3789.53,809.36,2562.36,1224.06,176.964,6.3064
20121008,117.38,,,,,,,,3481.34,72.69,3221.64,309.26,3805.07,809.81,2622.14,1220.99,177.026,6.3394
20121001,106.46,,,,,,,,3574.04,72.57,3221.64,306.35,3810.16,797.39,2693.38,1230.02,177.0967,6.3431
20120924,106.43,,,,,,,,3531.74,72.59,3220.28,301.39,3790.88,794.32,2659.29,1227.8,177.542,6.3431
20120917,109.57,,,,,,,,3569.1,72.19,3215.17,304.93,3833.24,799.91,2735.09,1250.64,177.048,6.3369
20120910,100.2,,,,,,,,3482.62,72.4,3201.48,308.24,3901.86,831.2,2624.77,1272.43,178.15,6.3355
20120903,89.42,,,,,,,,3296.52,73.45,3181.51,303.38,3816.54,813.44,2501.52,1264.72,178.63,6.3426
20120827,93.07,,,,,,,,3224.73,73.82,3184.16,298.88,3789.15,809.93,2430.78,1267.87,178.652,6.3416
20120820,105.31,,,,,,,,3215.14,74.07,3200.74,301.58,3799.02,818.24,2403,1269.33,178.282,6.3373
20120813,113.34,,,,,,,,3135.12,74.47,3205.35,294.11,3711.58,806.19,2318.85,1235.43,177.665,6.3465
20120806,117.61,,,,,,,,3183.88,74.41,3214.96,287.99,3715.16,793.2,2350.13,1255.61,177.298,6.3379
20120730,118.74,,,,,,,,3154.34,74.77,3217.54,280.94,3641.61,762.03,2332.19,1253.47,177.704,6.3348
20120723,120.37,,,,,,,,3157.48,75.35,3219.16,277.77,3621.78,756.16,2325.41,1248.11,179.728,6.3349
20120716,129.43,,,,,,,,3236.52,75.23,3228.13,282.14,3668.34,765.2,2364.03,1267.15,179.5,6.3151
20120709,135.76,,,,,,,,3208,75.59,3234.9,275.78,3531.45,725.7,2350.1,1216.72,179.434,6.3232
20120702,135.74,,,,,,,,3261.4,74.94,3248.62,279.12,3505.46,723.05,2386.09,1186.45,179.764,6.3177
20120625,136.73,,,,,,,,3156.54,75.14,3258.97,267.31,3330.36,681.36,2318.39,1122.85,182.006,6.3211
20120618,137.46,,,,,,,,3193.78,74.71,3260.07,272.95,3292.03,681.75,2365.87,1075.94,181.856,6.3016
20120611,135.16,,,,,,,,3215.02,74.95,3256.84,276.91,3301.39,697.39,2404.18,1046.31,183.526,6.3202
20120604,133.63,,,,,,,,3210.57,75.33,3246.89,274.08,3322.51,707.91,2395.34,1048.72,185.0275,6.3224
20120528,134.2,,,,,,,,3251.48,75.45,3241.92,282.99,3368.08,729.1,2393.32,1052.48,185.6175,6.3292
20120521,131.73,,,,,,,,3302.24,74.8,3244.97,287.27,3494.89,767.01,2420.13,1090.95,184.866,6.3182
20120514,134.89,,,,,,,,3326.54,74.11,3245.81,291.31,3534.61,780.13,2434.12,1099.43,182.706,6.3159
20120507,141.94,,,,,,,,3441.3,73.18,3234.33,300.28,3605.54,801.55,2516.03,1102.97,180.324,6.2884
20120430,146.32,,,,,,,,3541.04,72.5,3216.55,315.91,3736.7,837.82,2593.11,1134.83,179.24,6.2696
20120423,146.77,,,,,,,,3516.98,72.51,3196.86,317.78,3745.63,841.77,2581.14,1139.08,180.676,6.2902
20120416,148.41,,,,,,,,3462.24,72.9,3180.81,318.9,3715.47,835.78,2568.82,1126.33,180.41,6.297
20120409,148.73,,,,,,,,3483.7,73.14,3193.13,323.37,3757.65,843.24,2592.36,1144.01,180.275,6.299
20120402,147.49,,,,,,,,3596.75,72.98,3191.59,332.25,3820.71,858.68,2627.16,1163.37,179.108,6.3054
20120326,146.85,,,,,,,,3588.26,72.81,3185.4,334.87,3830.93,867.16,2632.93,1156.47,180.226,6.2886
20120319,144.55,,,,,,,,3623.02,73.06,3195.81,337.77,3861.8,879.01,2653.73,1157.82,178.156,6.302
20120312,145.1,,,,,,,,3679.44,73.33,3178.26,339.38,3886.13,878.73,2711.45,1164.42,177.47,6.3286
20120305,143.31,,,,,,,,3624.3,72.95,3206.04,330.92,3868.13,875.8,2692.45,1158.76,177.526,6.3157
20120227,142.53,,,,,,,,3736.72,72.26,3193.54,333.14,3930.23,882.4,2791.62,1175.72,178.565,6.2972
20120220,137.65,,,,,,,,3694.2,72.46,3111.48,327.23,3915.38,874.97,2730.1,1162.77,178.652,6.2976
20120213,139.11,,,,,,,,3623.38,72.56,3089.28,313.5,3809.61,849.34,2690.42,1153.98,178.384,6.2957
20120206,144.04,,,,,,,,3744.46,72.1,3107.44,306.62,3803.98,829.36,2770.43,1164.52,177.568,6.3039
20120130,141.92,,,,,,,,3697.16,72.3,3129.24,297.57,3760.19,811.52,2754.38,1161.91,177.908,6.309
20120123,139.18,,,,,,,,3707.18,72.82,3129.72,296.92,3765.53,814.91,2742.68,1164.23,178.0133,6.3214
20120116,140.15,,,,,,,,3582.14,73.48,3129.72,292.2,3699.85,813.66,2639.73,1136.74,181.56,6.3214
20120109,141.47,,,,,,,,3428.88,74.02,3126.59,290.31,3696.35,824.79,2534.93,1143.99,183.614,6.3199
20120102,139.09,,,,,,,,3329.08,73.54,3066.57,286.57,3707.6,837.64,2474.46,1148.7,182.904,6.3094
20111226,137.13,,,,,,,,3261.83,73.54,2964.47,281.09,3627.66,811.12,2420.16,1139.19,182.378,6.3126
20111219,134.23,,,,,,,,3259.92,73.58,2927.92,279.04,3572.32,799.91,2439.63,1104.97,182.894,6.3273
20111212,136.12,,,,,,,,3241.92,73.76,2916.5,283.71,3525.75,790.12,2452.91,1077.61,181.01,6.3365
20111205,139.7,,,,,,,,3416.94,72.46,2841,294.13,3665.09,821.84,2596.77,1107.15,177.488,6.3344
20111128,134.7,,,,,,,,3367.92,72.65,2858.97,292.39,3673.02,823.31,2577.81,1113.68,179.766,6.3463
20111121,142.18,,,,,,,,3228.96,73.1,2849.21,284.49,3616.08,803.87,2504.02,1111.55,180.154,6.354
20111114,143.68,,,,,,,,3372.1,72.13,2838.91,294.45,3722.52,822.74,2598.89,1157.39,177.88,6.3449
20111107,131.17,,,,,,,,3386.5,71.71,2897.88,300.12,3753.12,823.82,2625.01,1176.36,176.328,6.3262
20111031,121.08,,,,,,,,3453.62,71.33,2962.61,294.9,3719.9,799.52,2631.77,1189.99,175.642,6.3241
20111024,128.45,,,,,,,,3479.84,70.35,3018.12,286.2,3738.21,798.86,2636.03,1207.29,178.114,6.3439
20111017,148.98,,,,,,,,3269.76,71.41,3072.37,283.79,3635.54,773.4,2498.06,1199.05,179.666,6.3693
20111010,162.93,,,,,,,,3372.5,71.64,3096.15,282.78,3641.75,765.78,2578.91,1198.6,183.654,6.3633
20111003,169.2,,,,,,,,3242.56,73.2,3113.95,272.35,3476.05,717.87,2491.54,1161.08,186.505,6.3677
20110926,170.57,,,,,,,,3302.5,72.27,3132.81,274.63,3544.01,730.91,2523.12,1191.45,184.594,6.3677
20110919,175.7,,,,,,,,3559.52,71.68,3160.98,294.68,3701.75,752.12,2745.76,1238.78,178.684,6.383
20110912,177.95,,,,,,,,3829.74,70.88,3080.71,300.79,3900.85,786.71,2918.25,1310.1,171.2267,6.3901
20110905,180.58,,,,,,,,3910.08,70.46,3016.85,308.85,3957.84,789.75,2985.58,1342.3,167.438,6.393
20110829,179.68,,,,,,,,3994.55,68.93,3037.78,305.27,3987.39,791.08,3019.66,1358.34,168.15,6.3871
20110822,178.4,,,,,,,,3868,69,3045.02,300.69,3893.44,767.38,2948.89,1335.96,169.302,6.3968
20110815,176.97,,,,,,,,3867.3,68.88,3068.13,296.57,3856.89,765.75,2937.75,1308.35,168.06,6.3969
20110808,176.94,,,,,,,,3837.32,69.36,3120,291.22,3748.7,746.42,2886.62,1259.55,168.168,6.4154
20110801,177.23,,,,,,,,4144.76,69,3177.25,301.99,3943.12,802.12,3017.72,1296.48,163.79,6.4419
20110725,175.26,,,,,,,,4319.82,68.31,3233.22,306.69,4079.18,850.2,3119.27,1302.01,163.304,6.4456
20110718,173.75,,,,,,,,4266.14,68.98,3276.39,308.94,4077.73,853.97,3079.17,1303.83,163.712,6.4597
20110711,172.6,,,,,,,,4217.34,69.58,3314.08,307.09,4046.04,846.48,3011.72,1307.2,164.068,6.4698
20110704,169.84,,,,,,,,4205.72,69.42,3361.48,304.59,4005.81,841.03,3004.26,1282.1,164.71,6.4693
20110627,167.18,,,,,,,,4082.5,69.5,3399,293.9,3909.28,810.45,2913.54,1277.09,166.818,6.4718
20110620,170.37,,,,,,,,3996.28,69.76,3437.75,298.15,3916.74,805.51,2895.01,1299.39,167.092,6.4709
20110613,173.53,,,,,,,,4028.9,69.72,3487.71,306.47,4031.37,841.08,2915.49,1331.09,167.346,6.4806
20110606,171.48,,,,,,,,4073.68,69.09,3534.71,306.41,4137.52,866.62,2975.11,1364.05,166.81,6.4824
20110530,170.58,,,,,,,,4082.18,69.32,3553.14,306.6,4144.08,863.97,2969.26,1377.5,166.482,6.4854
20110523,172.77,,,,,,,,4021.18,70.3,3564.88,303.5,4089.48,848.79,2925.88,1367.36,167.978,6.4961
20110516,176.86,,,,,,,,4012.88,70.03,3580.75,298.54,4039.62,835.5,2882.79,1358.18,167.402,6.506
20110509,179.56,,,,,,,,4021.36,69.62,3595.57,300.69,4053.28,855.19,2907.8,1327.18,166.405,6.4982
20110502,182.16,,,,,,,,4136.35,68.43,3608.88,309.82,4192.48,894.02,3013.91,1353.4,164.975,6.5011
20110425,179.74,,,,,,,,4295.1,68.57,3632.11,321.26,4379.71,943.04,3130.86,1402.68,165.796,6.5094
20110418,179.14,,,,,,,,4304.9,69.34,3671.01,321.16,4338.78,921.1,3100.94,1416.09,166.648,6.5267
20110411,181.38,,,,,,,,4338.86,69.67,3707.74,324.76,4322.16,914.06,3091.81,1416.93,166.57,6.537
20110404,175.8,,,,,,,,4342.04,70.22,3727.54,325.77,4370.37,920.5,3088.32,1450.86,166.422,6.5457
20110328,169.97,,,,,,,,4277.66,70.58,3718.98,306.43,4231.6,885.44,3015.6,1409.39,169.288,6.5584
20110321,165.28,,,,,,,,4315.92,70.33,3699.8,301.74,4218.76,880.36,3016.65,1407.23,171.392,6.5606
20110314,164.06,,,,,,,,4172.8,70.84,3756.64,294.45,4066.51,848.29,2918.23,1354.07,172.106,6.5691
20110307,171.73,,,,,,,,4202.72,71.06,3636.21,309.22,4211.1,871.12,2956.94,1436.46,170.138,6.571
20110228,178.9,,,,,,,,4426.16,70.98,3669.28,307.14,4249.48,860.9,3045.65,1470.56,171.465,6.5712
20110221,185.89,,,,,,,,4335.86,71.63,3719.01,301.67,4114.97,830.06,2976.35,1423.47,170.614,6.5771
20110214,190.54,,,,,,,,4419.38,72.27,3766.65,295.13,4035.69,770.3,2992.87,1473.56,170.092,6.587
20110207,184.97,,,,,,,,4414.66,72.19,3807.52,288.44,4025.03,771.91,2965.25,1470.53,168.796,6.5884
20110131,183.41,,,,,,,,4387.32,71.82,3776.92,284.18,4037.45,791.46,2933.34,1447.02,169.635,6.5876
20110124,183.75,,,,,,,,4151.9,72.23,3612.33,279.3,3902.69,763.17,2803.26,1411.72,169.924,6.589
20110117,180.38,,,,,,,,4189.92,72.62,3543,281.45,3920.04,780.43,2842.43,1379.72,169.346,6.5888
20110110,173.24,,,,,,,,4211.84,73.41,3548.11,282.51,3903.13,782.62,2882.78,1346.47,169.26,6.6117
20110103,168.91,,,,,,,,4196.68,73.41,3552.62,277.85,3858.16,766.89,2878.19,1337.67,170.65,6.6293
20101227,167.46,,,,,,,,4170.43,73.52,3565.61,276.21,3870.38,767.88,2852.73,1347.88,173.222,6.6252
20101220,167.73,,,,,,,,4092.8,74.16,3594.9,277.26,3827.74,762.19,2808,1337.39,173.536,6.6521
20101213,167.37,,,,,,,,4006.28,73.61,3599.71,274.33,3742.94,749.45,2764.28,1294.02,172.214,6.6591
20101206,163.85,,,,,,,,3939.22,73.73,3574.61,272.28,3712.04,751.6,2739.88,1266.38,171.006,6.6591
20101129,162.15,,,,,,,,3802.76,74.18,3677.55,266.98,3603.86,733.96,2670.85,1217.45,172.954,6.6709
20101122,160.36,,,,,,,,3694.9,73.7,3727.91,260.75,3467.05,702.9,2601.76,1179.86,171.134,6.6511
20101115,157.09,,,,,,,,3738.94,73.17,3793.71,259.58,3491.74,701.01,2617.1,1193.91,170.362,6.6419
20101108,154.95,,,,,,,,3978.48,72.04,3880.66,264.52,3688.51,733.32,2788.87,1270.36,167.174,6.6441
20101101,149.15,,,,,,,,3884.86,71.54,3953.32,253.82,3611.99,718.43,2717.6,1247.02,166.992,6.6789
20101025,146.67,,,,,,,,3841.82,72.31,4126.69,249,3521.31,695.76,2676.76,1218.57,168.436,6.6892
20101018,148.55,,,,,,,,3831.44,72.3,4183.78,249.63,3470.33,692.17,2658.25,1181.66,168.9,6.6687
20101011,147.96,,,,,,,,3848.5,71.82,4220.04,255.21,3496.97,703.85,2670.15,1179.45,167.848,6.6647
20101004,140.81,,,,,,,,3768.76,72.45,4211.52,256.7,3401.86,707.09,2606.08,1097.36,168.18,6.683
20100927,138.96,,,,,,,,3680.58,73.44,4233.38,249.32,3338.72,679.34,2544.06,1110.04,171.426,6.7024
20100920,136.12,,,,,,,,3583.82,74.47,4242.51,248.37,3285.85,660.14,2482.13,1115.31,173.135,6.7054
20100913,137.22,,,,,,,,3517.38,75.11,4239.92,245.6,3271.09,667.91,2434.94,1098.73,172.306,6.7298
20100906,139.46,,,,,,,,3474.1,75.95,4243.81,240.53,3218.98,661.81,2395.35,1072.5,172.886,6.7797
20100830,141.18,,,,,,,,3426.73,76.3,4176.63,238.89,3154.22,652.57,2358.93,1039.86,174.94,6.8046
20100823,144.48,,,,,,,,3289.48,76.68,4120.84,235.5,3091.78,642.76,2285.05,1020.45,174.784,6.8007
20100816,146.52,,,,,,,,3357.14,76.08,4143.45,240.5,3139.05,660.12,2318.88,1022.85,173.832,6.7944
20100809,143.39,,,,,,,,3359.26,75.79,4209.17,245.02,3186.33,685.78,2315,1020.23,173.128,6.785
20100802,138.99,,,,,,,,3428.16,74.79,4227.82,250.34,3269.11,719.26,2358.53,1023.03,173.178,6.7738
20100726,132.91,,,,,,,,3273.86,75.85,4286.2,244.9,3110.19,687.72,2255.65,965.09,175.524,6.7768
20100719,120.81,,,,,,,,3113.44,76.54,4357.56,242.08,3051.86,682.96,2180.65,941.81,178.212,6.7813
20100712,116.97,,,,,,,,3044.76,76.8,4348.63,245.56,3017.94,674.28,2154.73,933.46,177.316,6.7747
20100705,124.17,,,,,,,,3030.42,77.34,4311.25,239.98,2964.02,660.87,2155.54,909.57,180.23,6.7765
20100628,135.54,,,,,,,,2995.9,78.4,4296.35,248.15,2939.52,667.75,2140.75,881.29,178.998,6.7856
20100621,141.48,,,,,,,,3040.18,78.35,4281.32,258.24,3007.3,693.81,2181.88,886.21,174.408,6.8071
20100614,143.01,,,,,,,,3025.54,78.51,4302.78,259.14,3008.69,697.46,2165.87,885.15,179.048,6.8276
20100607,144.56,,,,,,,,2890.6,79.93,4314.03,251.39,2885.94,667.62,2089.43,848.49,180.758,6.8282
20100531,140.74,,,,,,,,2982.25,79.71,4212.14,254.46,2897.25,663.46,2124.03,856.67,176.2875,6.828
20100524,139.4,,,,,,,,3157.84,79.5,4293.56,243.71,2921.88,649.35,2205,879.85,179.612,6.8279
20100517,155.23,,,,,,,,3082.88,79.2,4345.95,254.24,2924.76,654.48,2186.22,879.24,168.38,6.8276
20100510,169.42,,,,,,,,3281.58,77.83,4324.7,274.7,3099.71,715.66,2328.57,895.69,166.732,6.8271
20100503,173.81,,,,,,,,3233.6,77.33,4348.78,272.74,3168.79,743.65,2312.88,913.23,163.9375,6.8268
20100426,175.19,,,,,,,,3524.76,75.95,4373.92,285.23,3263.52,774.06,2419.21,919.96,162.762,6.8263
20100419,178.58,,,,,,,,3658.9,75.38,4454.97,276.51,3272.89,766.52,2466.98,928.21,163.09,6.8263
20100412,170.06,,,,,,,,3717.44,74.85,4488.42,280.2,3293.73,778,2501.36,919.6,163.396,6.826
20100405,159.23,,,,,,,,3672.85,75.38,4552.95,278.95,3276.94,781.17,2466.65,908.97,164.608,6.826
20100329,152.48,,,,,,,,3608.33,75.52,4604.34,267.87,3206.34,754.97,2402.29,906.94,166.174,6.8263
20100322,145.54,,,,,,,,3435.6,75.62,4510.54,256.43,3151.49,735.89,2311.37,913.96,166.406,6.8265
20100315,137.48,,,,,,,,3453.62,74.75,4262.95,255.55,3193.41,744.81,2350.07,925.49,165.808,6.8262
20100308,130.29,,,,,,,,3454,75.01,4102.16,256.97,3199.45,748.6,2348.93,924.79,166.216,6.8264
20100301,131.18,,,,,,,,3431.68,75.19,4062.02,250.22,3193.62,736.82,2328.35,944.23,168.5725,6.8266
20100222,129.95,,,,,,,,3296.72,75.7,4028.53,252.23,3165.04,730.7,2253.01,948.68,169.018,6.827
20100215,125.49,,,,,,,,3304.08,75.48,3948.66,247,3167.69,728.18,2284.72,947.35,168.22,6.827
20100208,124.12,,,,,,,,3076.82,75.53,3948.66,236.36,3038.28,691.93,2141.29,932.05,170.58,6.827
20100201,121.98,,,,,,,,3054.08,75.35,3867.09,244.53,3042.46,700.84,2149.15,918.7,169.658,6.8271
20100125,120,,,,,,,,3272.44,74.64,3910.39,241.22,3073.59,694.82,2245.31,931.57,168.678,6.827
20100118,124.93,,,,,,,,3421.74,74.03,3936.61,254.92,3180.35,721.85,2353.57,951.31,165.368,6.8272
20100111,126.5,,,,,,,,3456.42,73.07,4009.83,263.04,3288.43,753.98,2404.67,978.33,164.778,6.8273
20100104,122.02,,,,,,,,3484.88,73.68,3944,265.49,3368.19,777.25,2408.89,1007.62,168.124,6.8278
20091228,109.74,,,,,,,,3401.6,74.01,3907.94,257.34,3272.83,748.58,2324.03,994.6,171.5375,6.8282
20091221,106.78,,,,,,,,3286.7,74.19,3708.47,246.69,3179.05,718.91,2278.18,974.51,172.98,6.8285
20091214,103.99,,,,,,,,3240.68,73.74,3672.54,241.94,3158.53,701.42,2268.16,988.87,170.758,6.828
