품목비교 Historical Data,,,,,,,,
조회기간 :,2008-09-02 ~ 2018-07-27,,,,,,,
표시기준 :,Value(Price)로 표시,,,,,,,
순서 :,최근부터(DESC),,,,,,,
병합기준 :,Union,,,,,,,
[일간 기준],,,,,,,,
Date,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,Bloomberg(DJ-UBS) Commodity Index1991=100,Bloomberg Commodity Total Return1991=100,Rogers International Commodities Index Metals1998.07.31=1000,전기동 [LME] 현물USD/ton,니켈 [LME] 현물USD/ton,알루미늄 [LME] 현물USD/ton,납 [LME] 현물USD/ton
20151028,49.95,87.64,176.56,1735.46,5179,10380,1434,1719
20151027,51.5,86.62,174.51,1722.05,5219.5,10485,1454,1737
20151026,51.03,86.96,175.19,1723.32,5233,10465,1468,1742
20151023,51.62,87.45,176.17,1726.34,5295,10600,1480.5,1757
20151022,52.18,88.17,177.63,1730.59,5274,10405,1480,1735
20151021,52.79,88.18,177.65,1724.18,5185.5,10320,1491,1748
20151020,52.93,88.83,178.95,1746.91,5189,10280,1506.5,1763
20151019,53.3,88.52,178.33,1747.47,5240,10415,1536,1787
20151016,53.76,89.78,180.87,1769.32,5270,10460,1542.5,1793.5
20151015,53.74,89.84,180.99,1771.75,5344,10575,1567.5,1816.5
20151014,55.12,90.14,181.59,1768.88,5278,10375,1569,1776.5
20151013,54.97,89.98,181.27,1756.99,5260.5,10400,1560,1767.5
20151012,56.61,90.05,181.42,1764.61,5335,10635,1607.5,1792
20151009,56.01,91.01,183.34,1759.98,5319,10710,1607,1771.5
20151008,55.97,90.35,182.01,1708.73,5160,10070,1552,1667.5
20151007,53.14,90.11,181.53,1723.35,5241,10220,1567,1650
20151006,53.14,90.27,181.85,1705.91,5175,9910,1546.5,1619
20151005,53.14,88.8,178.89,1696.66,5144.5,9935,1547,1623.5
20151002,53.14,87.89,177.06,1686.6,5081,9930,1545,1619
20151001,56.04,87.23,175.74,1666.61,5178,10390,1578.5,1663
20150930,56.32,87.82,176.92,1677.54,5093,10070,1562,1655.5
20150929,56.05,87.56,176.4,1664.08,5010,9875,1549,1651
20150928,56.86,87.33,175.94,1661.34,4965,9840,1537,1625
20150925,56.98,88.49,178.28,1684.37,5098,9820,1566.5,1681
20150924,#N/A,87.87,177.02,1696.69,5046,9715,1560.5,1670
20150923,55.3,87.19,175.64,1676.48,5112,9810,1572,1679.5
20150922,56.21,87.67,176.61,1672.81,5131,9680,1578.5,1671
20150921,57.3,88.56,178.41,1710.08,5267,9705,1612,1667
20150918,57.69,87.73,176.73,1712.93,5358,9760,1624.5,1690
20150917,57.37,89.03,179.36,1717.78,5369,9890,1606.5,1700.5
20150916,57.21,89.46,180.22,1720.4,5350,10110,1598.5,1693.5
20150915,57.28,88.57,178.43,1693.37,5290,9850,1600.5,1664
20150914,58.1,88.57,178.43,1693.31,5324,9905,1599,1666
20150911,#N/A,88.93,179.14,1712,5352,10190,1614.5,1702
20150910,59.01,89.15,179.59,1721.67,5400,10325,1607.5,1715
20150909,58.18,88.22,177.72,1709.45,5366,10065,1628,1711.5
20150908,57.42,89.35,180,1717.04,5280,9850,1593.5,1670.5
20150907,56.85,88.49,178.26,#N/A,5176,9810,1588,1668
20150904,56.5,88.49,178.26,1692.52,5155.5,9785,1601.5,1677
20150903,56.5,89.42,180.13,1716.36,5250,10025,1606.5,1715
20150902,56.7,88.93,179.14,1706.77,5090.5,9745,1570,1712.5
20150901,56.59,88.74,178.76,1702.46,5095,9940,1577.5,1719.5
20150831,56.21,90.93,183.18,1704.73,#N/A,#N/A,#N/A,#N/A
20150828,56.04,89.36,180.01,1705.47,5095,9835,1550,1677
20150827,53.93,87.72,176.71,1680.33,5029,9730,1528,1652.5
20150826,53.67,85.14,171.51,1644.05,4959,9475,1513.5,1641
20150825,53.45,86.28,173.8,1677.85,5032,9670,1526,1677.5
20150824,53.28,85.85,172.95,1670.37,4888,9305,1485.5,1628
20150821,56.1,87.8,176.88,1713.23,5046,10110,1523.5,1693
20150820,55.84,89.23,179.75,1731.75,5060.5,10390,1544,1706.5
20150819,56.41,88.53,178.33,1700.98,5006.5,10330,1522,1694
20150818,56.92,89.29,179.87,1686.3,5000.5,10305,1532,1678
20150817,56.66,89.81,180.92,1712.92,5101,10560,1523.5,1716
20150814,56.74,90.36,182.01,1716.06,5156,10500,1540.5,1738
20150813,57.02,90.45,182.21,1716.95,5148,10520,1539,1720
20150812,56.31,90.83,182.97,1725.83,5103,10460,1547,1708
20150811,56.22,91.12,183.54,1710.11,5140,10700,1547,1719
20150810,#N/A,92.62,186.57,1736.73,5150,10935,1553,1711
20150807,#N/A,90.48,182.26,1701.45,5135.5,10800,1556.5,1685.5
20150806,56.4,90.53,182.36,1697.54,5165,10820,1553,1705.5
20150805,56.78,90.83,182.96,1696.45,5171.5,10790,1569.5,1710.5
20150804,55.29,91.12,183.54,1709.55,5215.5,10835,1577.5,1716
20150803,55.63,90.43,182.16,1704.62,5176.5,10775,1564,1681
20150731,53.41,91.78,184.88,1718.91,5220,10925,1594,1688
20150730,55.64,92.62,186.57,1725.46,5241,10925,1608.5,1695.5
20150729,55.89,93.05,187.42,1737.74,5302,11110,1619,1712.5
20150728,53.45,92.9,187.12,1735.45,5239.5,11180,1609,1703.5
20150727,52.35,92.15,185.62,1716.3,5190,10925,1600.5,1690.5
20150724,51.42,93.29,187.91,1717.99,5224.5,11175,1594.5,1706.5
20150723,51.72,94.39,190.13,1725.35,5340,11240,1604.5,1753
20150722,51.76,95.32,192,1737.98,5350.5,11545,1610.5,1750
20150721,52.1,96.36,194.1,1756.18,5475.5,11775,1630.5,1796
20150720,52.39,96.2,193.78,1767.57,5425,11470,1636.5,1801
20150717,#N/A,97.57,196.53,1783.85,5465,11425,1663.5,1824.5
20150716,50.66,98.08,197.56,1796.91,5530,11420,1664,1824.5
20150715,50.55,98.48,198.37,1799.7,5597,11735,1674.5,1857
20150714,50.06,99.4,200.23,1805,5502.5,11385,1653,1809
20150713,50.3,99.58,200.58,1812.15,5605.5,11455,1659,1819.5
20150710,50.1,99.33,200.09,1798.12,5561.5,11275,1652.5,1815
20150709,48.99,99.04,199.49,1800.58,5576,11290,1649,1804
20150708,44.59,97.84,197.09,1782.08,5375,10900,1620,1734
20150707,49.6,97.6,196.59,1752.96,5440.5,11145,1645,1743
20150706,52.28,99.11,199.63,1813.62,5570,11560,1644,1732
20150703,55.26,101.86,205.18,#N/A,5761.5,12050,1685,1756
20150702,55.63,101.86,205.18,1831.95,5761,12060,1693,1768
20150701,59.2,101.6,204.66,1834.99,5755.5,11905,1666,1751
20150630,59.35,102.69,206.84,1818.45,5721,11680,1646.5,1754
20150629,61.29,100.73,202.91,1831.06,5767,11715,1642,1741.5
20150626,62.01,101.13,203.71,1836.2,5731,12495,1668,1770.5
20150625,62.19,100.9,203.24,1844.42,5715.5,12585,1671,1775.5
20150624,62.53,100.47,202.37,1844.36,5765,12780,1690.5,1786.5
20150623,61.34,100.72,202.88,1849.22,5725,12665,1680.5,1767.5
20150622,60.02,100.05,201.52,1842.32,5646,12590,1650.5,1765
20150619,61.36,99.84,201.09,1853.48,5663,12600,1650.5,1785
20150618,61.77,100.6,202.64,1864.08,5761,12860,1680.5,1810.5
20150617,61.51,100.52,202.48,1848.58,5749,12850,1675.5,1784.5
20150616,62.91,100.52,202.47,1851.91,5752,12775,1661,1791
20150615,64.25,100.27,201.97,1866.64,5760.5,12735,1660.5,1806
20150612,65.13,100.58,202.6,1875.65,5888.5,13065,1701.5,1831
20150611,65.61,101.49,204.44,1881.88,5906,13465,1701.5,1895.5
20150610,65.39,102.71,206.89,1904.58,6045.5,13575,1727,1941
20150609,64.27,102.17,205.81,1896.8,5989,13530,1723,1925
20150608,64.34,100.6,202.64,1891.24,5915,13095,1695.5,1901.5
20150605,64.45,100.25,201.92,1885.49,5924.5,12865,1693.5,1902.5
20150604,64.77,100.05,201.53,1890.86,5954,12840,1697.5,1928.5
20150603,63.33,100.99,203.42,1913.36,5992,12940,1716.5,1912
20150602,63.02,102.07,205.59,1919.94,5998.5,12910,1711.5,1916
20150601,#N/A,101.06,203.55,1916.86,5970.5,12540,1691.5,1909
20150529,61.85,100.95,203.33,1917.25,6088.5,12675,1705.5,1959.5
20150528,62.33,100.16,201.74,1934.67,6117,12840,1719.5,1968
20150527,63.1,100,201.43,1920.87,6085,12625,1699.5,1921
20150526,62.78,100.77,202.98,1924.04,6134.5,12660,1710.5,1932
20150525,61.18,102.5,206.47,#N/A,#N/A,#N/A,#N/A,#N/A
20150522,59.96,102.5,206.47,1947.67,6197.5,12710,1726,1942.5
20150521,57.91,103.75,208.98,1959.85,6240,13015,1736,1952.5
20150520,57.12,102.94,207.35,1961.44,6208,12830,1749,1919
20150519,58.53,102.8,207.07,1962.02,6270,13390,1750,1936
20150518,60.65,105.09,211.67,2008.6,6383,13685,1795.5,1960
20150515,61.31,105.35,212.19,2013.48,6356,13655,1813,1961.5
20150514,62.3,105.49,212.49,2012.3,6399,13830,1846,1994.5
20150513,62.58,104.98,211.46,2013.8,6416,14040,1860,2039
20150512,62.88,104.65,210.79,2000.76,6448,14120,1855,2021
20150511,63.02,103.4,208.26,1978.39,6363,14285,1852,2023
20150508,61.4,104.1,209.68,1995.31,6396.5,14100,1864,2070
20150507,60.36,103.1,207.68,1991.64,6437,13915,1870.5,2080.5
20150506,60.89,104.56,210.61,2006.2,6400.5,14415,1915.5,2114
20150505,58.7,104.73,210.95,2033.72,6410,14130,1910.5,2140
20150504,57.55,103.7,208.87,2002.61,#N/A,#N/A,#N/A,#N/A
20150501,#N/A,103.4,208.27,1989.87,6362,13760,1919,2139
20150430,56.18,103.75,208.97,1995.22,6245,13860,1909.5,2124.5
20150429,57.13,103.06,207.59,1989.55,6103,13285,1890.5,2085
20150428,59.88,102.06,205.57,1985.06,6090.5,13230,1868,2095
20150427,59.09,101.77,204.98,1973.24,6061,13510,1827.5,2082
20150424,57.81,101.59,204.63,1930.46,6025.5,12860,1830,2053
20150423,54.82,101.61,204.67,1920.2,5935,12545,1805.5,2022
20150422,54.04,100.64,202.71,1922.3,5927,12625,1817.5,2048.5
20150421,51.04,100.74,202.91,1935.23,5975,12770,1826.5,2014
20150420,51.57,101.17,203.77,1922.96,6002,12370,1858.5,2036.5
20150417,50.93,101.82,205.08,1943.38,6081,12730,1846.5,2042
20150416,49.78,102.31,206.07,1947.25,6054,12890,1857,2039
20150415,50.33,101.44,204.33,1936.99,5920.5,12515,1811,1976.5
20150414,50.78,99.67,200.75,1925.99,5916.5,12260,1770.5,1963
20150413,48.82,99.06,199.53,1929.26,6011.5,12520,1781.5,1986
20150410,47.53,99.47,200.35,1942.1,6055,12590,1773,1998
20150409,48.34,98.8,199,1923.73,6050,12545,1773.5,1944.5
20150408,48.05,99.22,199.86,1930.98,6055,12725,1775,1915
20150407,48.06,101.38,204.2,1945.25,6041,12565,1785,1886.5
20150406,47.08,100.95,203.34,1948.09,#N/A,#N/A,#N/A,#N/A
20150403,#N/A,99.71,200.82,#N/A,#N/A,#N/A,#N/A,#N/A
20150402,47.08,99.69,200.79,1931.16,6001.5,12930,1770.5,1865
20150401,49.53,99.9,201.21,1937.08,6019.5,12330,1765.5,1820
20150331,51.35,98.12,197.64,1912.51,6050.5,12460,1789,1808
20150330,52.69,99.29,199.98,1922.52,6110,13045,1776.5,1816
20150327,53.14,99.37,200.14,1934.76,6146,13260,1772,1831
20150326,55.36,101.05,203.52,1952.77,6230,13615,1783.5,1844
20150325,55.81,100.31,202.04,1941.47,6134.5,13680,1764,1830
20150324,55.86,100,201.42,1945.76,6128,14025,1786.5,1831
20150323,54.81,100.13,201.68,1944.72,6093.5,14200,1787,1823.5
20150320,54.66,99.55,200.5,1930.77,5920,13955,1763,1758.5
20150319,55,97.99,197.36,1057.21,5835,13630,1782.5,1696
20150318,55.48,98.19,197.76,1610.05,5692.5,13575,1771.5,1715
20150317,56.95,96.96,195.3,1860.92,5765,13560,1770,1724
20150316,58.9,97.33,196.04,1869.19,5853,13805,1761,1757
20150313,57.66,97.58,196.54,1871.72,5860,13850,1744,1792
20150312,57.97,99,199.39,1868.81,5865.5,13825,1742,1812.5
20150311,57.61,99.38,200.16,1857.8,5786,13975,1754,1811.5
20150310,58.15,99.14,199.67,1877.93,5783.5,14075,1749.5,1808
20150309,58.58,100.34,202.11,1902.18,5800,14415,1760.5,1815
20150306,59.49,100.77,202.96,1892.53,5826.5,14085,1785,1805
20150305,59.73,101.7,204.83,1919.32,5856,14055,1788,1783.5
20150304,61.94,102.05,205.55,1915.05,5882,13830,1787,1747
20150303,62.24,102.1,205.64,1914.12,5855,13600,1783.5,1736
20150302,62.83,101.89,205.21,1926.97,5896,13885,1797,1725
20150227,62.56,103.44,208.34,1932.57,5880.5,14045,1794.5,1726
20150226,62.37,102.1,205.65,1934.45,5935.5,14400,1798.5,1759
20150225,62.94,102.79,207.03,1918.34,5805,14310,1783.5,1764
20150224,64.01,101.97,205.37,1917.77,5715,14250,1792,1762
20150223,63.44,101.73,204.9,1905.27,5657,13915,1772.5,1757
20150220,#N/A,102.73,206.91,1908.54,5707,13950,1796.5,1774.5
20150219,#N/A,103.22,207.9,1925.33,5720,13925,1802,1783.5
20150218,63.44,103.21,207.88,1922.79,5690,14125,1797,1774
20150217,63.02,103.98,209.43,1922.22,5665.5,14215,1800.5,1795.5
20150216,65.28,104.47,210.42,#N/A,5712,14430,1814.5,1821
20150213,63.19,104.47,210.42,1968.01,5731,14745,1831.5,1834
20150212,62.27,103.01,207.47,1954.25,5695,14605,1818,1810
20150211,62.18,101.62,204.68,1934.76,5645.5,14710,1811.5,1827
20150210,62.38,102.12,205.69,1949.27,5591,14860,1843,1835
20150209,61.2,103.57,208.6,1976.05,5666,15050,1855,1846
20150206,62.49,102.65,206.75,1967.2,5692,14965,1871.5,1850
20150205,61.64,102.48,206.41,1994.74,5595,14835,1849,1847
20150204,62.58,101.61,204.66,1996.51,5708,14930,1862.5,1841
20150203,63.18,104.02,209.5,1995.53,5695,15375,1870,1848
20150202,62.45,101.32,204.07,1982.01,5535.5,15050,1852,1839
20150130,62.21,100.84,203.11,1981.86,5505,14785,1837.5,1843.5
20150129,63.27,98.76,198.92,1946.97,5390.5,14705,1822.5,1827
20150128,63.09,100.25,201.92,2004.03,5485.5,14930,1849.5,1853.5
20150127,63.5,101.32,204.07,2000.44,5557,14675,1847,1844
20150126,63.54,100.75,202.91,2008.97,5490,14375,1818,1845
20150123,66.42,101.13,203.69,2001.67,5581,14405,1830.5,1831
20150122,66.79,101.59,204.61,2030.98,5742,14720,1867,1881.5
20150121,67.81,102.55,206.54,2033.84,5630.5,14770,1831,1862
20150120,68.16,101.5,204.43,2017.07,5760.5,14540,1830,1875.5
20150119,68.09,#N/A,#N/A,#N/A,5671,14400,1825.5,1827.5
20150116,68.61,103.31,208.07,2000.57,5660,14360,1798.5,1766.5
20150115,68.63,101.72,204.87,1958.86,5719,14570,1782.5,1771
20150114,68.3,102.35,206.14,1933.97,5627,14250,1767.5,1745
20150113,68.74,101.29,204.01,1968.32,5915,14780,1766.5,1800.5
20150112,70.3,101.9,205.23,1977.26,6131,14955,1779,1831
20150109,71.18,103.62,208.7,1971.74,6151,15435,1798,1826
20150108,71.36,103.64,208.73,1972.54,6230.5,15330,1776.5,1853
20150107,70.96,103.53,208.51,1967.33,6170,15455,1762,1820
20150106,71.49,104.08,209.63,1974.98,6191,15285,1772.5,1831
20150105,70.87,103.87,209.21,1964.65,6216,14585,1793,1833
20150102,71.26,103.86,209.18,1959.82,6309,14880,1821.5,1845
20141231,71.26,104.33,210.12,1959.72,6359,14935,1831.5,1853
20141230,71.15,106.1,213.7,1984.97,6330,14855,1835,1814
20141229,68.71,106.11,213.72,1957.71,6332,15110,1827.5,1822
20141226,67.34,106.49,214.47,1976.05,#N/A,#N/A,#N/A,#N/A
20141224,66.94,106.17,213.82,1956.21,6361,15275,1834,1847.5
20141223,66.84,107.6,216.71,1960.33,6363,15380,1852,1862.5
20141222,67.9,107.02,215.55,1966.46,6426.5,15630,1878,1864
20141219,69.17,108.66,218.84,1988.67,6445.5,15350,1888,1870
20141218,68.42,108.52,218.57,1976.71,6350.5,15505,1888.5,1854
20141217,68.05,108.85,219.23,1984.33,6306,15430,1863.5,1867
20141216,68.58,108.26,218.04,1984.98,6390,16130,1875,1936.5
20141215,69.06,109.78,221.1,2022.66,6560,16660,1916.5,1963.5
20141212,68.99,110.77,223.09,2051.79,6526.5,16335,1918,1972
20141211,69.37,110.68,222.92,2053.13,6471.5,16150,1935.5,1982.5
20141210,69.14,110.88,223.31,2056.94,6476,16425,1950,2004
20141209,69.06,111.99,225.56,2068.28,6401,16255,1945,2009
20141208,69.8,110.67,222.9,2032.36,6465.5,16555,1960,2020
20141205,71.77,112.2,225.97,2036.13,6536,16825,2002,2026.5
20141204,71.25,112.2,225.97,2057.25,6491,16780,1975,2030
20141203,69.25,112.16,225.9,2038.74,6451,16325,1967,2017
20141202,70.67,112.51,226.6,2036.32,6455,16175,2015,2018
20141201,71.11,114.8,231.2,2064.07,6385,16205,2021,2025
20141128,71.32,112.95,227.47,2011.45,6515.5,16090,2071.5,2027
20141127,69.98,#N/A,#N/A,#N/A,6621.5,16325,2099,2065
20141126,68.49,117.49,236.62,2068.9,6649,16230,2099,2046
20141125,69.58,117.69,237.03,2067.99,6696,16455,2084,2061
20141124,70.42,117.23,236.09,2068.13,6731,16535,2060,2046
20141121,70.31,118.11,237.88,2076.72,6790,16450,2077.5,2060
20141120,70.97,117.92,237.48,2050.96,6688,16175,2017,2017
20141119,70.2,117.1,235.84,2049.14,6715,15850,2025,2026
20141118,71.8,116.79,235.2,2040.58,6684,15650,2015.5,2017
20141117,75.08,117.48,236.6,2043.29,6752,15600,2049.5,2022.5
20141114,75.47,116.88,235.39,2047.74,6695,15320,2020.5,2025
20141113,75.98,115.94,233.5,2023.11,6755.5,15520,2065,2022.5
20141112,76.2,117.32,236.29,2034.34,6752.5,15535,2062,2034
20141111,75.87,117.56,236.76,2032.75,6688,15090,2018,2018
20141110,75.8,116.54,234.7,2024.2,6735.5,15070,2041,2029
20141107,75.84,117.68,237,2036.8,6720.5,15265,2077,1997
20141106,75.38,116.99,235.62,2015.74,6681,15255,2052.5,1979.5
20141105,76.46,116.3,234.23,2011.16,6646,14980,2038,1975
20141104,78.01,116.48,234.59,2034.81,6705.5,15155,2050.5,2007
20141103,78.63,117.72,237.09,2057.35,6801,15575,2056,2000
20141031,79.59,117.74,237.12,2048.13,6835.5,15815,2057,2015
20141030,79.82,117.95,237.54,2065.46,6785,15325,2015.5,2004
20141029,79.09,119.08,239.82,2098.82,6855,15585,2012,2020
20141028,79.22,117.76,237.17,2085.91,6859.5,15055,1990.5,2019
20141027,79.52,116.83,235.3,2070.39,6800.5,14650,1963.5,1987
20141024,80.48,116.58,234.79,2065.16,6759.5,15005,1950.5,2011
20141023,80.29,117.24,236.12,2071.87,6718.5,14950,1984.5,2006
20141022,#N/A,116.65,234.93,2083.71,6730.5,15220,1980,2037.5
20141021,81.83,117.47,236.58,2085.39,6660,15225,1972,1999.5
20141020,81.6,116.61,234.84,2066.82,6615,15315,1954.5,2012
20141017,80.82,117.45,236.53,2071.97,6629,15505,1929.5,1998
20141016,80.32,117.55,236.73,2050.62,6630,15315,1873,1956
20141015,82.55,117,235.63,2069.32,6781,16135,1912.5,2042.5
20141014,83.82,118.41,238.46,2091.45,6780.5,16180,1909,2053.5
20141013,84.17,119.04,239.74,2084.85,6802,16390,1903.5,2072
20141010,80.24,118.21,238.06,2073.45,6697,16310,1891.5,2057
20141009,78.88,118.83,239.32,2091.47,6767,16630,1924,2082
20141008,80.18,118.8,239.26,2067.85,6755,16700,1920.5,2095
20141007,80.42,119.86,241.39,2080.39,6715,16750,1886,2095
20141006,#N/A,119.58,240.83,2073.37,6712.5,16485,1898,2085
20141003,79.6,118.02,237.68,2045.47,6665,16270,1883,2080
20141002,79.6,118.22,238.08,2053.01,6693.5,16050,1869.5,2078
20141001,78.89,118.56,238.77,2071.78,6755,15855,1898.5,2071
20140930,78.05,118.69,239.04,2076.85,6736,16505,1935,2083
20140929,77.97,120.42,242.53,2096.43,6735.5,16510,1914,2057
20140926,78.68,119.18,240.03,2087.9,6771,17280,1924.5,2075
20140925,78.63,119.08,239.83,2092.72,6766,17210,1927,2074
20140924,79.9,119.53,240.73,2109.33,6750,17200,1922.5,2058
20140923,79.69,118.6,238.85,2105.39,6797,17135,1939.5,2074
20140922,80.1,118.63,238.9,2103.05,6782,17075,1925,2050.5
20140919,81.02,119.49,240.63,2119.01,6868.5,17755,1949.5,2068
20140918,83.06,120.48,242.65,2137.48,6920,17885,1950,2078
20140917,84.48,122.04,245.78,2156.27,6958.5,17920,1966.5,2092
20140916,85.06,122.26,246.23,2162.17,6895.5,17905,1969.5,2091
20140915,85.58,121.36,244.4,2144.58,6850,18255,1958.5,2103
20140912,82.38,121.3,244.29,2157.77,6856,18345,2008.5,2115
20140911,82.64,121.63,244.95,2159.95,6829,18460,2002,2112
20140910,82.22,122.64,246.98,2178.98,6897.5,18550,2012,2100
20140909,83.5,123.48,248.67,2182.47,6937,19360,2045,2158
20140908,83.98,124.24,250.22,2218.65,7040.5,19740,2082,2194
20140905,83.8,124.85,251.44,2226.75,6973,19385,2075,2200
20140904,85.24,124.67,251.08,2227.44,6967,19235,2085.5,2227
20140903,86.09,125.17,252.09,2218.03,6927,18820,2078,2217
20140902,87.4,125.3,252.34,2225.12,6965.5,18555,2083,2233
20140901,87.79,#N/A,#N/A,#N/A,6966.5,18660,2082,2230
20140829,87.62,126.58,254.91,2242.4,6995,18455,2114,2259
20140828,87.7,126.33,254.41,2238.22,7033,18650,2108,2254.5
20140827,88.29,126.01,253.77,2241.31,7051,18635,2082.5,2251
20140826,89.02,125.89,253.53,2242.41,7096,18805,2082,2257
20140825,90.07,125.4,252.55,2236.9,#N/A,#N/A,#N/A,#N/A
20140822,90.34,125.42,252.59,2237.76,7088,18625,2055.5,2259.5
20140821,91.77,125.49,252.72,2233.43,7003,18730,2058.5,2254
20140820,92.38,125.27,252.28,2247.34,6922,18780,2037,2235.5
20140819,93.03,124.98,251.7,2224.39,6934.5,18550,2028,2240.5
20140818,93.35,125.13,252.01,2226.3,6910,18420,1995,2200.5
20140815,93.98,125.71,253.17,2223.09,6852.5,18505,1980,2194.5
20140814,93.97,125.65,253.05,2230.15,6886.5,18535,2005,2206
20140813,93.59,126.27,254.29,2238.42,6925.5,18580,2026,2230.5
20140812,94.24,126.88,255.51,2255.52,7025.5,18850,2040,2260
20140811,95.22,127.68,257.14,2253.77,7010.5,18495,2032,2248
20140808,94.99,127.33,256.43,2248.14,7020,18620,2017.5,2237
20140807,95.4,127.73,257.24,2256.72,6980.5,18860,2014.5,2248
20140806,96.18,128.22,258.21,2251.01,6995,18275,1983.5,2212.5
20140805,95.73,127.23,256.22,2241.69,7100.5,18490,2002,2247
20140804,95.17,127.91,257.6,2262.29,7104,18375,1979,2240
20140801,95.84,127.09,255.94,2245.44,7078,18280,1964.5,2196.5
20140731,95.63,127.91,257.6,2252.11,7135.5,18765,2016.5,2237
20140730,96.1,128.45,258.68,2275.13,7090,18680,1982.5,2218
20140729,96.22,128.63,259.04,2264.06,7116,18525,1974,2265
20140728,#N/A,129.34,260.47,2280.69,7132,18800,1987.5,2269
20140725,94.65,129.3,260.4,2274.07,7183.5,19160,2008.5,2265
20140724,94.02,129.05,259.89,2269.98,7151,19080,2013.5,2208.5
20140723,93.99,129.16,260.1,2272.01,7065,18960,2011,2199
20140722,95.36,128.81,259.4,2278.38,7060.5,18925,2020.5,2206
20140721,95.71,129.37,260.53,2272.54,6989.5,18725,1988,2174
20140718,96.94,129.29,260.37,2253.46,7026.5,18505,1958.5,2168
20140717,98.1,129.98,261.76,2270.89,7030.5,19080,1967.5,2161
20140716,98.35,129.77,261.34,2255.27,7112,19200,1962.5,2180
20140715,97.89,129.48,260.75,2256.75,7102.5,19260,1928,2175
20140714,97.67,130.17,262.13,2258.95,7154.5,19210,1923,2193.5
20140711,96.92,130.19,262.18,2282.17,7151,19065,1906.5,2175.5
20140710,96.55,131.14,264.1,2276.17,7110,18975,1885.5,2149
20140709,96.47,131.55,264.91,2267.27,7173,19515,1924,2194
20140708,96.51,132.36,266.55,2266.36,7155,19440,1910.5,2169
20140707,95.26,132.62,267.15,2257.63,7120.5,19180,1894,2161
20140704,96.11,134.63,#N/A,#N/A,7159,19385,1893,2156
20140703,96.33,134.22,270.29,2269.8,7121,19795,1890,2160.5
20140702,95.33,134.19,270.43,2273.11,7050,19080,1862,2140
20140701,93.77,134.09,270.32,2243.36,7015,18850,1837.5,2129
20140630,94.02,134.63,271.11,2243.36,6955,18715,1850.5,2129
20140627,95.81,135.89,273.65,2231.12,6976,18765,1850,2138.5
20140626,95.72,136.36,274.6,2233.65,6936.5,18625,1857,2140.5
20140625,94.19,136.63,275.14,2232.8,6890.5,18280,1866.5,2139.5
20140624,92.97,136.34,274.56,2227.98,6898.5,18150,1858.5,2160
20140623,93.74,136.15,274.18,2222.41,6901,18420,1857,2137
20140620,92.13,136.55,274.99,2214.12,6777.5,18350,1845,2108
20140619,91.23,136.27,274.41,2204.26,6730.5,18460,1844,2097.5
20140618,91.28,134.87,271.6,2166.57,6739,18660,1828.5,2100
20140617,89.98,134.66,271.18,2159.85,6711,18930,1808.5,2092
20140616,89.48,134.71,271.28,2154.46,6735,18315,1802,2064
20140613,90.81,134.77,271.4,2144.71,6671.5,17950,1801,2054
20140612,91.17,134.28,270.4,2139.26,6725,18030,1822,2084.5
20140611,94.02,132.84,267.5,2152.24,6689.5,18350,1835.5,2090.5
20140610,93.51,133.29,268.41,2162.01,6695.5,18455,1865,2108
20140609,94.46,133.8,269.44,2159.18,6667.5,18760,1870.5,2104.5
20140606,94.27,133.71,269.27,2147.12,6660.5,18465,1817,2063
20140605,93.79,133.29,268.41,2146.72,6800,19005,1828.5,2080
20140604,94.84,133.29,268.41,2133.44,6835,18950,1796.5,2095
20140603,92.68,133.59,269.01,2143.41,6930,19005,1802.5,2095
20140602,92.58,133.98,269.81,2146.72,7003,19405,1816.5,2089
20140530,91.33,133.83,269.5,2136.49,6995.5,19310,1823.5,2084.5
20140529,97.29,134.74,271.33,2152.51,6970,18750,1784.5,2075
20140528,97.84,134.79,271.44,2159.92,7035,19515,1801.5,2117
20140527,98.95,134.79,271.44,2161.13,7020,19650,1777.5,2120
20140526,98.8,135.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20140523,98.29,135.71,273.29,2175.08,6991,19620,1781.5,2123
20140522,98.9,135.6,273.07,2172.67,6945.5,19670,1745.5,2112.5
20140521,98.89,135.64,273.14,2153.52,6841,19405,1714.5,2085
20140520,98.18,135.6,273.06,2163.04,6922.5,19680,1722,2114
20140519,98.83,135.72,273.3,2169.44,7009,19785,1724.5,2121
20140516,100.74,135.23,272.33,2154.73,6950,19155,1731.5,2110.5
20140515,103.81,135.79,273.45,2158.87,6949,18750,1753,2125
20140514,103.27,136.61,275.09,2190.83,6976.5,20650,1757.5,2113
20140513,#N/A,136.3,274.48,2168.2,6884.5,21200,1739,2100
20140512,102.76,136.05,273.97,2169.55,6930,20850,1739.5,2093
20140509,103.03,135.76,273.39,2135.45,6770,20105,1718,2081
20140508,105.24,136.28,274.43,2135.91,6690.5,19390,1717.5,2064
20140507,106.26,136.58,275.04,2130.12,6688,18580,1728.5,2082
20140506,106.29,137.2,276.28,2155.84,6740,18460,1749.5,2091
20140505,106.33,136.82,275.52,2150.38,#N/A,#N/A,#N/A,#N/A
20140502,106.82,136.68,275.22,2146.81,6699,18200,1736.5,2060.5
