품목비교 Historical Data
조회기간 :,2008-07-15 ~ 2018-07-13
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/CNY (미국 달러 / 중국 인민폐)","AUD/USD (호주 달러 / 미국 달러)","USD/KRW (미국 달러 / 한국 원)","AUD/KRW (호주 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","USD/RMB (미국 달러 / 중국 인민폐)"
20081208,69.38,6.8615,.6644,1430.44,942.368,208.214,6.8477
20081201,65.82,6.8801,.6448,1464.14,945.556,213.136,6.8504
20081124,,6.8251,.6501,1493.9,968.932,218.82,6.83
20081117,,6.8288,.6417,1432.56,913.274,209.794,6.83
20081110,,6.8272,.6558,1348.24,894.466,197.498,6.8278
20081103,,6.8304,.6863,1285.66,871.694,188.18,6.8264
20081027,,6.8418,.6455,1409.26,903.834,206.018,6.8315
20081020,,6.8353,.6666,1349.2,919.41,197.43,6.8334
20081013,,6.8338,.6876,1278.82,875.798,187.144,6.8289
20081006,,6.8264,.6918,1319.98,935.66,193.352,6.8324
20080929,,6.8333,.7897,1187.8,954.105,173.525,6.8152
20080922,,6.8247,.8369,1147.4,959.906,168.126,6.8152
20080915,,6.8379,.8025,1135.075,903.9325,165.885,6.8243
20080908,,6.8289,.8083,1103.16,893.412,161.288,6.8435
20080901,,6.8389,.8279,1120.02,938.93,163.812,6.8385
20080825,,6.8201,.8594,1076.14,926.916,157.342,6.8377
20080818,,6.8514,.8722,1046.08,911.502,152.49,6.8534
20080811,,6.8617,.8737,1032.025,906.1925,150.4625,6.8641
20080804,,6.8523,.9106,1016.02,933.12,148.272,6.8527
20080728,,6.8336,.9449,1009.06,957.994,147.78,6.8329
20080721,,6.8256,.9646,1013.64,981.35,148.518,6.8264
20080714,,6.8168,.9759,1006.875,981.2375,147.54,6.8196
