,Ã¶±¤¼® Fines (Daily) [Áß±¹(¼öÀÔ°¡ CFR)] Çö¹°USD/ton,Baltic Dry Index (BDI)1985.01.04,Baltic Capesize Index (BCI)1999.03.01,Baltic Panamax Index (BPI)1998.05.06,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Supramax index (BSI)2005.01.01,Baltic Handysize Index (BHSI)2006.05.23,SSY/Pacific Capesize Index1997.1.6=4114,SSY/Atlantic Capesize Index1997.1.6=5000,Howe Robinson Container Index1997.1.15=1000,China Containerized Freight Index (CCFI)1998.1.1=1000,Shanghai Containerized Freight Index (SCFI)2009.10.16=1000,China Coastal Bulk Freight Index (CBFI)2000.1.1=1000,China Newbuilding Price Index (CNPI)2011.07.01=1000,China Bulker Newbuilding Price Index (CNDPI)2011.07.01=1000,China Tanker Newbuilding Price Index (CNTPI)2011.07.01=1000,China Container Newbuilding Price Index (CNCPI)2011.07.01=1000
20150918,57.69,960,1995,753,518,666,762,426,3080,4932,631,827.16,622.6,820.32,880,865,974,894
20150917,57.37,883,1637,727,522,658,772,431,3080,4932,631,819.87,673.25,826.8,880,865,974,894
20150916,57.21,814,1264,716,526,639,783,439,3080,4932,631,819.87,673.25,826.8,880,865,974,894
20150915,57.28,802,1196,720,527,626,789,445,3080,4932,664,819.87,673.25,826.8,880,865,974,894
20150914,58.1,805,1185,723,535,629,799,452,3080,4932,664,819.87,673.25,826.8,880,865,974,894
20150911,59.01,818,1198,735,544,635,810,460,3097,5219,664,819.87,673.25,826.8,880,865,974,894
20150910,59.01,830,1202,751,555,640,824,468,3097,5219,664,820.91,718.97,835.03,880,865,974,894
20150909,58.18,855,1256,776,564,642,838,472,3097,5219,664,820.91,718.97,835.03,880,865,974,894
20150908,57.42,873,1286,793,574,639,848,477,3097,5219,666,820.91,718.97,835.03,880,865,974,894
20150907,56.85,876,1243,812,578,640,857,482,3097,5219,666,820.91,718.97,835.03,880,865,974,894
20150904,56.5,875,1187,837,580,633,870,485,2801,4616,666,820.91,718.97,835.03,880,865,974,894
20150903,56.5,891,1195,870,584,628,882,483,2801,4616,666,820.91,718.97,835.03,880,865,974,894
20150902,56.7,906,1194,912,586,616,896,481,2801,4616,666,820.91,718.97,835.03,880,865,974,894
20150901,56.59,911,1176,949,587,609,912,480,2801,4616,669,833.25,690.38,841.58,880,865,974,894
20150831,56.21,903,1071,974,591,598,925,480,3897,6193,669,833.25,690.38,841.58,880,865,974,894
20150830,56.04,903,1071,974,591,598,925,480,3897,6193,669,833.25,690.38,841.58,880,865,974,894
20150828,56.04,903,1071,974,591,598,925,480,3897,6193,669,833.25,690.38,841.58,886,871,981,895
20150827,53.93,905,1051,1000,596,593,931,479,3897,6193,669,844.42,674.54,854.33,886,871,981,895
20150826,53.67,918,1089,1031,604,595,933,477,3897,6193,669,844.42,674.54,854.33,886,871,981,895
20150825,53.45,942,1248,1047,610,601,934,473,3897,6193,674,844.42,674.54,854.33,886,871,981,895
20150824,53.28,968,1403,1052,626,611,933,469,3897,6193,674,844.42,674.54,854.33,886,871,981,895
20150821,56.1,994,1559,1054,639,622,930,464,4200,6589,674,844.42,674.54,854.33,886,871,981,895
20150820,55.84,1014,1679,1052,645,632,924,460,4200,6589,674,819.62,745.6,867.49,886,871,981,895
20150819,56.41,1031,1773,1049,657,644,920,453,4200,6589,674,819.62,745.6,867.49,886,871,981,895
20150818,56.92,1046,1838,1052,675,654,915,449,4200,6589,681,819.62,745.6,867.49,886,871,981,895
20150817,56.66,1063,1913,1057,678,665,908,449,4200,6589,681,819.62,745.6,867.49,886,871,981,895
20150814,56.74,1055,1884,1057,678,668,905,449,4821,7989,681,819.62,745.6,867.49,886,871,981,895
20150813,57.02,1046,1875,1054,680,673,901,448,4821,7989,681,798.89,749.62,868.06,886,871,981,895
20150812,56.31,1093,2107,1053,676,673,899,447,4821,7989,681,798.89,749.62,868.06,886,871,981,895
20150811,56.22,1162,2367,1043,680,677,900,446,4821,7989,693.8,798.89,749.62,868.06,886,871,981,895
20150810,56.4,1197,2499,1028,687,694,901,443,4821,7989,693.8,798.89,749.62,868.06,886,871,981,895
20150807,56.4,1200,2512,1021,695,708,904,438,4424,7880,693.8,798.89,749.62,868.06,886,871,981,895
20150806,56.4,1201,2514,1013,697,713,904,432,4424,7880,693.8,818.85,822.39,872.91,886,871,981,895
20150805,56.78,1222,2604,1005,714,726,901,427,4424,7880,693.8,818.85,822.39,872.91,886,871,981,895
20150804,55.29,1200,2512,1001,715,735,899,425,4424,7880,706.1,818.85,822.39,872.91,886,871,981,895
20150803,55.63,1151,2308,1006,722,742,900,424,4424,7880,706.1,818.85,822.39,872.91,886,871,981,895
20150731,53.41,1131,2209,1023,728,755,899,423,3974,6864,706.1,818.85,822.39,872.91,886,871,981,895
20150730,55.64,1100,2116,1044,731,763,892,422,3974,6864,706.1,838.71,548.77,878.15,886,871,981,895
20150729,55.89,1104,2103,1069,737,776,898,423,3974,6864,706.1,838.71,548.77,878.15,892,879,986,899
20150728,53.45,1094,1990,1095,740,792,903,425,3974,6864,607.6,838.71,548.77,878.15,892,879,986,899
20150727,52.35,1090,1935,1115,754,803,903,427,3974,6864,607.6,838.71,548.77,878.15,892,879,986,899
20150724,51.42,1086,1896,1137,757,813,899,428,3977,6823,607.6,838.71,548.77,878.15,892,879,986,899
20150723,51.72,1102,1924,1161,764,817,896,431,3977,6823,607.6,842.87,593.2,882.97,892,879,986,899
20150722,51.76,1118,1952,1179,788,826,889,433,3977,6823,607.6,842.87,593.2,882.97,892,879,986,899
20150721,52.1,1113,1935,1179,811,849,875,432,3977,6823,733.9,842.87,593.2,882.97,892,879,986,899
20150720,52.39,1067,1763,1170,835,854,862,431,3977,6823,733.9,842.87,593.2,882.97,892,879,986,899
20150717,50.66,1048,1712,1162,845,846,846,427,3119,4596,733.9,842.87,593.2,882.97,892,879,986,899
20150716,50.66,1009,1611,1149,848,840,823,417,3119,4596,733.9,804.8,666.02,880.09,892,879,986,899
20150715,50.55,951,1462,1122,836,824,801,409,3119,4596,733.9,804.8,666.02,880.09,892,879,986,899
20150714,50.06,915,1394,1096,823,820,784,399,3119,4596,763.4,804.8,666.02,880.09,892,879,986,899
20150713,50.3,900,1389,1076,825,827,774,391,3119,4596,763.4,804.8,666.02,880.09,892,879,986,899
20150710,50.1,874,1318,1052,833,835,767,384,3074,4500,763.4,804.8,666.02,880.09,892,879,986,899
20150709,48.99,853,1279,1016,837,857,759,377,3074,4500,763.4,790.65,745.45,872.46,892,879,986,899
20150708,44.59,840,1278,973,834,870,750,373,3074,4500,763.4,790.65,745.45,872.46,892,879,986,899
20150707,49.6,830,1285,945,831,888,742,367,3074,4500,763.4,790.65,745.45,872.46,892,879,986,899
20150706,52.28,815,1266,927,829,903,723,362,3074,4500,763.4,790.65,745.45,872.46,892,879,986,899
20150703,55.26,805,1249,908,825,916,716,361,3248,4750,763.4,790.65,745.45,872.46,892,879,986,899
20150702,55.63,794,1226,883,809,936,712,360,3248,4750,763.4,811.09,640.64,865.23,892,879,986,899
20150701,59.2,794,1251,858,794,952,713,360,3248,4750,763.4,811.09,640.64,865.23,892,879,986,899
20150630,59.35,800,1292,845,784,972,715,361,3248,4750,768.7,811.09,640.64,865.23,892,879,986,899
20150629,61.29,813,1346,838,780,989,722,361,3248,4750,768.7,811.09,640.64,865.23,897,884,992,901
20150626,62.01,823,1393,833,776,1026,723,362,3169,4477,768.7,811.09,640.64,865.23,897,884,992,901
20150625,62.19,829,1432,827,770,1054,723,361,3169,4477,768.7,825.97,556.72,864.73,897,884,992,901
20150624,62.53,829,1428,829,764,1066,723,359,3169,4477,768.7,825.97,556.72,864.73,897,884,992,901
20150623,61.34,790,1300,834,755,1070,721,358,3169,4477,776.6,825.97,556.72,864.73,897,884,992,901
20150622,60.02,779,1248,845,743,1046,722,355,3169,4477,776.6,825.97,556.72,864.73,897,884,992,901
20150619,61.36,779,1241,851,741,1025,721,355,2884,3728,776.6,825.97,556.72,864.73,897,884,992,901
20150618,61.77,773,1234,847,739,1011,715,351,2884,3728,776.6,851.4,581.25,894.01,897,884,992,901
20150617,61.51,725,1045,817,737,969,706,349,2884,3728,776.6,851.4,581.25,894.01,897,884,992,901
20150616,62.91,681,904,772,733,931,695,345,2884,3728,779.3,851.4,581.25,894.01,897,884,992,901
20150615,64.25,656,840,742,728,917,685,341,2884,3728,779.3,851.4,581.25,894.01,897,884,992,901
20150612,65.13,642,820,719,724,917,678,338,2928,3776,779.3,851.4,581.25,894.01,897,884,992,901
20150611,65.61,629,810,696,725,908,669,336,2928,3776,779.3,862.1,623.47,922.25,897,884,992,901
20150610,65.39,618,816,662,726,910,661,333,2928,3776,779.3,862.1,623.47,922.25,897,884,992,901
20150609,64.27,612,834,630,721,914,654,331,2928,3776,782.6,862.1,623.47,922.25,897,884,992,901
20150608,64.34,610,856,608,718,887,655,331,2928,3776,782.6,862.1,623.47,922.25,897,884,992,901
20150605,64.45,610,865,596,717,874,656,332,2939,3763,782.6,862.1,623.47,922.25,897,884,992,901
20150604,64.77,603,818,570,720,863,654,333,2939,3763,782.6,890.42,661.55,928.48,897,884,992,901
20150603,63.33,598,821,544,713,859,654,332,2939,3763,782.6,890.42,661.55,928.48,897,884,992,901
20150602,63.02,591,805,528,698,846,653,332,2939,3763,780.5,890.42,661.55,928.48,897,884,992,901
20150601,61.85,589,804,522,692,848,652,332,2939,3763,780.5,890.42,661.55,928.48,897,884,992,901
20150530,61.85,589,810,524,694,856,647,331,2917,3816,780.5,890.42,661.55,928.48,897,884,992,901
20150529,61.85,589,810,524,694,856,647,331,2917,3816,780.5,890.42,661.55,928.48,899,889,990,897
20150528,62.33,588,817,525,690,865,642,328,2917,3816,780.5,891.69,676.05,901.49,899,889,990,897
20150527,63.1,587,823,530,662,868,635,327,2917,3816,780.5,891.69,676.05,901.49,899,889,990,897
20150526,62.78,584,806,540,657,883,631,327,2917,3816,778,891.69,676.05,901.49,899,889,990,897
20150525,61.18,586,816,549,655,901,627,327,2917,3816,778,891.69,676.05,901.49,899,889,990,897
20150522,59.96,586,816,549,655,901,627,327,2976,4230,778,891.69,676.05,901.49,899,889,990,897
20150521,57.91,592,844,556,668,918,624,327,2976,4230,778,875.21,757.66,857.68,899,889,990,897
20150520,57.12,606,889,565,671,938,623,326,2976,4230,778,875.21,757.66,857.68,899,889,990,897
20150519,58.53,620,923,574,659,892,625,325,2976,4230,771.5,875.21,757.66,857.68,899,889,990,897
20150518,60.65,630,950,578,646,846,626,326,2976,4230,771.5,875.21,757.66,857.68,899,889,990,897
20150515,61.31,634,954,579,643,829,628,327,2792,3694,771.5,875.21,757.66,857.68,899,889,990,897
20150514,62.3,637,972,580,637,806,626,326,2792,3694,771.5,888.23,830.13,833.68,905,897,991,897
20150513,62.58,634,942,584,627,761,624,326,2792,3694,771.5,888.23,830.13,833.68,905,897,991,897
20150512,62.88,589,731,583,622,748,619,327,2792,3694,753.2,888.23,830.13,833.68,905,897,991,897
20150511,63.02,578,660,586,621,746,617,328,2792,3694,753.2,888.23,830.13,833.68,905,897,991,897
20150508,61.4,574,616,594,624,753,618,329,2699,3475,753.2,888.23,830.13,833.68,905,897,991,897
20150507,60.36,573,594,603,623,744,618,331,2699,3475,753.2,898.97,761.02,837.21,905,897,991,897
20150506,60.89,575,574,618,622,741,618,332,2699,3475,753.2,898.97,761.02,837.21,905,897,991,897
20150505,58.7,580,571,633,625,745,618,335,2699,3475,749.5,898.97,761.02,837.21,905,897,991,897
20150504,57.55,587,574,647,616,749,621,340,2699,3475,749.5,898.97,761.02,837.21,905,897,991,897
20150501,56.18,587,574,647,616,749,621,340,2685,3404,749.5,898.97,761.02,837.21,905,897,991,897
20150430,56.18,591,565,658,606,754,625,343,2685,3404,749.5,898.97,761.02,837.21,905,897,991,897
20150429,57.13,595,558,673,599,768,627,345,2685,3404,749.5,926.83,702.46,834.62,911,905,992,901
20150428,59.88,601,551,685,593,772,628,346,2685,3404,730.5,926.83,702.46,834.62,911,905,992,901
20150427,59.09,600,546,687,605,773,626,347,2685,3404,730.5,926.83,702.46,834.62,911,905,992,901
20150424,57.81,600,545,685,611,778,624,348,2717,3431,730.5,926.83,702.46,834.62,911,905,992,901
20150423,54.82,599,543,680,617,784,621,351,2717,3431,730.5,951.55,721.61,821.35,911,905,992,901
20150422,54.04,600,544,669,631,792,620,355,2717,3431,730.5,951.55,721.61,821.35,911,905,992,901
20150421,51.04,601,549,659,642,801,619,355,2717,3431,713.2,951.55,721.61,821.35,911,905,992,901
20150420,51.57,598,537,646,661,805,618,357,2717,3431,713.2,951.55,721.61,821.35,911,905,992,901
20150417,50.93,597,532,642,696,799,619,358,2491,3330,713.2,951.55,721.61,821.35,911,905,992,901
20150416,49.78,593,521,636,702,800,612,360,2491,3330,713.2,969.06,792.92,807.94,911,905,992,901
20150415,50.33,586,494,626,709,798,608,362,2491,3330,713.2,969.06,792.92,807.94,911,905,992,901
20150414,50.78,581,470,619,731,790,608,366,2491,3330,686.1,969.06,792.92,807.94,915,911,993,900
20150413,48.82,578,460,609,723,778,609,369,2491,3330,686.1,969.06,792.92,807.94,915,911,993,900
20150410,47.53,580,466,600,709,772,613,373,2527,3186,686.1,969.06,792.92,807.94,915,911,993,900
20150409,48.34,580,461,591,678,771,617,379,2527,3186,686.1,994.83,763.95,813.21,915,911,993,900
20150408,48.05,580,450,585,663,764,624,382,2527,3186,686.1,994.83,763.95,813.21,915,911,993,900
20150407,48.06,583,448,584,656,776,631,385,2527,3186,652.7,994.83,763.95,813.21,915,911,993,900
20150406,47.08,588,454,589,665,795,636,386,2527,3186,652.7,994.83,763.95,813.21,915,911,993,900
20150403,47.08,588,454,589,665,795,636,386,2504,3230,652.7,994.83,763.95,813.21,915,911,993,900
20150402,47.08,588,454,589,665,795,636,386,2504,3230,652.7,1010.39,804.59,818.35,915,911,993,900
20150401,49.53,596,463,596,675,804,646,389,2504,3230,652.7,1010.39,804.59,818.35,915,911,993,900
20150331,51.35,602,475,598,676,809,650,392,2504,3230,627.6,1010.39,804.59,818.35,915,911,993,900
20150330,52.69,599,460,600,675,792,649,393,2504,3230,627.6,1010.39,804.59,818.35,915,911,993,900
20150327,53.14,596,456,597,673,801,647,390,2563,3250,627.6,1010.39,804.59,818.35,919,915,996,901
20150326,55.36,598,456,599,671,811,648,390,2563,3250,627.6,1034.29,821.39,825.97,919,915,996,901
20150325,55.81,598,455,602,678,813,648,390,2563,3250,627.6,1034.29,821.39,825.97,919,915,996,901
20150324,55.86,597,448,609,676,803,645,388,2563,3250,623.5,1034.29,821.39,825.97,919,915,996,901
20150323,54.81,594,435,617,672,786,640,386,2563,3250,623.5,1034.29,821.39,825.97,919,915,996,901
20150320,54.66,591,423,617,681,769,635,384,2563,3237,623.5,1034.29,821.39,825.97,919,915,996,901
20150319,55,584,407,613,688,772,627,383,2563,3237,623.5,1067.94,887.61,832.32,919,915,996,901
20150318,55.48,571,357,604,696,783,623,378,2563,3237,623.5,1067.94,887.61,832.32,919,915,996,901
20150317,56.95,568,366,595,720,796,616,375,2563,3237,609.7,1067.94,887.61,832.32,919,915,996,901
20150316,58.9,564,372,588,722,809,611,370,2563,3237,609.7,1067.94,887.61,832.32,919,915,996,901
20150315,57.66,562,378,585,722,812,606,368,2673,3429,609.7,1067.94,887.61,832.32,919,915,996,901
20150313,57.66,562,378,585,722,812,606,368,2673,3429,609.7,1067.94,887.61,832.32,926,926,995,902
20150312,57.97,560,394,586,710,816,596,364,2673,3429,609.7,1064.23,960.29,838.94,926,926,995,902
20150311,57.61,565,431,588,680,818,589,361,2673,3429,609.7,1064.23,960.29,838.94,926,926,995,902
20150310,58.15,568,457,591,665,827,580,357,2673,3429,603.6,1064.23,960.29,838.94,926,926,995,902
20150309,58.58,568,468,590,669,837,573,356,2673,3429,603.6,1064.23,960.29,838.94,926,926,995,902
20150306,59.49,565,470,587,677,848,566,352,2801,3645,603.6,1064.23,960.29,838.94,926,926,995,902
20150305,59.73,561,464,583,693,851,560,348,2801,3645,603.6,1076.2,1023.04,845.98,926,926,995,902
20150304,61.94,559,478,576,699,844,550,338,2801,3645,603.6,1076.2,1023.04,845.98,926,926,995,902
20150303,62.24,553,490,564,700,835,541,327,2801,3645,541.6,1076.2,1023.04,845.98,926,926,995,902
20150302,62.83,548,516,551,705,835,528,318,2801,3645,541.6,1076.2,1023.04,845.98,926,926,995,902
20150228,62.56,540,521,540,695,841,515,308,2801,3645,541.6,1076.2,1023.04,845.98,926,926,995,902
20150227,62.56,540,521,540,695,841,515,308,2801,3645,541.6,1076.2,1023.04,845.98,928,929,994,902
20150226,62.37,533,525,531,676,837,506,300,2801,3645,541.6,1078.69,1088.28,858.85,928,929,994,902
20150225,62.94,524,529,519,652,838,496,289,2801,3645,541.6,1078.69,1088.28,858.85,928,929,994,902
20150224,64.01,516,534,514,638,838,490,274,2801,3645,588.9,1078.69,1088.28,858.85,928,929,994,902
20150223,63.44,512,543,512,618,838,492,266,2801,3645,588.9,1078.69,1088.28,858.85,928,929,994,902
20150220,63.44,513,542,514,600,840,490,270,2966,3777,588.9,1078.69,1088.28,858.85,928,929,994,902
20150219,63.44,511,539,516,600,841,483,267,2966,3777,588.9,1078.69,1088.28,858.85,928,929,994,902
20150218,63.44,509,564,514,591,845,478,260,2966,3777,588.9,1078.69,1088.28,858.85,928,929,994,902
20150217,63.02,516,589,508,592,841,480,261,2966,3777,571,1078.69,1088.28,858.85,928,929,994,902
20150216,65.28,522,614,505,579,853,480,263,2966,3777,571,1078.69,1088.28,858.85,928,929,994,902
20150215,63.19,530,630,499,577,863,486,268,2913,4087,571,1078.69,1088.28,858.85,928,929,994,902
20150213,63.19,530,630,499,577,863,486,268,2913,4087,571,1078.69,1088.28,858.85,931,934,995,903
20150212,62.27,540,652,489,582,867,496,273,2913,4087,571,1065.69,1087.32,864.13,931,934,995,903
20150211,62.18,553,700,469,590,870,508,281,2913,4087,571,1065.69,1087.32,864.13,931,934,995,903
20150210,62.38,556,711,446,599,886,516,289,2913,4087,570.4,1065.69,1087.32,864.13,931,934,995,903
20150209,61.2,554,687,434,608,900,523,295,2913,4087,570.4,1065.69,1087.32,864.13,931,934,995,903
20150206,62.49,559,689,430,627,920,530,301,3019,4071,570.4,1065.69,1087.32,864.13,931,934,995,903
20150205,61.64,564,680,428,643,922,538,309,3019,4071,570.4,1064.82,1054.13,877.24,931,934,995,903
20150204,62.58,569,669,437,653,910,545,321,3019,4071,561.1,1064.82,1054.13,877.24,931,934,995,903
20150203,63.18,577,663,454,659,904,556,326,3019,4071,561.1,1064.82,1054.13,877.24,931,934,995,903
20150202,62.45,590,665,480,669,894,567,332,3019,4071,561.1,1064.82,1054.13,877.24,931,934,995,903
20150130,62.21,608,679,508,678,863,585,340,3019,4416,561.1,1064.82,1054.13,877.24,931,934,995,903
20150129,63.27,632,725,550,681,868,599,348,3019,4416,561.1,1057.48,1091.48,878.48,935,940,996,901
20150128,63.09,666,785,620,679,870,618,356,3019,4416,561.1,1057.48,1091.48,878.48,935,940,996,901
20150127,63.5,688,831,648,690,878,632,364,3019,4416,557.7,1057.48,1091.48,878.48,935,940,996,901
20150126,63.54,703,857,669,698,889,642,373,3019,4416,557.7,1057.48,1091.48,878.48,935,940,996,901
20150123,66.42,720,887,685,705,917,650,380,2730,4054,557.7,1057.48,1091.48,878.48,935,940,996,901
20150122,66.79,751,965,704,712,934,659,392,2730,4054,557.7,1059.3,1055.09,883.21,935,940,996,901
20150121,67.81,770,971,725,717,946,673,402,2730,4054,557.7,1059.3,1055.09,883.21,935,940,996,901
20150120,68.16,753,752,741,725,953,684,410,2730,4054,556,1059.3,1055.09,883.21,935,940,996,901
20150119,68.09,739,662,751,736,948,699,415,2730,4054,556,1059.3,1055.09,883.21,935,940,996,901
20150116,68.61,741,620,759,740,950,716,418,2730,3209,556,1059.3,1055.09,883.21,935,940,996,901
20150115,68.63,749,585,766,744,942,735,425,2730,3209,556,1060.66,1006.34,892.58,935,940,996,901
20150114,68.3,757,557,766,742,937,752,429,2730,3209,556,1060.66,1006.34,892.58,939,946,996,896
20150113,68.74,762,537,766,742,933,763,435,2730,3209,543.9,1060.66,1006.34,892.58,939,946,996,896
20150112,70.3,723,373,762,737,914,778,441,2730,3209,543.9,1060.66,1006.34,892.58,939,946,996,896
20150109,71.18,709,311,764,739,905,800,446,2996,3636,543.9,1060.66,1006.34,892.58,939,946,996,896
20150108,71.36,724,335,776,740,895,820,455,2996,3636,543.9,1064.42,1048.88,900.76,939,946,996,896
20150107,70.96,744,397,780,742,884,843,466,2996,3636,543.9,1064.42,1048.88,900.76,939,946,996,896
20150106,71.49,758,432,794,742,884,861,479,2996,3636,542.3,1064.42,1048.88,900.76,939,946,996,896
20150105,70.87,761,442,811,757,884,873,482,2996,3636,542.3,1064.42,1048.88,900.76,939,946,996,896
20150102,71.26,771,456,827,775,885,884,488,2996,3636,542.3,1064.42,1048.88,900.76,939,946,996,896
20141231,71.26,782,474,856,787,862,887,495,2996,3636,542.3,1064.42,1048.88,900.76,939,946,996,896
20141230,71.15,782,474,856,787,862,887,495,2996,3636,542.3,1044.99,1076.63,904.62,939,946,996,896
20141229,68.71,782,474,856,787,862,887,495,2996,3636,542.3,1044.99,1076.63,904.62,940,948,996,896
20141226,67.34,782,474,856,787,862,887,495,2996,3636,542.3,1044.99,1076.63,904.62,940,948,996,896
20141224,66.94,782,474,856,787,862,887,495,2996,3636,542.3,1036.41,1120.33,910.24,940,948,996,896
20141223,66.84,788,472,872,790,862,897,495,2996,3636,542.3,1036.41,1120.33,910.24,940,948,996,896
20141222,67.9,794,480,891,788,872,906,495,2996,3636,542.3,1036.41,1120.33,910.24,940,948,996,896
20141219,69.17,803,488,907,785,877,917,497,4076,4430,542.3,1036.41,1120.33,910.24,940,948,996,896
20141218,68.42,814,517,929,787,881,925,496,4076,4430,542.3,1016.55,1135.55,915.2,940,948,996,896
20141217,68.05,827,571,945,792,888,932,496,4076,4430,542.3,1016.55,1135.55,915.2,940,948,996,896
20141216,68.58,838,617,961,790,886,942,495,4076,4430,544.5,1016.55,1135.55,915.2,940,948,996,896
20141215,69.06,845,659,980,782,871,947,493,4076,4430,544.5,1016.55,1135.55,915.2,940,948,996,896
20141212,68.99,863,763,1001,784,857,950,493,5252,5131,544.5,1016.55,1135.55,915.2,941,949,997,897
20141211,69.37,887,879,1026,781,842,953,492,5252,5131,544.5,1030.07,919,920.53,941,949,997,897
20141210,69.14,911,979,1047,775,835,960,494,5252,5131,544.5,1030.07,919,920.53,941,949,997,897
20141209,69.06,933,1075,1066,760,824,966,497,5252,5131,542.3,1030.07,919,920.53,941,949,997,897
20141208,69.8,952,1165,1081,758,818,969,497,5252,5131,542.3,1030.07,919,920.53,941,949,997,897
20141205,71.77,982,1282,1088,766,815,971,499,5907,6581,542.3,1030.07,919,920.53,941,949,997,897
20141204,71.25,1019,1452,1097,777,818,980,498,5907,6581,542.3,1047.04,949.65,924.05,941,949,997,897
20141203,69.25,1079,1677,1108,782,826,984,498,5907,6581,542.3,1047.04,949.65,924.05,941,949,997,897
20141202,70.67,1119,1898,1119,798,833,987,495,5907,6581,544.2,1047.04,949.65,924.05,941,949,997,897
20141201,71.11,1137,2025,1124,823,866,989,492,5907,6581,544.2,1047.04,949.65,924.05,941,949,997,897
20141130,71.32,1153,2151,1120,823,866,986,491,5907,7860,544.2,1047.04,949.65,924.05,941,949,997,897
20141128,71.32,1153,2151,1120,823,866,986,491,5907,7860,544.2,1047.04,949.65,924.05,943,953,996,897
20141127,69.98,1187,2347,1099,812,893,984,487,5907,7860,544.2,1054.96,1012.67,921.31,943,953,996,897
20141126,68.49,1239,2612,1073,799,939,980,482,5907,7860,544.2,1054.96,1012.67,921.31,943,953,996,897
20141125,69.58,1313,2963,1064,769,947,970,476,5907,7860,545.8,1054.96,1012.67,921.31,943,953,996,897
20141124,70.42,1317,2975,1059,758,960,956,469,5907,7860,545.8,1054.96,1012.67,921.31,943,953,996,897
20141121,70.31,1324,3038,1055,755,975,942,462,6032,7785,545.8,1054.96,1012.67,921.31,943,953,996,897
20141120,70.97,1332,3130,1053,752,973,926,457,6032,7785,545.8,1040.62,1050.72,923.39,943,953,996,897
20141119,70.2,1306,3127,1055,734,964,904,455,6032,7785,545.8,1040.62,1050.72,923.39,943,953,996,897
20141118,71.8,1296,3106,1061,735,937,881,453,6032,7785,543.7,1040.62,1050.72,923.39,943,953,996,897
20141117,75.08,1264,2971,1069,736,909,875,451,6032,7785,543.7,1040.62,1050.72,923.39,943,953,996,897
20141115,75.47,1256,2931,1089,736,871,875,450,7002,9038,543.7,1040.62,1050.72,923.39,943,953,996,897
20141114,75.47,1256,2931,1089,736,871,875,450,7002,9038,543.7,1040.62,1050.72,923.39,947,957,1001,900
20141113,75.98,1264,2972,1112,735,865,873,451,7002,9038,543.7,1043.87,1062.46,924.49,947,957,1001,900
20141112,76.2,1327,3229,1133,732,843,873,451,7002,9038,543.7,1043.87,1062.46,924.49,947,957,1001,900
20141111,75.87,1370,3419,1150,723,835,876,451,7002,9038,536.6,1043.87,1062.46,924.49,947,957,1001,900
20141110,75.8,1418,3613,1168,716,839,879,451,7002,9038,536.6,1043.87,1062.46,924.49,947,957,1001,900
20141107,75.84,1437,3661,1183,718,839,881,454,6816,8816,536.6,1043.87,1062.46,924.49,947,957,1001,900
20141106,75.38,1436,3612,1205,722,833,886,455,6816,8816,536.6,1018.25,1112,927.61,947,957,1001,900
20141105,76.46,1464,3702,1224,724,825,888,457,6816,8816,536.6,1018.25,1112,927.61,947,957,1001,900
20141104,78.01,1484,3781,1238,724,820,888,458,6816,8816,533.8,1018.25,1112,927.61,947,957,1001,900
20141103,78.63,1456,3640,1241,729,813,889,463,6816,8816,533.8,1018.25,1112,927.61,947,957,1001,900
20141031,79.59,1428,3552,1233,735,809,892,467,5730,7188,533.8,1018.25,1112,927.61,947,957,1001,900
20141030,79.82,1424,3534,1222,743,795,891,472,5730,7188,533.8,1021.01,967.31,910.31,947,957,1001,900
20141029,79.09,1428,3560,1202,745,777,896,476,5730,7188,533.8,1021.01,967.31,910.31,948,958,998,902
20141028,79.22,1395,3436,1172,725,754,898,481,5730,7188,478.6,1021.01,967.31,910.31,948,958,998,902
20141027,79.52,1285,2852,1137,692,735,899,485,5730,7188,478.6,1021.01,967.31,910.31,948,958,998,902
20141024,80.48,1192,2422,1121,670,716,900,489,4749,5123,478.6,1021.01,967.31,910.31,948,958,998,902
20141023,80.29,1155,2258,1099,655,699,906,491,4749,5123,478.6,1021.02,962.72,906.32,948,958,998,902
20141022,81.83,1136,2186,1066,646,699,907,496,4749,5123,478.6,1021.02,962.72,906.32,948,958,998,902
20141021,81.83,1090,2003,1032,631,703,911,498,4749,5123,533.5,1021.02,962.72,906.32,948,958,998,902
20141020,81.6,973,1512,995,600,702,916,498,4749,5123,533.5,1021.02,962.72,906.32,948,958,998,902
20141017,80.82,944,1362,966,594,700,923,501,5143,5386,533.5,1021.02,962.72,906.32,948,958,998,902
20141016,80.32,930,1315,940,587,698,933,503,5143,5386,533.5,1058.76,911.03,906.84,948,958,998,902
20141015,82.55,935,1376,909,578,694,944,506,5143,5386,533.5,1058.76,911.03,906.84,948,958,998,902
20141014,83.82,948,1485,885,575,689,952,510,5143,5386,540,1058.76,911.03,906.84,950,961,998,902
20141013,84.17,954,1521,868,574,683,959,513,5143,5386,540,1058.76,911.03,906.84,950,961,998,902
20141010,80.24,963,1544,865,574,678,970,516,5308,5962,540,1058.76,911.03,906.84,950,961,998,902
20141009,78.88,974,1580,864,576,674,980,520,5308,5962,540,1087.67,935.81,905.89,950,961,998,902
