품목비교 Historical Data
조회기간 :,2013-07-05 ~ 2018-07-04
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/KRW (미국 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","USD/CNY (미국 달러 / 중국 인민폐)"
20140811,95.22,1037.4,168.54,6.153192
20140808,94.99,1034.4,167.75,6.156
20140807,95.4,1034.3,167.86,6.161557
20140806,96.18,1030.8,167.09,6.162295
20140805,95.73,1031.7,167.1,6.171021
20140804,95.17,1033.7,167.24,6.178814
20140801,95.84,1026.2,166.02,6.178768
20140731,95.63,1024.3,165.92,6.173501
20140730,96.1,1024.7,165.78,6.17258
20140729,96.22,1025.2,165.86,6.180606
20140728,94.65,1029.4,166.33,6.187548
20140725,94.65,1028,166.03,6.192065
20140724,94.02,1022.8,165.18,6.194708
20140723,93.99,1024.6,165.18,6.199564
20140722,95.36,1027.5,165.51,6.2029
20140721,95.71,1031.9,166.28,6.20939
20140718,96.94,1029.6,165.92,6.208446
20140717,98.1,1032.7,166.3,6.204048
20140716,98.35,1023.7,164.72,6.20371
20140715,97.89,1018.5,164.04,6.20899
20140714,97.67,1018,164.09,6.206254
20140711,96.92,1011.9,163.12,6.20315
20140710,96.55,1012.2,163.34,6.203104
20140709,96.47,1011.2,163.01,6.199906
20140708,96.51,1009.9,162.81,6.203278
20140707,95.26,1008.9,162.59,6.204226
20140704,96.11,1009.6,162.54,6.204333
20140703,96.33,1009.8,162.48,6.2126
20140702,95.33,1011.8,163.07,6.212347
20140701,93.77,1012.1,163.11,6.199861
20140630,94.02,1014.4,163.2,6.205091
20140627,95.81,1017,163.34,6.218574
20140626,95.72,1020.6,163.86,6.224311
20140625,94.19,1018,163.36,6.233509
20140624,92.97,1018.4,163.64,6.228373
20140623,93.74,1019.6,163.74,6.225974
20140620,92.13,1018.3,163.45,6.22409
20140619,91.23,1023.1,164.29,6.22918
20140618,91.28,1022.1,163.99,6.231731
20140617,89.98,1019.5,163.92,6.22611
20140616,89.48,1018,163.84,6.227012
20140613,90.81,1017.5,163.79,6.20915
20140612,91.17,1016.5,163.3,6.218472
20140611,94.02,1016.5,163.53,6.228441
20140610,93.51,1017.4,163.38,6.22433
20140609,94.46,1022.6,163.75,6.240301
20140606,94.27,1024.3,163.77,6.25115
20140605,93.79,1024.3,163.77,6.256904
20140604,94.84,1023.6,163.62,6.250192
20140603,92.68,1023.6,163.62,6.253654
20140602,92.58,1020.4,163.33,6.2476
20140530,91.33,1021.6,163.52,6.247745
20140529,97.29,1022.6,163.21,6.237595
20140528,97.84,1023.4,163.61,6.250392
20140527,98.95,1023.9,164.17,6.247829
20140526,98.8,1024.3,164.3,6.239511
20140523,98.29,1025.2,164.5,6.2364
20140522,98.9,1026.7,164.68,6.235219
20140521,98.89,1024.1,164.18,6.234644
20140520,98.18,1022.7,163.98,6.237996
20140519,98.83,1025.8,164.58,6.237737
20140516,100.74,1026.5,164.7,6.2345
20140515,103.81,1024.6,164.58,6.230601
20140514,103.27,1022.9,164.01,6.228761
20140513,102.76,1025,164.16,6.228512
20140512,102.76,1023,164.09,6.23769
20140509,103.03,1023.5,164.22,6.2279
20140508,105.24,1025.6,164.5,6.227861
20140507,106.26,1031.2,165.71,6.237159
20140506,106.29,1032.2,165.05,6.226433
20140505,106.33,1032.2,165.05,6.245248
20140502,106.82,1032.2,165.05,6.25795
20140501,105.9,1031.7,164.82,6.259267
20140430,105.9,1031.7,164.82,6.25894
20140429,108.84,1037.1,165.87,6.258421
20140428,108.17,1038.9,166.01,6.251766
20140425,111.54,1038.3,166.04,6.25405
20140424,113.58,1039.5,166.57,6.248994
20140423,113.31,1039.6,166.68,6.237068
20140422,111.28,1037.9,166.64,6.237542
20140421,113.75,1037.2,166.65,6.229448
20140418,117.16,1037.1,166.64,6.2373
20140417,117.16,1041.3,167.26,6.220519
20140416,117.18,1041.2,167.24,6.220416
20140415,117.18,1038.9,166.94,6.221769
20140414,117.74,1037.5,167.06,6.22073
20140411,117.37,1036,166.85,6.21125
20140410,118.73,1043.2,168.46,6.212772
20140409,119.82,1053.6,170.17,6.200259
20140408,119.26,1053.4,169.59,6.197155
20140407,117.02,1056.1,169.89,6.212208
20140404,116.7,1058.1,170.24,6.20885
20140403,115.75,1057,170.41,6.210804
20140402,115.8,1060.5,170.9,6.20606
20140401,117.76,1066.1,171.55,6.206716
20140331,116.64,1068.8,172.3,6.217596
20140328,112.76,1072.8,172.81,6.21315
20140327,112.88,1075,173.3,6.21286
20140326,111.29,1078.2,174.34,6.209948
20140325,112.11,1079.7,174.65,6.202183
20140324,110.92,1080.3,174.33,6.19535
20140321,110.14,1075.3,173.24,6.22635
20140320,109.88,1070.7,173.01,6.227944
20140319,109.9,1067.9,172.87,6.195666
20140318,109.58,1069.9,173.66,6.192203
20140317,109.58,1072,174.2,6.176273
20140314,109.66,1067.4,173.8,6.15195
20140313,111.58,1069.2,174.1,6.13707
20140312,107.94,1064.8,173.34,6.145791
20140311,105.97,1065.9,173.68,6.140796
20140310,103.99,1062.6,173.91,6.13923
20140307,113.59,1067.4,174.97,6.12415
20140306,116.44,1070.6,174.82,6.119598
20140305,115.28,1072,174.82,6.128457
20140304,115.15,1071.9,174.94,6.143652
20140303,118.06,1066.2,173.51,6.146248
20140228,118.14,1067.7,174.22,6.146
20140227,117.87,1069.9,174.68,6.128659
20140226,117.33,1070.6,174.8,6.125444
20140225,116.62,1076.3,176.49,6.12461
20140224,120.61,1073.1,176.16,6.09826
20140221,122.14,1071.9,176.2,6.09135
20140220,122.61,1067.1,175.61,6.083816
20140219,123.93,1064.1,175.38,6.077286
20140218,124.1,1060.5,174.88,6.066886
20140217,124.69,1061.9,175.03,6.064035
20140214,121.93,1063.9,175.46,6.0676
20140213,122.47,1064.7,175.62,6.064259
20140212,121.56,1072,176.88,6.061896
20140211,120.79,1071.9,176.9,6.060653
20140210,121.07,1075.1,177.31,6.05837
20140207,121.19,1076.4,177.6,6.06375
20140206,122.08,1079.5,178.11,6.061598
20140205,122.94,1086.1,179.2,6.060796
20140204,123.02,1082.2,178.55,6.060874
20140203,123.02,1071.1,176.72,6.061494
20140131,123.02,1079.2,178.36,6.05935
20140130,123.02,1079.2,178.36,6.060921
20140129,123.32,1079.2,178.36,6.05607
20140128,123.57,1084.1,179.25,6.051705
20140127,124.48,1077.2,178.08,6.048827
20140124,124.29,1071.9,177.12,6.0487
20140123,124.61,1068.4,176.56,6.052102
20140122,122.46,1064.2,175.88,6.052017
20140121,124.12,1063.9,175.77,6.051143
20140120,128.79,1061,175.36,6.053598
20140117,130.47,1064.2,175.73,6.04825
20140116,127.72,1062.5,175.74,6.056084
20140115,129.52,1058.4,175.2,6.046672
20140114,131.06,1056.5,174.82,6.043698
20140113,132.82,1062.8,175.61,6.044207
20140110,131.05,1064.8,175.85,6.049
20140109,131.26,1066,176.16,6.055825
20140108,131.75,1067.9,176.48,6.051805
20140107,133.76,1062.2,175.49,6.053338
20140106,135.1,1054.1,174.19,6.051531
20140103,135.27,1050.4,173.6,6.05105
20140102,134.89,1055.3,174.32,6.052351
20140101,134.69,1055.3,174.09,6.050371
20131231,134.69,1055.3,174.09,6.054854
20131230,133.33,1055.6,173.94,6.06323
20131227,132.92,1059.4,174.4,6.0641
20131226,132.68,1060.4,174.65,6.069379
20131225,132.43,1061,174.79,6.070249
20131224,132.49,1061,174.79,6.071315
20131223,132.94,1061.9,174.9,6.070258
20131220,132.79,1058.1,174.28,6.07185
20131219,132.95,1052.1,173.28,6.073562
20131218,133,1051.5,173.2,6.074816
20131217,133.03,1052.6,173.37,6.07067
20131216,134.72,1053.1,173.46,6.071276
20131213,136.76,1053.5,173.52,6.0694
20131212,138.26,1051.9,173.25,6.074088
20131211,139.08,1052.5,173.37,6.071504
20131210,138.86,1053.1,173.43,6.071273
20131209,140.28,1058.2,174,6.071808
20131206,138.39,1060.7,174.13,6.07915
20131205,138.4,1061.2,174.21,6.090929
20131204,139.24,1061.3,174.2,6.09188
20131203,138.33,1057.7,173.59,6.09222
20131202,137.31,1058.9,173.78,6.094733
20131129,137.15,1062.1,174.33,6.09165
20131128,137.38,1060.9,174.13,6.09301
20131127,136.5,1060.3,174.03,6.092854
20131126,136.09,1060.6,174.08,6.092563
20131125,136.53,1061.6,174.21,6.090683
20131122,136.48,1061.9,174.28,6.09341
20131121,135.74,1056.3,173.37,6.093192
20131120,137.33,1055.8,173.28,6.092601
20131119,137.83,1060.7,174.11,6.093825
20131118,136.23,1066.7,175.09,6.092353
20131115,137.11,1067.3,175.19,6.09275
20131114,137.86,1072.9,176.09,6.090696
20131113,136.74,1070.9,175.79,6.094692
20131112,135.96,1068.5,175.41,6.092968
20131111,135.93,1063.5,174.61,6.090846
20131108,136.07,1060.7,174.15,6.0913
20131107,136.62,1062,174.31,6.091035
20131106,137.28,1062,174.19,6.092088
20131105,136.13,1062.1,174.14,6.099406
20131104,135.93,1062.6,174.21,6.099623
20131101,137.26,1059.9,173.91,6.1014
20131031,132.25,1061.4,174.18,6.094341
20131030,131.01,1060.9,174.2,6.095924
20131029,130.35,1061.4,174.41,6.090867
20131028,131.73,1062.3,174.61,6.085248
20131025,133.34,1057.2,173.82,6.08305
20131024,133.95,1056.5,173.67,6.081707
20131023,131.82,1061.7,174.26,6.083592
20131022,133.5,1062,174.31,6.092722
20131021,134.51,1061.4,174.09,6.092402
20131018,134.78,1064.4,174.54,6.0969
20131017,134.61,1067.1,174.94,6.098199
20131016,134.79,1067.9,174.99,6.100431
20131015,133.82,1072.3,175.56,6.102369
20131014,134.14,1070.5,174.9,6.108167
20131011,133.34,1075.7,175.89,6.11985
20131010,132.82,1073.6,175.39,6.116175
20131009,132.22,1070.5,174.88,6.122808
20131008,131.97,1070.5,174.88,6.120927
20131007,131.41,1071.6,175.06,6.121163
20131004,131.41,1074.6,175.55,6.12155
20131003,131.41,1074.5,175.53,6.11902
20131002,131.41,1074.5,175.53,6.12039
20131001,131.41,1075.2,175.64,6.122231
20130930,131.41,1075.6,175.75,6.123248
20130927,132.07,1074.4,175.52,6.1192
20130926,135.36,1076.8,175.95,6.121546
20130925,135.61,1074.9,175.61,6.120078
20130924,133.89,1075.9,175.77,6.121148
20130923,132.47,1085.2,177.29,6.121691
20130920,132.07,1082.2,176.82,6.1208
20130919,132.07,1082.2,176.82,6.12353
20130918,132.07,1082.2,176.82,6.121621
20130917,131.41,1082.2,176.82,6.121565
20130916,133.52,1085.3,177.37,6.119622
20130913,136.44,1083.2,177.05,6.1202
20130912,136.69,1087.1,177.67,6.118051
20130911,136.26,1084.9,177.27,6.11831
20130910,136.05,1088.2,177.78,6.120154
20130909,136.39,1095.4,178.97,6.121177
20130906,136.47,1093.8,178.73,6.12165
20130905,137.71,1099.8,179.7,6.120221
20130904,138.86,1095.9,179.05,6.119746
20130903,139.35,1104.1,180.42,6.121002
20130902,139.49,1109.6,181.32,6.119179
20130830,139.63,1110.9,181.51,6.1167
20130829,140.3,1117,182.51,6.121755
20130828,142.19,1115.8,182.27,6.120149
20130827,141.25,1113,181.83,6.12026
20130826,141.09,1118.2,182.68,6.121217
20130823,139.27,1124.3,183.68,6.12135
20130822,138.74,1118.1,182.59,6.118397
20130821,138.9,1121.9,183.18,6.12435
20130820,139.12,1113.7,181.89,6.123412
20130819,140.09,1115,182.34,6.12263
20130816,139.34,1119.5,183.15,6.1156
20130815,142.5,1116.5,182.38,6.113357
20130814,144.18,1116.5,182.38,6.119891
20130813,143.78,1113,181.79,6.1212
20130812,140.02,1111.8,181.61,6.125447
20130809,136.32,1113.6,181.92,6.12275
20130808,136,1117.3,182.59,6.120528
20130807,133.42,1114.2,182.01,6.117469
20130806,131.96,1116.3,182.26,6.12159
20130805,130.56,1125.4,183.61,6.125765
20130802,130.21,1121.4,182.92,6.12985
20130801,130.43,1119.6,182.68,6.130576
20130731,130.63,1113.6,181.61,6.130977
20130730,131.19,1109.4,180.91,6.131979
20130729,131.59,1111.7,181.31,6.135275
20130726,133.48,1117.3,182.13,6.13035
20130725,132.63,1114.1,181.57,6.134163
20130724,132.89,1116.5,181.92,6.138508
20130723,133.17,1118.5,182.14,6.136118
20130722,131.99,1123.5,183.04,6.143592
20130719,132.36,1122.3,182.75,6.1382
20130718,132.44,1118.1,182.24,6.141554
20130717,130.33,1119,182.4,6.135256
20130716,128.41,1122.6,182.91,6.136015
20130715,129.09,1122.3,182.86,6.138939
20130712,127.51,1124.9,183.35,6.1389
20130711,126.43,1138.8,185.65,6.137603
20130710,124.51,1144.7,186.75,6.136973
20130709,123.9,1151.4,187.71,6.131702
20130708,120.21,1141.7,186.17,6.132629
20130705,124.45,1140.2,186.13,6.13215
