날짜,GSCI Precious Metals,날짜,GSCI Agriculture,날짜,GSCI Livestock,날짜,GSCI Softs,날짜,Reuters Index of Commodity Prices,날짜,CRB BLS Spot Index,날짜,PDS 원자재 지수,날짜,PDS 귀금속 하위지수,날짜,PDS 에너지 하위지수,날짜,PDS 비철금속 하위지수
20130819,1846.47,20130819,378.1,20130819,310.43,20130819,106.07,,,20130816,472.34,,,,,,,,
20130816,1854.33,20130816,370.7,20130816,310.46,20130816,107.41,,,20130815,473.06,,,,,,,,
20130815,1838.45,20130815,373.95,20130815,311.25,20130815,107.56,,,20130814,471.68,,,,,,,,
20130814,1794.22,20130814,368.04,20130814,312.44,20130814,107.74,,,20130813,472.42,,,,,,,,
20130813,1774.49,20130813,365.21,20130813,310.5,20130813,107.38,,,20130812,472.67,,,,,,,,
20130812,1790.45,20130812,369.26,20130812,308.96,20130812,106.94,,,20130809,469.11,,,,,,,,
20130809,1754.79,20130809,363.54,20130809,306.81,20130809,105.79,,,20130808,468,,,,,,,,
20130808,1749.76,20130808,365.95,20130808,307.38,20130808,105.3,,,20130807,467.46,,,,,,,,
20130807,1713.62,20130807,363.74,20130807,303.27,20130807,104.53,,,20130806,466.91,,,,,,,,
20130806,1710.39,20130806,363.57,20130806,305.2,20130806,102.12,,,20130805,467.75,,,,,,,,
20130805,1735.83,20130805,362.98,20130805,303.79,20130805,102.15,,,20130802,466.83,,,,,,,,
20130802,1747.34,20130802,366.77,20130802,301.9,20130802,102.25,,,20130801,468.27,,,,,,,,
20130801,1745.18,20130801,369.42,20130801,301.94,20130801,102.21,,,20130731,467.95,,,,,,,,
20130731,1747.34,20130731,374.06,20130731,302.55,20130731,102.88,,,20130730,466.48,,,,,,,,
20130730,1761.75,20130730,371.7,20130730,302.56,20130730,102.95,,,20130729,467.24,,,,,,,,
20130729,1769.3,20130729,370.58,20130729,304.56,20130729,102.84,,,20130726,468.32,,,,,,,,
20130726,1759.29,20130726,370.86,20130726,304.54,20130726,102.14,,,20130725,470.19,,,,,,,,
20130725,1772.19,20130725,371.81,20130725,305.37,20130725,102.67,,,20130724,470.36,,,,,,,,
20130724,1759.75,20130724,375.83,20130724,306.49,20130724,101.47,,,20130723,470.1,,,,,,,,
20130723,1779.93,20130723,380.16,20130723,306.51,20130723,102.62,,,20130722,471.8,,,,,,,,
20130722,1785.04,20130722,386.69,20130722,304.72,20130722,102.85,,,20130719,470.77,,,,,,,,
20130719,1723.26,20130719,386.75,20130719,305.09,20130719,102.25,,,20130718,470.1,,,,,,,,
20130718,1712.53,20130718,384.83,20130718,306.14,20130718,102.02,,,20130717,468.31,,,,,,,,
20130717,1704.97,20130717,385.18,20130717,303.81,20130717,101.19,,,20130716,468.64,,,,,,,,
20130716,1725.83,20130716,387.18,20130716,305.77,20130716,100.95,,,20130715,467.99,,,,,,,,
20130715,1717.07,20130715,384.08,20130715,305.37,20130715,101.09,,,20130712,469.67,,,,,,,,
20130712,1709.76,20130712,386.75,20130712,303.43,20130712,100.34,,,20130711,471.81,,,,,,,,
20130711,1713.79,20130711,392.57,20130711,305.13,20130711,100.86,,,20130710,471.81,,,,,,,,
20130710,1666.95,20130710,390.95,20130710,306.93,20130710,101.66,,,20130709,470.96,,,,,,,,
20130709,1664.44,20130709,389.72,20130709,308.32,20130709,101.68,,,20130708,470.17,,,,,,,,
20130708,1649.93,20130708,381.96,20130708,309.25,20130708,101.51,,,20130705,469.5,,,,,,,,
20130705,1620.15,20130705,378.09,20130705,313.2,20130705,101,,,20130703,472.1,,,,,,,,
20130703,1676.24,20130703,382.36,20130703,311.97,20130703,101.81,,,20130702,470.01,,,,,,,,
20130702,1662.19,20130702,381.13,20130702,311.63,20130702,101.93,,,20130701,469.23,,,,,,,,
20130701,1679.44,20130701,380.71,20130701,312.51,20130701,102.25,,,20130628,468.12,,,,,,,,
20130628,1640.69,20130628,384.74,20130628,312.43,20130628,102.09,,,20130627,468.67,,,,,,,,
20130627,1616.96,20130627,394.08,20130627,315.96,20130627,102.43,,,,,,,,,,,,
