날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물,날짜,철광석 62% [DCE] 2018.09,날짜,고철 HMS No.1 [미 동부 Composite가격] 현물,날짜,철근 [SHFE] 2018.10,날짜,철근 고장력 HD10mm [국내(1차 유통가)] 현물,날짜,냉연코일 1.0x4x8mm [국내(1차 유통가)] 현물,날짜,열연코일 4.5x4x8 ~ 5.9x4x8mm [국내(1차 유통가)] 현물,날짜,선재 [SHFE] 2018.09,날짜,중후판 12(mm)x8(ft)x20(ft) [국내(1차 유통가)] 현물,날짜,H형강 소형 [국내(1차 유통가)] 현물
20161219,81.22,20161216,603.5,,,20161216,3363,,,,,,,20161216,2305,,,,
20161216,81.49,20161215,606,,,20161215,3368,,,,,,,20161215,2305,,,,
20161215,81.5,20161214,615.5,,,20161214,3412,,,,,,,20161214,2305,,,,
20161214,79.18,20161213,635.5,,,20161213,3466,,,,,,,20161213,2305,,,,
20161213,83.42,20161212,634.5,,,20161212,3436,,,,,,,20161212,2305,,,,
20161212,83.58,20161209,614.5,,,20161209,3325,,,,,,,20161209,2305,,,,
20161209,81.66,20161208,634.5,,,20161208,3363,,,,,,,20161208,2305,,,,
20161208,81.78,20161207,628,,,20161207,3337,,,,,,,20161207,2305,,,,
20161207,82.25,20161206,605,,,20161206,3218,,,,,,,20161206,2305,,,,
20161206,79.73,20161205,635,,,20161205,3147,,,,,,,20161205,2305,,,,
20161205,78.62,20161202,633,,,20161202,3131,,,,,,,20161202,2305,,,,
20161202,77.79,20161201,621,,,20161201,3087,,,,,,,20161201,2305,,,,
20161201,78.36,20161130,611.5,,,20161130,3040,,,,,,,20161130,2305,,,,
20161130,72.08,20161129,649.5,,,20161129,3126,,,,,,,20161129,2305,,,,
20161129,77.3,20161128,648.5,,,20161128,3162,,,,,,,20161128,2305,,,,
20161128,80.83,20161125,638.5,,,20161125,3044,,,,,,,20161125,2305,,,,
20161125,79.61,20161124,625,,,20161124,2948,,,,,,,20161124,2305,,,,
20161124,76.93,20161123,607.5,,,20161123,2914,,,,,,,20161123,2305,,,,
20161123,75.87,20161122,566,,,20161122,2826,,,,,,,20161122,2305,,,,
20161122,74.9,20161121,548,,,20161121,2736,,,,,,,20161121,2305,,,,
20161121,70.34,20161118,561.5,,,20161118,2783,,,,,,,20161118,2305,,,,
20161118,72.79,20161117,563.5,,,20161117,2785,,,,,,,20161117,2305,,,,
20161117,73.55,20161116,573,,,20161116,2789,,,,,,,20161116,2305,,,,
20161116,72.42,20161115,617,,,20161115,2930,,,,,,,20161115,2305,,,,
20161115,72.68,20161114,628.5,,,20161114,3041,,,,,,,20161114,2305,,,,
20161114,77.77,20161111,602.5,,,20161111,3043,,,,,,,20161111,2305,,,,
20161111,79.81,20161110,580,,,20161110,3021,,,,,,,20161110,2305,,,,
20161110,74.12,20161109,539.5,,,20161109,2943,,,,,,,20161109,2305,,,,
20161109,70.98,20161108,520.5,,,20161108,2864,,,,,,,20161108,2305,,,,
20161108,68.3,20161107,509,,,20161107,2799,,,,,,,20161107,2305,,,,
20161107,67.43,20161104,503.5,,,20161104,2726,,,,,,,20161104,2305,,,,
20161104,65,20161103,494.5,,,20161103,2646,,,,,,,20161103,2305,,,,
20161103,65.46,20161102,499,,,20161102,2629,,,,,,,20161102,2305,,,,
20161102,65.31,20161101,500.5,,,20161101,2607,,,,,,,20161101,2305,,,,
20161101,65.33,20161031,494.5,,,20161031,2582,,,,,,,20161031,2305,,,,
20161031,64.38,20161028,486,,,20161028,2545,,,,,,,20161028,2305,,,,
20161028,63.96,20161027,476,,,20161027,2528,,,,,,,20161027,2305,,,,
20161027,63.04,20161026,475,,,20161026,2546,,,,,,,20161026,2305,,,,
20161026,63.07,20161025,464,,,20161025,2547,,,,,,,20161025,2305,,,,
20161025,61.96,20161024,445,,,20161024,2469,,,,,,,20161024,2305,,,,
20161024,59.28,20161021,440,,,20161021,2465,,,,,,,20161021,2305,,,,
20161021,58.72,20161020,442,,,20161020,2472,,,,,,,20161020,2305,,,,
20161020,58.85,20161019,441.5,,,20161019,2472,,,,,,,20161019,2305,,,,
20161019,58.37,20161018,435.5,,,20161018,2421,,,,,,,20161018,2305,,,,
20161018,58.41,20161017,440.5,,,20161017,2427,,,,,,,20161017,2305,,,,
20161017,58.38,20161014,432,,,20161014,2378,,,,,,,20161014,2305,,,,
20161014,57.28,20161013,426,,,20161013,2348,,,,,,,20161013,2305,,,,
20161013,56.67,20161012,423.5,,,20161012,2335,,,,,,,20161012,2305,,,,
20161012,57.16,20161011,416.5,,,20161011,2309,,,,,,,20161011,2427,,,,
20161011,57.68,20161010,404.5,,,20161010,2247,,,,,,,20161010,2555,,,,
20161010,56.65,20160930,407.5,,,20160930,2264,,,,,,,20160930,2135,,,,
20161007,55.86,20160929,418,,,20160929,2306,,,,,,,20160929,2145,,,,
20161006,55.86,20160928,408,,,20160928,2272,,,,,,,20160928,2145,,,,
20161005,55.86,20160927,406,,,20160927,2282,,,,,,,20160927,2145,,,,
20161004,55.86,20160926,413,,,20160926,2323,,,,,,,20160926,2145,,,,
20161003,55.86,20160923,411,,,20160923,2298,,,,,,,20160923,2145,,,,
20160930,55.86,20160922,409.5,,,20160922,2292,,,,,,,20160922,2145,,,,
20160929,56.68,20160921,398,,,20160921,2259,,,,,,,20160921,2145,,,,
20160928,56.48,20160920,397.5,,,20160920,2263,,,,,,,20160920,2145,,,,
20160927,56.63,20160919,390,,,20160919,2235,,,,,,,20160919,2145,,,,
20160926,56.77,20160914,393,,,20160914,2260,,,,,,,20160914,2145,,,,
20160923,56.79,20160913,395,,,20160913,2272,,,,,,,20160913,2145,,,,
20160922,56.34,20160912,405,,,20160912,2307,,,,,,,20160912,2145,,,,
20160921,55.87,20160909,406,,,20160909,2324,,,,,,,20160909,2145,,,,
20160920,55.77,20160908,406.5,,,20160908,2338,,,,,,,20160908,2145,,,,
20160919,55.68,20160907,415.5,,,20160907,2371,,,,,,,20160907,2145,,,,
20160916,55.97,20160906,423,,,20160906,2430,,,,,,,20160906,2145,,,,
20160915,55.97,20160905,423.5,,,20160905,2438,,,,,,,20160905,2145,,,,
20160914,55.97,20160902,424,,,20160902,2426,,,,,,,20160902,2145,,,,
20160913,56.09,20160901,414,,,20160901,2388,,,,,,,20160901,2145,,,,
20160909,57.78,20160831,415.5,,,20160831,2422,,,,,,,20160831,2145,,,,
20160908,58.14,20160830,420,,,20160830,2453,,,,,,,20160830,2145,,,,
20160907,58.46,20160829,422.5,,,20160829,2476,,,,,,,20160829,2145,,,,
20160906,59.16,20160826,436,,,20160826,2541,,,,,,,20160826,2145,,,,
20160905,59.24,20160825,442,,,20160825,2563,,,,,,,20160825,2431,,,,
20160902,59.39,20160824,455.5,,,20160824,2596,,,,,,,20160824,2431,,,,
20160901,58.86,20160823,451.5,,,20160823,2585,,,,,,,20160823,2431,,,,
20160831,58.97,20160822,445,,,20160822,2572,,,,,,,20160822,2431,,,,
20160830,59.31,20160819,437.5,,,20160819,2556,,,,,,,20160819,2431,,,,
20160829,59.14,20160818,432,,,20160818,2580,,,,,,,20160818,2431,,,,
20160826,59.13,20160817,436.5,,,20160817,2629,,,,,,,20160817,2431,,,,
20160825,61.44,20160816,431,,,20160816,2629,,,,,,,20160816,2431,,,,
20160824,61.7,20160815,478,,,20160815,2551,,,,,,,20160815,2431,,,,
20160823,61.75,20160812,485.5,,,20160812,2574,,,,,,,20160812,2431,,,,
20160822,61.23,20160811,486.5,,,20160811,2572,,,,,,,20160811,2431,,,,
20160819,60.95,20160810,495.5,,,20160810,2586,,,,,,,20160810,2431,,,,
20160818,60.71,20160809,503,,,20160809,2591,,,,,,,20160809,2431,,,,
20160817,60.87,20160808,497,,,20160808,2570,,,,,,,20160808,2431,,,,
20160816,62.03,20160805,486.5,,,20160805,2505,,,,,,,20160805,2431,,,,
20160815,60.22,20160804,475,,,20160804,2461,,,,,,,20160804,2431,,,,
20160812,60.37,20160803,482.5,,,20160803,2495,,,,,,,20160803,2431,,,,
20160811,59.36,20160802,483.5,,,20160802,2500,,,,,,,20160802,2431,,,,
20160810,60.58,20160801,472.5,,,20160801,2466,,,,,,,20160801,2431,,,,
20160808,61.56,20160729,468,,,20160729,2444,,,,,,,20160729,2431,,,,
20160805,60.74,20160728,468.5,,,20160728,2462,,,,,,,20160728,2431,,,,
20160804,59.5,20160727,457.5,,,20160727,2405,,,,,,,20160727,2431,,,,
20160803,61.67,20160726,441,,,20160726,2339,,,,,,,20160726,2431,,,,
20160802,61.94,20160725,436,,,20160725,2331,,,,,,,20160725,2431,,,,
20160801,62.27,20160722,438,,,20160722,2343,,,,,,,20160722,2431,,,,
20160729,59.37,20160721,433,,,20160721,2353,,,,,,,20160721,2431,,,,
20160728,60.7,20160720,423,,,20160720,2306,,,,,,,20160720,2431,,,,
20160727,58.63,20160719,428,,,20160719,2315,,,,,,,20160719,2553,,,,
20160726,58.08,20160718,446.5,,,20160718,2439,,,,,,,20160718,2553,,,,
20160725,56.86,20160715,458.5,,,20160715,2513,,,,,,,20160715,2553,,,,
20160722,55.87,20160714,459,,,20160714,2511,,,,,,,20160714,2553,,,,
20160721,57.17,20160713,459,,,20160713,2550,,,,,,,20160713,2553,,,,
20160720,55.75,20160712,440,,,20160712,2491,,,,,,,20160712,2432,,,,
20160719,56.02,20160711,427.5,,,20160711,2422,,,,,,,20160711,2317,,,,
20160718,56.86,20160708,423.5,,,20160708,2402,,,,,,,20160708,2317,,,,
20160715,58.42,20160707,428.5,,,20160707,2401,,,,,,,20160707,2207,,,,
20160714,58.47,20160706,429,,,20160706,2371,,,,,,,20160706,2122,,,,
20160713,59.15,20160705,436,,,20160705,2385,,,,,,,20160705,2122,,,,
20160712,59.38,20160704,431.5,,,20160704,2412,,,,,,,20160704,2122,,,,
20160711,55.68,20160701,421,,,20160701,2344,,,,,,,20160701,2122,,,,
20160708,55.17,20160630,424,,,20160630,2295,,,,,,,20160630,2122,,,,
20160707,55.07,20160629,418,,,20160629,2250,,,,,,,20160629,2122,,,,
20160706,55.93,20160628,415.5,,,20160628,2265,,,,,,,20160628,2122,,,,
20160705,55.93,20160627,401.5,,,20160627,2210,,,,,,,20160627,2122,,,,
20160704,56.22,20160624,388,,,20160624,2140,,,,,,,20160624,2122,,,,
20160701,54.33,20160623,387.5,,,20160623,2145,,,,,,,20160623,2122,,,,
20160630,55.66,20160622,381,,,20160622,2115,,,,,,,20160622,2122,,,,
20160629,53.89,20160621,373.5,,,20160621,2085,,,,,,,20160621,2122,,,,
20160628,53.65,20160620,372,,,20160620,2074,,,,,,,20160620,2122,,,,
20160627,53.86,20160617,366.5,,,20160617,2054,,,,,,,20160617,2122,,,,
20160624,50.61,20160616,365.5,,,20160616,2086,,,,,,,20160616,2122,,,,
20160623,51.89,20160615,358.5,,,20160615,2075,,,,,,,20160615,2340,,,,
20160622,52.29,20160614,365.5,,,20160614,2125,,,,,,,20160614,2340,,,,
20160621,50.87,20160613,371,,,20160613,2154,,,,,,,20160613,2340,,,,
20160620,51.06,20160608,367.5,,,20160608,2080,,,,,,,20160608,2340,,,,
20160617,51.05,20160607,368.5,,,20160607,2074,,,,,,,20160607,2340,,,,
20160616,50.7,20160606,357,,,20160606,2059,,,,,,,20160606,2340,,,,
20160615,50.65,20160603,347.5,,,20160603,1980,,,,,,,20160603,2340,,,,
20160614,50.57,20160602,346,,,20160602,1959,,,,,,,20160602,2340,,,,
20160613,52.91,20160601,344.5,,,20160601,1961,,,,,,,20160601,2340,,,,
20160610,52.56,20160531,347.5,,,20160531,1999,,,,,,,20160531,2340,,,,
20160609,52.56,20160530,343,,,20160530,1994,,,,,,,20160530,2340,,,,
20160608,52.56,20160527,344.5,,,20160527,1987,,,,,,,20160527,2340,,,,
20160607,52.54,20160526,343,,,20160526,1940,,,,,,,20160526,2340,,,,
20160606,51.11,20160525,347.5,,,20160525,1941,,,,,,,20160525,2340,,,,
20160603,50.08,20160524,349.5,,,20160524,1941,,,,,,,20160524,2340,,,,
20160602,48.18,20160523,359,,,20160523,1983,,,,,,,20160523,2340,,,,
20160601,48.4,20160520,372,,,20160520,2054,,,,,,,20160520,2340,,,,
20160531,50.15,20160519,370,,,20160519,2047,,,,,,,20160519,2340,,,,
20160530,50.27,20160518,380.5,,,20160518,2092,,,,,,,20160518,2340,,,,
20160527,51.15,20160517,374.5,,,20160517,2076,,,,,,,20160517,2340,,,,
20160526,49.48,20160516,367.5,,,20160516,2053,,,,,,,20160516,1911,,,,
20160525,50.41,20160513,366,,,20160513,2037,,,,,,,20160513,1911,,,,
20160524,51.36,20160512,383,,,20160512,2128,,,,,,,20160512,1911,,,,
20160523,51.22,20160511,386,,,20160511,2152,,,,,,,20160511,1911,,,,
20160520,54.89,20160510,384.5,,,20160510,2124,,,,,,,20160510,1911,,,,
20160519,53.47,20160509,403.5,,,20160509,2257,,,,,,,20160509,1911,,,,
20160518,56.78,20160506,412.5,,,20160506,2314,,,,,,,20160506,1911,,,,
20160517,55.78,20160505,423,,,20160505,2356,,,,,,,20160505,1911,,,,
20160516,54.34,20160504,435.5,,,20160504,2407,,,,,,,20160504,1911,,,,
20160513,54.54,20160503,441.5,,,20160503,2470,,,,,,,20160503,1911,,,,
20160512,55.05,20160429,456,,,20160429,2567,,,,,,,20160429,1911,,,,
20160511,55.57,20160428,436,,,20160428,2507,,,,,,,20160428,1911,,,,
20160510,55.26,20160427,441,,,20160427,2519,,,,,,,20160427,1911,,,,
20160509,54.99,20160426,459.5,,,20160426,2596,,,,,,,20160426,1911,,,,
20160506,58.29,20160425,479,,,20160425,2655,,,,,,,20160425,1911,,,,
20160505,60.25,20160422,474.5,,,20160422,2652,,,,,,,20160422,1911,,,,
20160504,60.09,20160421,464.5,,,20160421,2708,,,,,,,20160421,1911,,,,
20160503,63.41,20160420,447.5,,,20160420,2561,,,,,,,20160420,1911,,,,
20160429,66.24,20160419,429,,,20160419,2446,,,,,,,20160419,1911,,,,
20160428,62.9,20160418,417.5,,,20160418,2353,,,,,,,20160418,1911,,,,
20160427,61.09,20160415,414,,,20160415,2318,,,,,,,20160415,1911,,,,
20160426,62.78,20160414,422.5,,,20160414,2350,,,,,,,20160414,1911,,,,
20160425,66.07,20160413,419,,,20160413,2366,,,,,,,20160413,1911,,,,
20160422,66.33,20160412,400.5,,,20160412,2312,,,,,,,20160412,1911,,,,
20160421,70.46,20160411,386.5,,,20160411,2263,,,,,,,20160411,1911,,,,
20160420,64.77,20160408,375.5,,,20160408,2189,,,,,,,20160408,1911,,,,
20160419,62.85,20160407,377.5,,,20160407,2187,,,,,,,20160407,1911,,,,
20160418,60.36,20160406,376,,,20160406,2184,,,,,,,20160406,1911,,,,
20160415,58.28,20160405,378.5,,,20160405,2180,,,,,,,20160405,1911,,,,
20160414,59.38,20160401,385,,,20160401,2167,,,,,,,20160401,1911,,,,
20160413,60.48,20160331,378.5,,,20160331,2122,,,,,,,20160331,1911,,,,
20160412,59.22,20160330,379.5,,,20160330,2119,,,,,,,20160330,1911,,,,
20160411,56.62,20160329,378,,,20160329,2148,,,,,,,20160329,1911,,,,
20160408,54.03,20160328,392.5,,,20160328,2183,,,,,,,20160328,1911,,,,
20160407,54.7,20160325,389.5,,,20160325,2143,,,,,,,20160325,1911,,,,
20160406,54.57,20160324,431.5,,,20160324,2144,,,,,,,20160324,1911,,,,
20160405,54.75,20160323,450.5,,,20160323,2195,,,,,,,20160323,1911,,,,
20160404,54.8,20160322,455,,,20160322,2161,,,,,,,20160322,1911,,,,
20160401,54.8,20160321,457,,,20160321,2145,,,,,,,20160321,1911,,,,
20160331,53.75,20160318,445,,,20160318,2119,,,,,,,20160318,1911,,,,
20160330,54.18,20160317,426,,,20160317,2047,,,,,,,20160317,1911,,,,
20160329,55.11,20160316,415.5,,,20160316,1993,,,,,,,20160316,1911,,,,
20160328,55.76,20160315,419.5,,,20160315,1983,,,,,,,20160315,1911,,,,
20160324,56.37,20160314,434,,,20160314,2024,,,,,,,20160314,1911,,,,
20160323,57.87,20160311,432.5,,,20160311,2053,,,,,,,20160311,1911,,,,
20160322,58.36,20160310,438.5,,,20160310,2147,,,,,,,20160310,1911,,,,
20160321,58.82,20160309,420.5,,,20160309,2097,,,,,,,20160309,1911,,,,
20160318,57.5,20160308,421.5,,,20160308,2147,,,,,,,20160308,1911,,,,
20160317,56.09,20160307,399.5,,,20160307,2032,,,,,,,20160307,1911,,,,
20160316,53.57,20160304,388,,,20160304,1975,,,,,,,20160304,1911,,,,
20160315,52.88,20160303,385,,,20160303,1983,,,,,,,20160303,1911,,,,
20160314,55.55,20160302,381.5,,,20160302,1996,,,,,,,20160302,1911,,,,
20160311,57.09,20160301,375,,,20160301,1982,,,,,,,20160301,1911,,,,
20160310,57.92,20160229,364,,,20160229,1939,,,,,,,20160229,1911,,,,
20160309,58.02,20160226,364,,,20160226,1916,,,,,,,20160226,1911,,,,
20160308,63.63,20160225,371,,,20160225,1941,,,,,,,20160225,1911,,,,
20160307,63.74,20160224,370,,,20160224,1926,,,,,,,20160224,1911,,,,
20160304,53.75,20160223,370.5,,,20160223,1941,,,,,,,20160223,1911,,,,
20160303,51.2,20160222,361.5,,,20160222,1934,,,,,,,20160222,1911,,,,
20160302,52.5,20160219,348.5,,,20160219,1881,,,,,,,20160219,1911,,,,
20160301,51.44,20160218,340.5,,,20160218,1861,,,,,,,20160218,1911,,,,
20160229,49.62,20160217,340.5,,,20160217,1864,,,,,,,20160217,1911,,,,
20160226,48.29,20160216,339,,,20160216,1871,,,,,,,20160216,1911,,,,
20160225,49.75,20160215,337,,,20160215,1860,,,,,,,20160215,1911,,,,
20160224,51.64,20160205,335,,,20160205,1842,,,,,,,20160205,1911,,,,
20160223,51.6,20160204,336.5,,,20160204,1842,,,,,,,20160204,1911,,,,
20160222,51.52,20160203,327,,,20160203,1819,,,,,,,20160203,1911,,,,
20160219,48.52,20160202,325,,,20160202,1812,,,,,,,20160202,1911,,,,
20160218,47.14,20160201,326,,,20160201,1831,,,,,,,20160201,1911,,,,
20160217,46.35,20160129,320,,,20160129,1815,,,,,,,20160129,1911,,,,
20160216,46.78,20160128,322.5,,,20160128,1841,,,,,,,20160128,1911,,,,
20160215,46.26,20160127,321.5,,,20160127,1858,,,,,,,20160127,1911,,,,
20160212,45.73,20160126,314.5,,,20160126,1840,,,,,,,20160126,1911,,,,
20160211,45.73,20160125,316,,,20160125,1841,,,,,,,20160125,1911,,,,
20160210,45.73,20160122,318.5,,,20160122,1829,,,,,,,20160122,1911,,,,
20160205,45.73,20160121,314,,,20160121,1813,,,,,,,20160121,1911,,,,
20160204,45.52,20160120,317.5,,,20160120,1826,,,,,,,20160120,1911,,,,
20160203,44.63,20160119,319.5,,,20160119,1827,,,,,,,20160119,1911,,,,
20160202,43.84,20160118,314,,,20160118,1807,,,,,,,20160118,1911,,,,
20160201,43.02,20160115,308,,,20160115,1774,,,,,,,20160115,2124,,,,
20160129,41.72,20160114,301.5,,,20160114,1745,,,,,,,20160114,2124,,,,
20160128,41.92,20160113,301.5,,,20160113,1743,,,,,,,20160113,2124,,,,
20160127,42.43,20160112,303,,,20160112,1750,,,,,,,20160112,2124,,,,
20160126,41.08,20160111,308.5,,,20160111,1762,,,,,,,20160111,2124,,,,
20160125,41.57,20160108,313.5,,,20160108,1761,,,,,,,20160108,2124,,,,
20160122,42.2,20160107,320,,,20160107,1776,,,,,,,20160107,2124,,,,
20160121,41.29,20160106,319.5,,,20160106,1776,,,,,,,20160106,2124,,,,
20160120,41.61,20160105,322.5,,,20160105,1778,,,,,,,20160105,2124,,,,
20160119,42.78,20160104,323.5,,,20160104,1797,,,,,,,20160104,2124,,,,
20160118,42.66,20151231,324.5,,,20151231,1789,,,,,,,20151231,2124,,,,
20160115,41.12,20151230,320.5,,,20151230,1787,,,,,,,20151230,2124,,,,
20160114,40.22,20151229,312,,,20151229,1765,,,,,,,20151229,2124,,,,
20160113,39.51,20151228,307,,,20151228,1733,,,,,,,20151228,2124,,,,
20160112,41.19,20151225,304.5,,,20151225,1729,,,,,,,20151225,2124,,,,
20160111,41.31,20151224,305.5,,,20151224,1727,,,,,,,20151224,2124,,,,
20160108,42.13,20151223,304.5,,,20151223,1718,,,,,,,20151223,2124,,,,
20160107,42.65,20151222,306,,,20151222,1739,,,,,,,20151222,2124,,,,
20160106,42.91,20151221,306,,,20151221,1737,,,,,,,20151221,2124,,,,
20160105,43.11,20151218,297.5,,,20151218,1696,,,,,,,20151218,2124,,,,
20160104,44.37,20151217,294,,,20151217,1683,,,,,,,20151217,2124,,,,
20151231,43.57,20151216,290.5,,,20151216,1663,,,,,,,20151216,2124,,,,
20151230,43.42,20151215,292.5,,,20151215,1670,,,,,,,20151215,2124,,,,
20151229,42.31,20151214,288.5,,,20151214,1659,,,,,,,20151214,2124,,,,
20151228,41.3,20151211,285.5,,,20151211,1651,,,,,,,20151211,2124,,,,
20151224,41,20151210,285,,,20151210,1652,,,,,,,20151210,2124,,,,
20151223,40.82,20151209,287,,,20151209,1658,,,,,,,20151209,2124,,,,
20151222,40.8,20151208,289,,,20151208,1655,,,,,,,20151208,2124,,,,
20151221,40.46,20151207,292.5,,,20151207,1661,,,,,,,20151207,2124,,,,
20151218,40.1,20151204,288,,,20151204,1643,,,,,,,20151204,2124,,,,
20151217,39.43,20151203,293,,,20151203,1649,,,,,,,20151203,2124,,,,
20151216,39.18,20151202,292.5,,,20151202,1657,,,,,,,20151202,2124,,,,
20151215,39.36,20151201,293,,,20151201,1630,,,,,,,20151201,2124,,,,
20151214,39.06,20151130,296,,,20151130,1637,,,,,,,20151130,2124,,,,
20151211,38.3,20151127,304.5,,,20151127,1668,,,,,,,20151127,2121,,,,
20151210,38.52,20151126,310,,,20151126,1691,,,,,,,20151126,2121,,,,
20151209,39.08,20151125,304,,,20151125,1676,,,,,,,20151125,2121,,,,
20151208,38.65,20151124,300,,,20151124,1663,,,,,,,20151124,2121,,,,
20151207,39.06,20151123,303,,,20151123,1670,,,,,,,20151123,2121,,,,
20151204,40.03,20151120,333.5,,,20151120,1702,,,,,,,20151120,2121,,,,
20151203,40.75,20151119,331,,,20151119,1709,,,,,,,20151119,2121,,,,
20151202,41.13,20151118,337,,,20151118,1740,,,,,,,20151118,2121,,,,
20151201,42.24,20151117,343.5,,,20151117,1752,,,,,,,20151117,2121,,,,
20151130,42.97,20151116,351,,,20151116,1758,,,,,,,20151116,2088,,,,
20151127,44.5,20151113,350,,,20151113,1761,,,,,,,20151113,2088,,,,
20151126,43.98,20151112,346,,,20151112,1767,,,,,,,20151112,2088,,,,
20151125,44.07,20151111,347,,,20151111,1785,,,,,,,20151111,2088,,,,
20151124,43.89,20151110,348,,,20151110,1798,,,,,,,20151110,2088,,,,
20151123,44.75,20151109,347,,,20151109,1799,,,,,,,20151109,2088,,,,
20151120,44.91,20151106,345.5,,,20151106,1787,,,,,,,20151106,2088,,,,
20151119,45.44,20151105,349.5,,,20151105,1779,,,,,,,20151105,2088,,,,
20151118,46.35,20151104,349,,,20151104,1777,,,,,,,20151104,2088,,,,
20151117,45.58,20151103,350.5,,,20151103,1779,,,,,,,20151103,2088,,,,
20151116,47.74,20151102,361,,,20151102,1788,,,,,,,20151102,2088,,,,
20151113,48.14,20151030,361,,,20151030,1787,,,,,,,20151030,2088,,,,
20151112,47.81,20151029,357,,,20151029,1793,,,,,,,20151029,2088,,,,
20151111,48.58,20151028,361,,,20151028,1792,,,,,,,20151028,2038,,,,
20151109,48.24,20151027,365,,,20151027,1806,,,,,,,20151027,2098,,,,
20151106,48.21,20151026,367.5,,,20151026,1801,,,,,,,20151026,2098,,,,
20151105,48.71,20151023,366,,,20151023,1796,,,,,,,20151023,2098,,,,
20151104,49.18,20151022,366,,,20151022,1808,,,,,,,20151022,2098,,,,
20151103,49.11,20151021,367.5,,,20151021,1800,,,,,,,20151021,2098,,,,
20151102,49.5,20151020,372,,,20151020,1804,,,,,,,20151020,2098,,,,
20151030,49.83,20151019,370,,,20151019,1821,,,,,,,20151019,2098,,,,
20151029,49.65,20151016,370.5,,,20151016,1828,,,,,,,20151016,2098,,,,
20151028,49.95,20151015,375,,,20151015,1835,,,,,,,20151015,2098,,,,
20151027,51.5,20151014,377,,,20151014,1833,,,,,,,20151014,2098,,,,
20151026,51.03,20151013,375.5,,,20151013,1831,,,,,,,20151013,2098,,,,
20151023,51.62,20151012,383,,,20151012,1854,,,,,,,20151012,2098,,,,
20151022,52.18,20151009,383.5,,,20151009,1844,,,,,,,20151009,2098,,,,
20151021,52.79,20151008,373.5,,,20151008,1833,,,,,,,20151008,2098,,,,
20151020,52.93,20150930,366.5,,,20150930,1826,,,,,,,20150930,2181,,,,
20151019,53.3,20150929,365.5,,,20150929,1839,,,,,,,20150929,2326,,,,
20151016,53.76,20150928,373.5,,,20150928,1871,,,,,,,20150928,2326,,,,
20151015,53.74,20150925,381,,,20150925,1898,,,,,,,20150925,2326,,,,
20151014,55.12,20150924,377.5,,,20150924,1895,,,,,,,20150924,2393,,,,
20151013,54.97,20150923,377,,,20150923,1891,,,,,,,20150923,2393,,,,
20151012,56.61,20150922,385,,,20150922,1895,,,,,,,20150922,2393,,,,
20151009,56.01,20150921,390.5,,,20150921,1908,,,,,,,20150921,2393,,,,
20151008,55.97,20150918,391.5,,,20150918,1926,,,,,,,20150918,2393,,,,
20151007,53.14,20150917,394.5,,,20150917,1935,,,,,,,20150917,2393,,,,
20151006,53.14,20150916,394.5,,,20150916,1926,,,,,,,20150916,2393,,,,
20151005,53.14,20150915,398.5,,,20150915,1923,,,,,,,20150915,2350,,,,
20151002,53.14,20150914,405.5,,,20150914,1935,,,,,,,20150914,2350,,,,
20151001,56.04,20150911,410.5,,,20150911,1956,,,,,,,20150911,2350,,,,
20150930,56.32,20150910,404.5,,,20150910,1953,,,,,,,20150910,2350,,,,
20150929,56.05,20150909,397.5,,,20150909,1963,,,,,,,20150909,2350,,,,
20150928,56.86,20150908,383,,,20150908,1929,,,,,,,20150908,2350,,,,
20150925,56.98,20150907,386,,,20150907,1925,,,,,,,20150907,2350,,,,
20150923,55.3,20150902,389,,,20150902,1957,,,,,,,20150902,2350,,,,
20150922,56.21,20150901,389,,,20150901,1958,,,,,,,20150901,2350,,,,
20150921,57.3,20150831,385.5,,,20150831,1960,,,,,,,20150831,2350,,,,
20150918,57.69,20150828,378,,,20150828,1981,,,,,,,20150828,2350,,,,
20150917,57.37,20150827,367.5,,,20150827,1958,,,,,,,20150827,2350,,,,
20150916,57.21,20150826,366.5,,,20150826,1953,,,,,,,20150826,2350,,,,
20150915,57.28,20150825,361,,,20150825,1941,,,,,,,20150825,2350,,,,
20150914,58.1,20150824,367.5,,,20150824,1969,,,,,,,20150824,2350,,,,
20150910,59.01,20150821,377.5,,,20150821,2032,,,,,,,20150821,2350,,,,
20150909,58.18,20150820,376,,,20150820,2033,,,,,,,20150820,2350,,,,
20150908,57.42,20150819,375.5,,,20150819,2037,,,,,,,20150819,2350,,,,
20150907,56.85,20150818,383.5,,,20150818,2058,,,,,,,20150818,2350,,,,
20150904,56.5,20150817,384.5,,,20150817,2074,,,,,,,20150817,2350,,,,
20150903,56.5,20150814,385,,,20150814,2085,,,,,,,20150814,2350,,,,
20150902,56.7,20150813,384.5,,,20150813,2089,,,,,,,20150813,2350,,,,
20150901,56.59,20150812,374,,,20150812,2061,,,,,,,20150812,2350,,,,
20150831,56.21,20150811,376,,,20150811,2061,,,,,,,20150811,2350,,,,
20150828,56.04,20150810,369,,,20150810,2050,,,,,,,20150810,2350,,,,
20150827,53.93,20150807,371,,,20150807,2061,,,,,,,20150807,2350,,,,
20150826,53.67,20150806,374.5,,,20150806,2081,,,,,,,20150806,2350,,,,
20150825,53.45,20150805,372,,,20150805,2093,,,,,,,20150805,2350,,,,
