,날짜,AUD/KRW (호주 달러 / 한국 원),AUD/USD (호주 달러 / 미국 달러),Baltic Capesize Index (BCI)1999.03.01,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Dry Index (BDI)1985.01.04,Baltic Handysize Index (BHSI)2006.05.23,Baltic Panamax Index (BPI)1998.05.06,Baltic Supramax index (BSI)2005.01.01,Bloomberg Commodity Total Return,CNY/KRW (중국 인민폐 / 한국 원),CRB BLS Spot Index,DRAMeXchange Index (DXI)2001.10.01=1000,LMEX Index1999.04=1000,Reuters Index of Commodity Prices,Rogers International Commodities Index Agriculture1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index1998.07.31=1000,S&P GSCI,TOCOM Index2002.05.31=100,TR/CC CRB Index,US Dollar IndexMar 1973=100,USD/CNY (미국 달러 / 중국 인민폐),USD/KRW (미국 달러 / 한국 원),USD/RMB (미국 달러 / 중국 인민폐),철광석 Fines (Daily) [중국(수입가 CFR)] 현물
590,20160219,876.56,0.71,207.0,524.0,799.0,315.0,198.0,355.0,286.0,151.41,187.87,385.01,5991.92,2214.9,2036.76,799.16,236.87,1691.22,1885.81,293.73,203.03,159.63,92.7435,6.52,1225.7,6.52,48.52
591,20160218,878.18,0.72,220.0,526.0,806.0,313.0,193.0,358.0,270.0,152.7,187.56,385.41,6020.18,2181.1,2042.25,802.37,245.39,1676.0,1909.86,299.17,206.41,161.89,92.8661,6.52,1224.8,6.52,47.14
592,20160217,865.49,0.72,223.0,528.0,807.0,307.0,186.0,357.0,259.0,153.27,186.89,385.66,6110.85,2179.8,2044.73,804.85,247.66,1669.49,1916.86,300.42,199.31,162.54,92.7037,6.53,1216.6,6.52,46.35
593,20160216,863.99,0.71,223.0,527.0,809.0,301.0,184.0,346.0,252.0,150.62,185.85,384.51,6106.84,2175.3,2037.32,801.08,234.0,1668.6,1871.88,290.97,205.96,158.87,93.0426,6.52,1209.9,6.51,46.78
598,20160204,871.77,0.72,208.0,609.0,800.0,298.0,197.0,289.0,271.0,153.48,183.37,386.71,6105.36,2219.5,2103.84,808.51,249.56,1656.41,1921.75,293.7,209.07,163.45,92.7464,6.57,1216.7,6.54,45.52
599,20160203,846.08,0.72,209.0,615.0,802.0,303.0,203.0,284.0,280.0,153.74,181.86,385.76,6111.02,2199.7,2107.69,812.98,252.91,1639.0,1930.44,295.3,201.89,164.19,93.7097,6.58,1203.1,6.55,44.63
600,20160202,856.22,0.7,217.0,625.0,808.0,310.0,212.0,282.0,289.0,150.87,182.57,384.32,6120.31,2163.2,2111.33,812.29,239.6,1607.93,1880.01,285.54,205.74,160.18,95.0412,6.58,1204.5,6.55,43.84
601,20160201,852.78,0.71,215.0,635.0,815.0,314.0,216.0,282.0,299.0,153.1,182.44,383.15,6120.95,2169.8,2101.87,809.72,251.57,1612.28,1915.67,292.92,212.31,163.49,95.1433,6.54,1206.2,6.55,43.02
602,20160129,855.73,0.71,211.0,645.0,817.0,317.0,219.0,287.0,304.0,155.65,182.78,383.26,6161.87,2168.4,2104.54,810.71,264.69,1605.59,1953.17,300.67,211.97,166.75,95.5871,6.58,1208.4,6.55,41.72
603,20160128,843.76,0.71,216.0,650.0,806.0,325.0,222.0,293.0,316.0,153.4,181.6,382.2,6158.98,2145.6,2098.08,807.16,257.96,1591.66,1926.47,296.26,204.55,165.22,94.75299999999999,6.54,1201.0,6.55,41.92
604,20160127,840.44,0.7,235.0,664.0,812.0,337.0,225.0,303.0,327.0,153.43,181.6,381.63,6166.72,2171.3,2100.1,811.93,251.61,1607.67,1918.08,293.41,201.22,164.18,95.0702,6.54,1201.4,6.55,42.43
605,20160126,830.05,0.7,242.0,674.0,820.0,345.0,229.0,312.0,338.0,152.17,180.77,380.19,6186.25,2142.6,2130.93,813.16,244.88,1597.64,1897.21,288.83,193.02,162.68,95.1359,6.53,1194.4,6.55,41.08
606,20160125,843.08,0.69,254.0,680.0,838.0,354.0,231.0,325.0,350.0,150.15,182.23,378.93,6183.27,2089.9,2137.35,812.64,237.59,1564.57,1865.9,283.15,206.36,160.46,95.6101,6.54,1203.2,6.56,41.57
607,20160122,847.11,0.7,229.0,686.0,859.0,354.0,233.0,334.0,358.0,151.64,183.09,376.83,6185.72,2101.8,2140.54,812.87,248.49,1559.15,1894.66,290.2,194.12,163.8,95.4118,6.58,1209.9,6.56,42.2
608,20160121,838.73,0.7,206.0,686.0,870.0,355.0,237.0,346.0,366.0,148.73,183.57,377.64,6172.29,2098.1,2108.74,809.12,230.32,1557.93,1840.49,278.04,185.57,159.14,95.4803,6.58,1211.6,6.56,41.29
609,20160120,836.22,0.69,186.0,691.0,876.0,358.0,238.0,360.0,372.0,146.88,183.43,377.69,6175.87,2065.9,2123.95,804.17,222.75,1548.55,1812.15,271.81,184.9,156.32,95.8011,6.58,1209.9,6.56,41.61
610,20160119,833.41,0.69,185.0,693.0,882.0,363.0,240.0,369.0,381.0,148.36,184.24,377.25,6176.99,2085.1,2146.2,814.21,229.55,1551.92,1840.83,277.9,189.99,159.48,95.7746,6.53,1212.5,6.56,42.78
612,20160115,848.1,0.69,198.0,707.0,897.0,373.0,245.0,381.0,394.0,148.11,183.84,376.57,6147.29,2054.5,2129.26,809.34,233.24,1535.66,1841.66,279.17,192.59,159.93,95.4496,6.58,1212.7,6.56,41.12
613,20160114,838.87,0.7,225.0,712.0,906.0,383.0,247.0,388.0,402.0,150.27,183.52,376.09,6144.49,2087.9,2153.31,809.06,245.8,1541.87,1878.34,287.02,192.65,163.12,95.5678,6.59,1206.4,6.56,40.22
614,20160113,843.71,0.7,245.0,717.0,929.0,394.0,250.0,399.0,412.0,150.41,183.05,375.59,6141.78,2069.9,2150.79,812.65,243.63,1547.77,1877.31,284.65,195.63,162.39,95.3698,6.58,1208.5,6.56,39.51
615,20160112,844.99,0.7,266.0,718.0,957.0,402.0,250.0,411.0,416.0,150.01,180.91,375.6,6141.41,2049.0,2145.23,809.18,246.07,1528.98,1875.07,284.76,193.78,162.07,95.4544,6.57,1208.6,6.56,41.19
617,20160108,842.07,0.7,343.0,716.0,1016.0,429.0,256.0,434.0,430.0,154.63,179.04,377.84,6136.07,2109.3,2173.35,811.88,267.19,1564.26,1947.45,295.57,206.67,168.58,94.9133,6.59,1199.7,6.56,42.13
619,20160106,850.81,0.71,467.0,719.0,1051.0,467.0,263.0,464.0,442.0,154.46,178.97,377.3,6113.18,2146.4,2195.81,809.81,270.0,1575.58,1957.08,297.95,209.13,169.45,95.2679,6.52,1187.7,6.53,42.91
621,20160104,855.15,0.72,472.0,688.0,1065.0,473.0,267.0,464.0,449.0,157.0,177.84,374.74,6110.85,2154.0,2221.07,811.59,289.46,1578.5,2013.67,309.64,215.05,174.49,94.89,6.54,1172.0,6.5,44.37
626,20151224,847.55,0.73,470.0,580.0,869.0,478.0,270.0,462.0,450.0,158.16,178.99,372.37,6092.41,2195.2,2230.46,827.82,290.67,1603.42,2039.0,314.01,218.02,176.09,93.9989,6.48,1171.7,6.48,41.0
628,20151222,846.65,0.72,485.0,577.0,879.0,474.0,271.0,445.0,449.0,155.5,179.82,376.31,6095.75,2173.3,2220.88,827.45,276.13,1588.32,1996.28,305.01,216.92,171.95,94.2382,6.48,1178.2,6.47,40.8
629,20151221,849.68,0.72,512.0,571.0,889.0,478.0,273.0,433.0,449.0,156.57,180.67,377.26,6093.48,2200.8,2223.05,831.2,276.84,1601.28,2005.91,305.94,214.29,172.42,94.5693,6.45,1184.3,6.48,40.46
630,20151218,839.2,0.72,524.0,568.0,897.0,477.0,273.0,426.0,449.0,156.07,179.47,377.33,6086.75,2180.0,2216.87,832.99,278.1,1581.09,2003.83,307.39,216.99,172.16,94.6202,6.48,1178.9,6.48,40.1
631,20151217,848.72,0.71,524.0,565.0,897.0,471.0,274.0,421.0,448.0,154.36,180.49,376.42,6083.37,2125.8,2205.38,824.74,278.99,1546.32,1986.73,305.49,218.02,170.7,95.2142,6.48,1178.2,6.48,39.43
632,20151216,851.81,0.72,549.0,565.0,898.0,471.0,275.0,415.0,448.0,155.32,180.94,371.42,6072.79,2152.1,2210.59,824.4,280.91,1580.2,2002.97,307.74,221.72,171.81,94.1592,6.47,1182.9,6.46,39.18
633,20151215,859.57,0.72,623.0,564.0,897.0,484.0,276.0,411.0,449.0,156.32,180.99,378.88,6064.86,2132.8,2218.81,832.25,290.8,1559.46,2028.21,314.24,217.81,174.23,94.0877,6.5,1186.1,6.46,39.36
634,20151214,847.02,0.72,722.0,558.0,904.0,508.0,279.0,410.0,450.0,157.09,180.47,379.74,6061.58,2177.9,2231.37,836.16,287.66,1575.03,2029.05,312.4,219.75,174.26,93.4712,6.44,1179.7,6.45,39.06
636,20151210,851.31,0.73,824.0,556.0,920.0,534.0,285.0,408.0,455.0,159.49,181.2,381.66,6052.36,2149.1,2249.13,841.02,299.1,1574.79,2062.62,319.55,226.8,177.03,93.5479,6.44,1178.2,6.42,38.52
637,20151209,849.37,0.72,857.0,552.0,943.0,546.0,286.0,412.0,460.0,159.67,181.26,384.9,6048.56,2147.9,2258.54,840.58,300.75,1579.28,2067.99,319.07,229.47,177.56,93.4903,6.43,1176.0,6.41,39.08
638,20151208,846.86,0.72,870.0,550.0,956.0,551.0,286.0,420.0,461.0,159.52,180.2,385.29,6044.6,2143.5,2255.46,836.41,302.28,1572.12,2064.38,319.0,230.66,177.39,94.104,6.42,1166.4,6.41,38.65
639,20151207,848.17,0.73,852.0,550.0,962.0,551.0,286.0,426.0,465.0,160.19,179.47,385.96,6038.32,2140.4,2271.74,838.31,305.07,1578.57,2076.76,320.06,237.52,178.57,94.064,6.38,1156.8,6.4,39.06
640,20151204,856.11,0.73,890.0,550.0,962.0,563.0,286.0,433.0,469.0,164.61,181.76,386.75,6035.4,2171.7,2288.73,846.47,321.4,1599.63,2133.1,331.36,237.56,183.24,93.529,6.4,1167.4,6.39,40.03
641,20151203,846.17,0.73,931.0,547.0,962.0,574.0,286.0,438.0,470.0,163.8,179.87,385.89,6039.25,2137.8,2280.85,840.4,327.38,1563.32,2130.49,333.44,237.15,183.3,93.5493,6.4,1159.3,6.4,40.75
642,20151202,848.02,0.73,1001.0,543.0,953.0,590.0,286.0,446.0,472.0,161.93,179.62,385.53,6060.87,2151.4,2288.01,829.89,319.98,1564.44,2102.48,328.31,238.81,180.85,94.8734,6.39,1158.1,6.4,41.13
643,20151201,836.61,0.73,1046.0,537.0,926.0,598.0,286.0,450.0,471.0,164.72,180.15,385.23,6065.01,2167.1,2277.86,832.61,333.58,1572.48,2142.18,337.7,239.7,184.39,94.5979,6.4,1157.7,6.4,42.24
644,20151130,827.31,0.72,1007.0,531.0,907.0,584.0,285.0,453.0,469.0,163.35,178.35,384.22,5949.59,2145.1,2273.71,826.0,332.57,1564.41,2130.79,336.15,236.91,182.54,94.8,6.4,1150.4,6.4,42.97
645,20151127,827.37,0.72,989.0,528.0,904.0,581.0,283.0,456.0,467.0,163.39,178.05,383.82,5943.1,2140.5,2290.69,828.1,333.76,1558.74,2133.85,337.29,240.12,183.24,94.7248,6.4,1145.7,6.39,44.5
648,20151124,833.05,0.73,731.0,521.0,890.0,528.0,285.0,460.0,467.0,165.5,180.02,382.22,5926.65,2143.2,2279.26,827.48,343.8,1565.19,2160.45,343.39,239.59,185.27,94.2913,6.39,1157.9,6.39,43.89
650,20151120,837.12,0.72,606.0,522.0,887.0,498.0,288.0,463.0,472.0,164.04,181.69,383.29,5927.91,2135.2,2290.21,830.91,334.2,1564.46,2139.51,337.72,240.15,183.73,94.3044,6.39,1164.2,6.38,44.91
652,20151118,831.48,0.71,671.0,522.0,879.0,519.0,292.0,477.0,491.0,164.33,182.31,382.89,5922.21,2147.7,2279.69,821.57,336.61,1563.51,2136.38,337.02,239.18,183.6,94.5594,6.38,1169.2,6.38,46.35
653,20151117,832.21,0.71,733.0,528.0,871.0,537.0,296.0,487.0,504.0,164.68,183.29,384.08,5926.39,2172.2,2281.59,824.02,334.47,1574.48,2137.01,335.89,242.99,183.71,94.4891,6.38,1172.7,6.37,45.58
654,20151116,825.05,0.71,770.0,517.0,863.0,550.0,302.0,500.0,516.0,166.13,181.24,383.43,5924.0,2178.6,2272.42,825.56,340.95,1584.66,2158.0,339.29,241.99,185.42,94.2202,6.37,1161.3,6.38,47.74
655,20151113,823.1,0.71,809.0,516.0,861.0,560.0,304.0,514.0,523.0,166.07,180.62,383.55,6045.38,2227.3,2281.7,826.59,337.88,1599.98,2156.43,339.48,243.16,184.77,94.102,6.37,1154.5,6.37,48.14
656,20151112,816.62,0.71,881.0,512.0,853.0,579.0,307.0,534.0,533.0,166.95,180.69,383.65,6050.43,2224.5,2294.68,834.6,342.35,1602.01,2175.82,343.68,248.54,186.43,93.8482,6.37,1154.8,6.36,47.81
659,20151109,800.61,0.7,1021.0,485.0,831.0,628.0,319.0,589.0,562.0,169.7,178.17,385.27,6058.55,2272.9,2282.29,832.1,358.74,1631.04,2223.97,350.98,255.3,189.22,93.8732,6.36,1138.6,6.36,48.24
661,20151105,806.63,0.71,1002.0,461.0,822.0,640.0,328.0,618.0,584.0,172.9,177.75,392.15,6061.44,2289.0,2286.84,846.55,366.15,1654.81,2264.01,355.41,255.09,192.44,93.0253,6.35,1129.5,6.34,48.71
662,20151104,814.18,0.71,1043.0,457.0,822.0,657.0,333.0,636.0,596.0,174.29,178.56,394.1,6099.29,2322.5,2301.99,853.02,369.76,1667.87,2283.48,360.07,260.11,194.13,92.9525,6.34,1133.4,6.33,49.18
664,20151102,811.54,0.71,1184.0,456.0,816.0,706.0,347.0,665.0,620.0,175.0,180.07,393.48,6141.0,2321.7,2280.6,851.16,369.72,1686.9,2287.96,360.54,258.71,194.91,92.0943,6.33,1138.6,6.32,49.5
665,20151030,808.92,0.71,1229.0,464.0,788.0,721.0,349.0,675.0,629.0,176.13,179.83,395.15,6147.37,2317.0,2281.38,857.16,373.92,1692.31,2305.84,363.44,258.42,195.61,92.0139,6.32,1142.3,6.35,49.83
666,20151029,804.36,0.71,1254.0,464.0,750.0,728.0,351.0,682.0,633.0,175.0,177.14,393.89,6152.5,2324.1,2284.02,851.18,368.31,1696.79,2287.92,360.44,259.96,194.16,92.6252,6.36,1132.9,6.36,49.65
667,20151028,813.5,0.71,1275.0,467.0,744.0,736.0,354.0,687.0,643.0,176.56,176.87,395.12,6210.92,2357.1,2279.63,848.71,369.23,1735.46,2301.1,361.58,254.96,195.07,92.0977,6.36,1131.2,6.35,49.95
668,20151027,821.66,0.72,1307.0,473.0,756.0,739.0,356.0,686.0,645.0,174.51,177.54,395.88,6236.48,2360.1,2288.25,849.09,353.14,1722.05,2257.52,351.24,255.37,191.34,92.287,6.35,1134.1,6.35,51.5
669,20151026,814.04,0.72,1403.0,471.0,737.0,759.0,360.0,681.0,646.0,175.19,176.38,395.66,6246.45,2353.5,2281.25,851.97,357.78,1723.32,2272.04,354.65,258.95,192.28,92.0882,6.35,1127.4,6.35,51.03
670,20151023,820.41,0.72,1461.0,474.0,739.0,774.0,362.0,683.0,648.0,176.17,178.11,396.26,6252.85,2359.6,2292.26,849.47,363.94,1726.34,2285.76,357.09,260.18,193.71,92.3271,6.35,1138.2,6.36,51.62
671,20151022,815.89,0.72,1512.0,477.0,739.0,786.0,365.0,685.0,649.0,177.63,177.68,396.05,6253.17,2370.7,2275.18,853.28,368.53,1730.59,2302.04,359.96,256.95,195.61,91.6076,6.36,1131.3,6.35,52.18
672,20151021,821.07,0.72,1483.0,479.0,749.0,780.0,366.0,693.0,652.0,177.65,177.38,396.82,6250.92,2358.5,2261.95,859.41,367.11,1724.18,2302.16,359.15,260.0,195.59,90.8473,6.35,1130.1,6.35,52.79
673,20151020,815.34,0.73,1399.0,485.0,751.0,762.0,368.0,701.0,654.0,178.95,176.18,398.04,6250.32,2383.1,2276.85,854.12,374.11,1746.91,2322.08,362.73,258.44,197.42,90.4637,6.35,1125.3,6.36,52.93
674,20151019,820.2,0.72,1312.0,480.0,756.0,747.0,371.0,710.0,656.0,178.33,177.4,398.03,6257.88,2389.7,2285.43,850.05,373.26,1747.47,2316.32,361.61,261.55,196.73,90.6176,6.36,1128.9,6.35,53.3
675,20151016,830.89,0.73,1318.0,477.0,771.0,754.0,376.0,722.0,658.0,180.87,178.51,397.35,6269.75,2423.3,2291.59,855.23,384.73,1769.32,2356.77,369.21,262.44,199.45,90.3518,6.35,1133.7,6.34,53.76
676,20151015,840.26,0.73,1368.0,477.0,772.0,766.0,378.0,742.0,661.0,180.99,181.32,397.63,6268.65,2431.2,2293.54,859.5,379.9,1771.75,2349.84,366.58,261.58,198.99,89.9032,6.35,1150.1,6.34,53.74
677,20151014,828.5,0.73,1457.0,481.0,771.0,787.0,379.0,761.0,662.0,181.59,180.92,397.79,6276.72,2432.1,2289.21,862.2,381.69,1768.88,2355.79,368.19,262.13,199.83,90.1529,6.34,1147.5,6.34,55.12
678,20151013,844.08,0.72,1531.0,489.0,769.0,804.0,379.0,770.0,664.0,181.27,181.48,399.12,6278.91,2424.0,2293.83,866.15,381.55,1756.99,2355.09,368.59,262.29,199.46,90.5054,6.34,1147.4,6.32,54.97
680,20151008,839.0,0.73,1598.0,506.0,790.0,817.0,382.0,736.0,672.0,182.01,183.58,399.76,6302.93,2351.4,2279.71,852.05,403.9,1708.73,2379.8,378.0,262.69,201.3,90.9366,6.35,1165.2,6.35,55.97
692,20150918,840.2,0.72,1995.0,518.0,666.0,960.0,426.0,753.0,762.0,176.73,182.78,404.46,6332.0,2398.6,2241.87,825.67,374.69,1712.93,2284.71,357.59,258.32,194.18,90.8101,6.37,1169.7,6.36,57.69
693,20150917,848.28,0.72,1637.0,522.0,658.0,883.0,431.0,727.0,772.0,179.36,184.15,405.98,6339.27,2447.2,2251.08,834.56,388.12,1717.78,2327.68,365.76,263.34,198.22,91.2585,6.37,1179.4,6.37,57.37
694,20150916,843.11,0.72,1264.0,526.0,639.0,814.0,439.0,716.0,783.0,180.22,184.5,406.28,6333.99,2448.1,2256.34,839.59,391.54,1720.4,2341.73,368.37,255.83,198.98,91.2184,6.37,1182.4,6.37,57.21
695,20150915,844.71,0.71,1196.0,527.0,626.0,802.0,445.0,720.0,789.0,178.43,184.45,407.75,6325.26,2429.9,2220.44,843.16,377.03,1693.37,2300.42,360.44,254.46,196.02,91.6251,6.37,1181.0,6.37,57.28
696,20150914,839.08,0.71,1185.0,535.0,629.0,805.0,452.0,723.0,799.0,178.43,184.65,407.71,6336.29,2421.7,2223.46,848.5,374.19,1693.31,2298.5,359.61,259.01,195.8,91.3571,6.37,1183.8,6.37,58.1
699,20150909,845.84,0.7,1256.0,564.0,642.0,855.0,472.0,776.0,838.0,177.72,186.31,405.18,6340.09,2446.1,2231.49,829.88,378.46,1709.45,2296.75,359.92,266.12,195.8,91.9622,6.38,1203.1,6.36,58.18
700,20150908,833.59,0.7,1286.0,574.0,639.0,873.0,477.0,793.0,848.0,180.0,185.68,404.98,6334.83,2438.2,2195.09,829.35,391.83,1717.04,2331.57,366.93,257.55,198.39,91.7068,6.37,1202.0,6.36,57.42
704,20150902,823.98,0.7,1194.0,586.0,616.0,906.0,481.0,912.0,896.0,179.14,183.19,406.02,6365.75,2376.1,2203.88,824.47,394.06,1706.77,2328.9,366.64,261.9,196.78,91.787,6.36,1175.6,6.36,56.7
705,20150901,842.0,0.7,1176.0,587.0,609.0,911.0,480.0,949.0,912.0,178.76,183.65,405.46,6353.75,2359.7,2212.63,829.95,389.09,1702.46,2320.54,364.14,273.82,196.0,91.4074,6.36,1183.0,6.38,56.59
707,20150828,849.97,0.72,1071.0,591.0,598.0,903.0,480.0,974.0,925.0,180.01,182.82,405.21,6359.41,2377.6,2224.36,835.88,390.29,1705.47,2331.22,365.65,264.56,197.1,91.9922,6.39,1184.3,6.4,56.04
708,20150827,846.68,0.72,1051.0,596.0,593.0,905.0,479.0,1000.0,931.0,176.71,183.21,404.85,6403.13,2353.3,2205.23,835.72,370.84,1680.33,2277.05,353.62,249.68,192.63,91.5397,6.41,1188.9,6.41,53.93
709,20150826,850.79,0.71,1089.0,604.0,595.0,918.0,477.0,1031.0,933.0,171.51,183.48,402.81,6333.98,2276.4,2185.28,827.48,342.94,1644.05,2191.39,335.51,248.13,185.28,91.007,6.41,1194.6,6.4,53.67
710,20150825,856.58,0.71,1248.0,610.0,601.0,942.0,473.0,1047.0,934.0,173.8,184.3,404.94,6316.24,2328.0,2195.29,835.06,346.95,1677.85,2220.08,339.75,245.9,187.66,90.9043,6.41,1198.1,6.4,53.45
711,20150824,864.86,0.71,1403.0,626.0,611.0,968.0,469.0,1052.0,933.0,172.95,184.8,407.09,6277.08,2277.5,2175.87,839.69,341.5,1670.37,2209.36,336.88,253.97,186.22,89.9519,6.4,1192.0,6.39,53.28
712,20150821,869.51,0.73,1559.0,639.0,622.0,994.0,464.0,1054.0,930.0,176.88,184.02,410.09,6154.23,2338.0,2226.32,847.77,359.47,1713.23,2274.16,348.11,264.29,191.34,90.9486,6.39,1185.1,6.39,56.1
713,20150820,871.05,0.73,1679.0,645.0,632.0,1014.0,460.0,1052.0,924.0,179.75,183.81,411.53,6097.36,2374.7,2240.28,858.87,368.0,1731.75,2311.42,355.2,267.38,194.66,91.5299,6.39,1185.1,6.39,55.84
714,20150819,869.1,0.73,1773.0,657.0,644.0,1031.0,453.0,1049.0,920.0,178.33,183.94,410.2,6086.24,2333.8,2247.42,853.16,369.31,1700.98,2297.97,354.79,269.69,193.75,92.3046,6.4,1184.7,6.4,56.41
715,20150818,871.64,0.73,1838.0,675.0,654.0,1046.0,449.0,1052.0,915.0,179.87,183.4,410.95,6077.02,2337.7,2244.92,856.91,381.67,1686.3,2325.17,362.27,270.78,196.77,92.2639,6.4,1182.2,6.4,56.92
716,20150817,865.33,0.74,1913.0,678.0,665.0,1063.0,449.0,1057.0,908.0,180.92,182.2,410.76,6090.07,2375.0,2260.7,861.07,379.83,1712.92,2334.38,362.4,271.16,196.53,92.1331,6.39,1174.2,6.4,56.66
718,20150812,855.68,0.74,2107.0,676.0,673.0,1093.0,447.0,1053.0,899.0,182.97,182.66,406.6,6130.05,2394.3,2288.24,853.55,394.12,1725.83,2364.7,367.89,272.78,198.9,91.4148,6.39,1170.4,6.33,56.31
719,20150811,863.9,0.73,2367.0,680.0,677.0,1162.0,446.0,1043.0,900.0,183.54,187.44,407.56,6150.69,2377.1,2288.46,869.51,389.42,1710.11,2363.98,367.05,275.24,199.31,92.54799999999999,6.32,1165.3,6.23,56.22
722,20150806,862.2,0.73,2514.0,697.0,713.0,1201.0,432.0,1013.0,904.0,182.36,188.51,409.39,6147.38,2404.3,2284.78,862.52,393.21,1697.54,2361.44,367.43,270.68,198.54,92.9068,6.21,1172.1,6.12,56.4
723,20150805,863.12,0.74,2604.0,714.0,726.0,1222.0,427.0,1005.0,901.0,182.96,187.94,410.24,6173.98,2408.1,2293.49,867.07,395.08,1696.45,2369.87,369.32,272.98,199.78,93.1327,6.21,1169.3,6.12,56.78
724,20150804,847.57,0.74,2512.0,715.0,735.0,1200.0,425.0,1001.0,899.0,183.54,187.35,410.06,6176.39,2434.9,2296.52,863.32,398.93,1709.55,2379.75,371.33,269.74,200.87,92.5618,6.21,1165.2,6.12,55.29
725,20150803,854.83,0.73,2308.0,722.0,742.0,1151.0,424.0,1006.0,900.0,182.16,187.97,410.51,6198.3,2425.8,2287.14,862.25,394.27,1704.62,2366.13,368.68,276.68,199.3,92.6005,6.21,1169.4,6.12,55.63
726,20150731,850.47,0.73,2209.0,728.0,755.0,1131.0,423.0,1023.0,899.0,184.88,187.52,410.37,6227.43,2438.9,2302.21,865.43,409.88,1718.91,2409.96,378.38,279.12,202.57,92.12299999999999,6.21,1166.3,6.12,53.41
727,20150730,845.27,0.73,2116.0,731.0,763.0,1100.0,422.0,1044.0,892.0,186.57,186.08,410.72,6252.1,2458.5,2311.41,867.94,418.71,1725.46,2434.59,383.65,281.0,204.72,92.5725,6.21,1157.9,6.12,55.64
728,20150729,856.11,0.73,2103.0,737.0,776.0,1104.0,423.0,1069.0,898.0,187.42,187.56,410.42,6266.43,2488.2,2306.81,865.66,421.66,1737.74,2443.25,384.76,278.12,205.49,91.8095,6.21,1166.2,6.12,55.89
729,20150728,850.61,0.73,1990.0,740.0,792.0,1094.0,425.0,1095.0,903.0,187.12,187.78,411.4,6292.01,2480.6,2301.59,871.81,417.68,1735.45,2439.94,383.54,275.94,204.39,91.7573,6.21,1168.9,6.12,53.45
730,20150727,848.12,0.73,1935.0,754.0,803.0,1090.0,427.0,1115.0,903.0,185.62,187.12,407.19,6290.5,2431.9,2304.19,864.4,415.67,1716.3,2420.96,380.66,280.3,202.69,91.6873,6.21,1164.6,6.12,52.35
731,20150724,855.34,0.73,1896.0,757.0,813.0,1086.0,428.0,1137.0,899.0,187.91,187.04,409.96,6309.67,2457.3,2327.3,881.66,421.68,1717.99,2452.28,386.64,282.25,205.04,92.3624,6.21,1162.3,6.12,51.42
732,20150723,850.1,0.74,1924.0,764.0,817.0,1102.0,431.0,1161.0,896.0,190.13,185.52,412.59,6345.09,2459.3,2346.77,894.9,426.28,1725.35,2478.52,391.01,285.21,206.97,92.258,6.21,1152.6,6.12,51.72
733,20150722,860.05,0.74,1952.0,788.0,826.0,1118.0,433.0,1179.0,889.0,192.0,186.55,412.97,6406.11,2492.8,2359.4,895.6,433.46,1737.98,2499.61,395.35,284.82,209.3,92.5516,6.21,1158.4,6.12,51.76
734,20150721,849.01,0.74,1935.0,811.0,849.0,1113.0,432.0,1179.0,875.0,194.1,185.35,414.11,6410.76,2528.6,2383.8,899.9,441.84,1756.18,2529.03,400.86,286.49,212.01,92.2449,6.21,1151.9,6.12,52.1
737,20150716,842.83,0.74,1611.0,848.0,840.0,1009.0,417.0,1149.0,823.0,197.56,183.62,418.56,6579.93,2578.9,2397.65,927.03,441.48,1796.91,2570.82,406.15,292.77,215.55,92.2718,6.21,1141.5,6.12,50.66
738,20150715,848.97,0.74,1462.0,836.0,824.0,951.0,409.0,1122.0,801.0,198.37,183.32,418.29,6608.51,2569.6,2413.47,929.94,444.59,1799.7,2581.62,407.85,296.56,216.62,92.0198,6.21,1139.4,6.12,50.55
739,20150714,837.03,0.75,1394.0,823.0,820.0,915.0,399.0,1096.0,784.0,200.23,182.01,419.59,6628.2,2572.9,2403.09,937.1,454.4,1805.0,2612.34,414.79,294.5,219.38,91.3637,6.21,1131.5,6.12,50.06
740,20150713,839.7,0.74,1389.0,825.0,827.0,900.0,391.0,1076.0,774.0,200.58,181.74,420.06,6632.84,2583.3,2399.78,940.16,451.25,1812.15,2611.18,413.66,291.41,218.51,91.4305,6.21,1130.0,6.11,50.3
741,20150710,847.21,0.74,1318.0,833.0,835.0,874.0,384.0,1052.0,767.0,200.09,182.67,419.76,6644.67,2559.8,2379.89,939.06,454.42,1798.12,2611.83,415.48,296.28,218.25,90.8054,6.21,1136.2,6.12,50.1
742,20150709,843.83,0.75,1279.0,837.0,857.0,853.0,377.0,1016.0,759.0,199.49,182.54,420.55,6644.94,2575.9,2379.23,934.7,453.65,1800.58,2606.63,415.45,291.8,217.59,91.16,6.21,1135.7,6.12,48.99
743,20150708,841.38,0.74,1278.0,834.0,870.0,840.0,373.0,973.0,750.0,197.09,181.57,419.54,6643.86,2519.8,2362.98,929.73,443.98,1782.08,2573.58,409.36,286.51,215.26,90.9136,6.21,1129.6,6.12,44.59
744,20150707,843.26,0.74,1285.0,831.0,888.0,830.0,367.0,945.0,742.0,196.59,181.27,419.44,6679.62,2455.4,2389.42,933.24,445.93,1752.96,2570.68,409.29,293.67,215.53,91.5075,6.21,1126.3,6.12,49.6
